Position,FirstName,LastName,Nationality,Time
1,Carlos,Lopes,Portugal,2:09:21
2,John,Treacy,Ireland,2:09:56
3,Charlie,Spedding,Great Britain,2:09:58
4,Takeshi,So,Japan,2:10:55
5,Robert,de Castella,Australia,2:11:09
6,Juma,Ikangaa,Tanzania,2:11:10
7,Joseph,Nzau,Kenya,2:11:28
8,Djama,Robleh,Djibouti,2:11:39
9,Jerry,Kiernan,Ireland,2:12:20
10,Rod,Dixon,New Zealand,2:12:57
11,Pete,Pfitzinger,United States of America,2:13:53
12,Hugh,Jones,Great Britain,2:13:57
13,Jorge,González,Puerto Rico,2:14:00
14,Toshihiko,Seko,Japan,2:14:13
15,Alberto,Salazar,United States of America,2:14:19
16,Mehmet,Terzi,Turkey,2:14:20
17,Shigeru,So,Japan,2:14:38
18,Ralf,Salzmann,West Germany,2:15:29
19,Henrik,Jørgensen,Denmark,2:15:55
20,Hussein Ahmed,Salah,Djibouti,2:15:59
21,Agapius,Masong,Tanzania,2:16:25
22,Gidamis,Shahanga,Tanzania,2:16:27
23,Eloi,Schleder,Brazil,2:16:35
24,Karel,Lismont,Belgium,2:17:07
25,Allan,Zachariassen,Denmark,2:17:10
26,Michail,Koussis,Greece,2:17:38
27,Pertti,Tiainen,Finland,2:17:43
28,Alain,Lazare,France,2:17:52
29,Vincent,Ruguga,Uganda,2:17:54
30,Armand,Parmentier,Belgium,2:18:10
31,César,Mercado,Puerto Rico,2:19:09
32,Charmarke,Abdilahi,Djibouti,2:19:11
33,Øyvind,Dahl,Norway,2:19:28
34,Derek,Froude,New Zealand,2:19:44
35,Giovanni,d'Aleo,Italy,2:20:12
36,Jesús,Herrera,Mexico,2:20:33
37,Lee,Hong-Yul,South Korea,2:20:56
38,Juan Rodrigo,Camacho,Bolivia,2:21:04
39,Cor,Vriend,Netherlands,2:21:08
40,France,Ntaole,Lesotho,2:21:09
41,Johan,Geirnaert,Belgium,2:21:35
42,Jacques,Boxberger,France,2:22:00
43,Marco,Marchei,Italy,2:22:38
44,Art,Boileau,Canada,2:22:43
45,Samuel,Hlawe,Swaziland,2:22:45
46,Baikuntha,Manandhar,Nepal,2:22:52
47,Ahmed Mohamed,Ismail,Somalia,2:23:27
48,Chae,Hong-Nak,South Korea,2:23:33
49,Joseph,Maisiba Otieno,Kenya,2:24:13
50,Bruno,LaFranchi,Switzerland,2:24:38
51,Dick,Hooper,Ireland,2:24:41
52,Derrick,Adamson,Jamaica,2:25:02
53,Claudio,Caban,Puerto Rico,2:27:16
54,Marc,Agoata,Luxembourg,2:27:41
55,Wilson,Theleso,Botswana,2:29:20
56,Chang-Ming,Chen,Chinese Taipei,2:29:53
57,Alejandro,Silva,Chile,2:29:53
58,Kim,Won-Sick,South Korea,2:30:57
59,Ruben,Aguiar,Argentina,2:31:18
60,Sabag,Shemtov,Israel,2:31:34
61,Vincent,Rakabaele,Lesotho,2:32:15
62,Marios,Kassianidis,Cyprus,2:32:51
63,Arjun,Pandit,Nepal,2:32:53
64,Ismael,Mahmoud,Jordan,2:33:30
65,Alain,Bordeleau,Canada,2:34:27
66,Tau John,Tokwepota,Papua New Guinea,2:36:36
67,Patric,Nyambariro-Nhauro,Zimbabwe,2:37:18
68,Kimurgor,Ngeny,Kenya,2:37:19
69,Amira Prasad,Yadav,Nepal,2:38:10
70,Adolphe,Ambowode,Central African Republic,2:41:26
71,Carlos,Ávila,Honduras,2:42:03
72,Jules,Randrianarivelo,Madagascar,2:43:05
73,Ahmed Abdul,Lahij,Somalia,2:44:39
74,George,Mambosasa,Malawi,2:46:14
75,Marlon,Williams,Virgin Islands,2:46:50
76,Johnaon,Mbangiwa,Botswana,2:48:12
77,Leonardo,Illut,Philippines,2:49:39
78,Dieudonné,LaMothe,Haiti,2:52:18
