Position,FirstName,LastName,Nationality,Time
1,Johnny,Hayes,United States of America,2:55:18.4
2,Charles,Hefferon,South Africa,2:56:06.0
3,Joseph,Forshaw,United States of America,2:57:10.4
4,Alton,Welton,United States of America,2:59:44.4
5,William,Wood,Canada,3:01:44.0
6,Frederick,Simpson,Canada,3:04:28.2
7,Harry,Lawson,Canada,3:06:47.2
8,Johan,Svanberg,Sweden,3:07:50.8
9,Lewis,Tewanima,United States of America,3:09:15.0
10,Kaale,Nieminen,Finland,3:09:50.8
11,Jack,Caffery,Canada,3:12:46.0
12,William,Clarke,Great Britain,3:16:08.6
13,Ernest,Barnes,Great Britain,3:17:30.8
14,Sydney,Hatch,United States of America,3:17:52.4
15,Frederick,Lord,Great Britain,3:19:08.8
16,William,Goldsboro,Canada,3:20:07.0
17,James,Beale,Great Britain,3:20:14.0
18,Arnot,Nejedlý,Bohemia,3:26:26.2
19,Georg,Lind,Russia,3:26:38.8
20,Willem,Wakker,Netherlands,3:28:49.0
21,Gustaf,Törnros,Sweden,3:30:20.8
22,George,Goulding,Canada,3:33:26.4
23,Julius,Jørgensen,Denmark,3:47:44.0
24,Arthur,Burn,Canada,3:50:17.0
25,Emmerich,Rath,Austria,3:50:30.4
26,Rudy,Hansen,Denmark,3:53:15.0
27,George,Lister,Canada,4:22:45.0
