Position,FirstName,LastName,Nationality,Time
1,Abebe,Bikila,Ethiopia,2:12:11.2
2,Basil,Heatley,Great Britain,2:16:19.2
3,Kokichi,Tsuburaya,Japan,2:16:22.8
4,Brian,Kilby,Great Britain,2:17:02.4
5,József,Sütö,Hungary,2:17:55.8
6,Leonard,Edelen,United States of America,2:18:12.4
7,Aurèle,van den Driessche,Belgium,2:18:42.6
8,Kimihara,Kenji,Japan,2:19:49.0
9,Ron,Clarke,Australia,2:20:26.8
10,Demissie,Wolde,Ethiopia,2:21:25.2
11,Lee,Sang-Hoon,South Korea,2:22:02.8
12,Bakir,Benaissa,Morocco,2:22:27.0
13,Eino,Oksanen,Finland,2:22:36.0
14,Billy,Mills,United States of America,2:22:55.4
15,Terasawa,Toru,Japan,2:23:09.0
16,Kim,Yun-Bum,South Korea,2:24:40.6
17,Giorgio,Jegher,Italy,2:24:45.2
18,Vaclav,Chudomel,Czechoslovakia,2:24:46.8
19,Ron,Hill,Great Britain,2:25:34.4
20,Paavo,Pystynen,Finland,2:26:00.6
21,Fidel,Negrete,Mexico,2:26:07.0
22,Nikolay,Tikhomirov,Soviet Union,2:26:07.4
23,Pete,McArdle,United States of America,2:26:24.4
24,Heinrich,Hagen,Germany,2:26:39.8
25,Pavel,Kantorek,Czechoslovakia,2:26:47.2
26,Nikolay,Abramov,Soviet Union,2:27:09.4
27,Raymond,Puckett,New Zealand,2:27:34.0
28,Eino,Valle,Finland,2:27:34.8
29,Jeffrey,Lynn Julian,New Zealand,2:27:57.6
30,Ricardo,Vidal,Chile,2:28:01.6
31,Robert,Vagg,Australia,2:28:41.0
32,Guido,Voegele,Switzerland,2:29:17.8
33,Balkrishan,Akotkar,India,2:29:27.4
34,Jean,Aniset,Luxembourg,2:29:52.6
35,Thin,Sumbwegam,Burkina Faso,2:30:35.8
36,Constantin,Grecescu,Romania,2:30:42.6
37,Janos,Pinter,Hungary,2:30:50.2
38,Gerhard,Honicke,Germany,2:33:23.0
39,Manfred,Naumann,Germany,2:33:42.0
40,Antonio,Ambu,Italy,2:34:37.6
41,Oskar,Leupi,Switzerland,2:35:05.4
42,Ivan,Keats,New Zealand,2:36:16.8
43,Harbans Lal,Suri,India,2:37:05.8
44,Armando,Aldegalega,Portugal,2:38:02.2
45,Chrisantus,Nyakwayo,Kenya,2:38:38.6
46,Constantino,Kapambwe,Antigua and Barbuda,2:39:28.4
47,Omari,Abdallah,Tanzania,2:40:06.0
48,Muhammad,Yusaf,Pakistan,2:40:46.0
49,Naftali,Temu,Kenya,2:40:46.6
50,Joo Hyung,Kail,South Korea,2:41:08.2
51,Mathias,Kanda,Rhodesia,2:41:09.0
52,Anthony,Cook,Australia,2:42:03.6
53,Victor,Peralta Jimenez,Mexico,2:44:23.6
54,Trevor,Haynes,Antigua and Barbuda,2:45:08.6
55,Abraham,Fornes,Puerto Rico,2:46:22.6
56,Robson,Mrombe,Rhodesia,2:49:30.8
57,Laurent Daniel,Chifita,Antigua and Barbuda,2:51:52.2
58,Chanom,Sirirangsi,Thailand,2:59:25.6
