Position,FirstName,LastName,Nationality,Time
1,Alain,Mimoun,France,2:25:00
2,Franjo,Mihalic,Yugoslavia,2:26:32
3,Veikko,Karvonen,Finland,2:27:47
4,Lee,Chang-Hoon,South Korea,2:28:45
5,Yoshiaki,Kawashima,Japan,2:29:19
6,Emil,Zátopek,Czechoslovakia,2:29:34
7,Ivan,Filin,Soviet Union,2:30:37
8,Jvert,Nyberg,Sweden,2:31:12
9,Thomas,Nilsson,Sweden,2:33:33
10,Eino,Oksanen,Finland,2:36:10
11,Arnold,Waide,Sweden,2:36:21
12,Choi,Chung-Sik,South Korea,2:36:53
13,Paavo,Kotila,Finland,2:38:59
14,Mercer,Davis,South Africa,2:39:48
15,Harry,Hicks,Great Britain,2:39:55
16,Hideo,Hamamura,Japan,2:40:53
17,Albert,Richards,New Zealand,2:41:34
18,John,Russell,Australia,2:41:44
19,Lothar,Beckert,Unified team of Germany,2:42:10
20,Nick,Costes,United States of America,2:42:20
21,Johnny,Kelley,United States of America,2:43:40
22,Muhamad,Havlidar Aslam,Pakistan,2:44:33
23,Adolf,Gruber,Austria,2:46:20
24,Aurèle,van den Driessche,Belgium,2:47:18
25,Keith,Ollerenshaw,Australia,2:48:12
26,Naw,Myitung,Myanmar,2:49:32
27,Pavel,Kantorek,Czechoslovakia,2:52:05
28,Kurt,Hartung,Unified team of Germany,2:52:14
29,Bashay,Feleke,Ethiopia,2:53:37
30,Abdul,Rashid,Pakistan,2:57:47
31,Arap Sum,Kanuti,Kenya,2:58:42
32,Gebre,Birkay,Ethiopia,2:58:49
33,Kurao,Hiroshima,Japan,3:04:17
