Position,FirstName,LastName,Nationality,Time
1,Boughera Mohamed,El Ouafi,France,2:32:57
2,Manuel,Plaza Reyes,Chile,2:33:23
3,Martti,Marttelin,Finland,2:35:02
4,Kanematsu,Yamada,Japan,2:35:29
5,Joie,Ray,United States of America,2:36:04
6,Seiichiro,Tsuda,Japan,2:36:20
7,Yrjö,Korholin-Koski,Finland,2:36:40
8,Samuel,Ferris,Great Britain,2:37:41
9,Albert,Michelsen,United States of America,2:38:56
10,Clifford,Bricker,Canada,2:39:24
11,Harry,Wood,Great Britain,2:41:15
12,Verner,Laaksonen,Finland,2:41:35
13,Harry,Payne,Great Britain,2:42:39
14,Eino,Rastas,Finland,2:43:08
15,Väinö,Sipilä,Finland,2:43:08
16,Alois,Krof,Czechoslovakia,2:43:18
17,John,Miles,Canada,2:43:32
18,Léon,Broers,Belgium,2:44:37
19,Hans,Stelges,Germany,2:45:27
20,Duncan,Wright,Great Britain,2:45:30
21,Herbert,Bignall,Great Britain,2:45:44
22,Ernest,Harper,Great Britain,2:45:44
23,Jean,Gérault,France,2:46:08
24,Ilmari,Kuokka,Finland,2:46:34
25,Gustav,Kinn,Sweden,2:47:35
26,Silas,McLellan,Canada,2:49:33
27,Clarence,DeMar,United States of America,2:50:42
28,Marcel,Denis,France,2:51:15
29,Guillaume,Tell,France,2:51:18
30,Henri,Landheer,Netherlands,2:51:59
31,Paul,Hempel,Germany,2:52:01
32,Aurelio,Terrazas,Mexico,2:52:22
33,Frantiek,Zyka,Czechoslovakia,2:52:42
34,Giuseppe,Ferrera,Italy,2:53:10
35,José,Torres,Mexico,2:54:00
36,Johan,Støa,Norway,2:54:15
37,Gerard,Steuers,Belgium,2:54:48
38,Arturs,Motmillers,Latvia,2:56:45
39,James,Henigan,United States of America,2:56:50
40,Martinus,Steytler,South Africa,2:57:21
41,Harvey,Frick,United States of America,2:57:24
42,Jean,Linsen,Belgium,2:58:08
43,Frank,Hughes,Canada,2:58:12
44,William,Agee,United States of America,2:58:50
45,Percy,Wyer,Canada,2:58:52
46,Georg,Hörger,Germany,2:59:01
47,Hans,Schneider,Germany,2:59:36
48,Juichi,Nagatani,Japan,3:03:34
49,József,Galambos,Hungary,3:05:58
50,Paul,Gerhardt,Germany,3:09:30
51,Gottlieb,Bach,Denmark,3:10:10
52,Emilio,Ferrer,Spain,3:11:05
53,Dimitrije,Stefanovic,Yugoslavia,3:11:35
54,Joop,Vermeulen,Netherlands,3:13:47
55,Pleun,van Leenen,Netherlands,3:14:37
56,Jean,Marien,Belgium,3:16:13
57,Willem,van der Steen,Netherlands,3:19:53
