Position,FirstName,LastName,Nationality,Time
1,Mamo,Wolde,Ethiopia,2:20:26
2,Kenji,Kimihara,Japan,2:23:31
3,Mike,Ryan,New Zealand,2:23:45
4,Ismail,Akçay,Turkey,2:25:18
5,William,Adcocks,Great Britain,2:25:33
6,Gabrou,Merawi,Ethiopia,2:27:16
7,Derek,Clayton,Australia,2:27:23
8,Timothy,Johnston,Great Britain,2:28:04
9,Akio,Usami,Japan,2:28:06
10,Andy,Boychak,Turkey,2:28:40
11,Gaston,Roelants,Belgium,2:29:04
12,Pat,McMahon,Ireland,2:29:21
13,Alfredo,Penaloza,Mexico,2:29:48
14,Kenneth,Moore,United States of America,2:29:49
15,Jürgen,Busch,West Germany,2:30:42
16,George,Young,United States of America,2:31:15
17,Manfred,Steffny,West Germany,2:31:23
18,Thin,Sumbwegam,Myanmar,2:32:22
19,Naftali,Temu,Kenya,2:32:36
20,Maurice,Peiren,Belgium,2:32:49
21,Antonio,Ambu,Italy,2:33:19
22,Ron,Daws,United States of America,2:33:53
23,Karl-Heinz,Sievers,West Germany,2:34:11
24,Gyula,Tóth,Hungary,2:34:49
25,Hüseyin,Aktas,Turkey,2:35:09
26,Pablo,Garrido,Mexico,2:35:47
27,Aad,Steylen,Netherlands,2:37:42
28,Anatoly,Sukharyev,Soviet Union,2:38:07
29,Lee,Myung-Jung,South Korea,2:38:52
30,Ivailo,Sharankov,Bulgaria,2:39:49
31,Gioacchino,de Palma,Italy,2:39:58
32,Josef,Gwerder,Switzerland,2:40:16
33,Hubert,Riesner,West Germany,2:41:29
34,Georg,Olsen,Denmark,2:42:24
35,Douglas,Sinkala,Zambia,2:42:51
36,Exequiel,Baeza,Chile,2:43:15
37,Dave,McKenzie,New Zealand,2:43:36
38,Kim,Bong-Nae,South Korea,2:43:56
39,Carlos,Cuque,Guatemala,2:45:20
40,Godwin,Kalimbwe,Zambia,2:45:26
41,Mick,Molloy,Ireland,2:48:13
42,Nikola,Simeonov,Bulgaria,2:48:30
43,John,Farrington,Australia,2:50:16
44,Helmut,Kunisch,Switzerland,2:50:58
45,Alifu,Massaquoi,Sierra Leone,2:52:28
46,Lee,Sang-Hoon,South Korea,2:52:46
47,Hla,Thein,Myanmar,2:54:03
48,Paul,Mose,Kenya,2:55:17
49,Benjamin,Silva-Netto,Philippines,2:56:19
50,Harry,Prowell,Guyana,2:57:01
51,Wimalasena,Perera,Ceylon,2:59:05
52,Fulgencio,Hernández,Guatemala,3:00:40
53,Gustavo,Gutiérrez,Ecuador,3:03:07
54,Martin,Ande,Nigeria,3:03:47
55,Mustapha,Musa,Uganda,3:04:53
56,Enoch,Nwemba,Zambia,3:06:16
57,John Stephen,Akhwari,Tanzania,3:25:17
