Position,FirstName,LastName,Nationality,Time
1,Waldemar,Cierpisnki,East Germany,2:11:03
2,Gerard,Nijboer,Netherlands,2:11:20
3,Satymkul,Dzhumanazarov,Soviet Union,2:11:35
4,Vladimir,Kotov,Soviet Union,2:12:05
5,Leonid,Mosseyev,Soviet Union,2:12:14
6,Rodolfo,Gómez,Mexico,2:12:39
7,Dereje,Nedi,Ethiopia,2:12:44
8,Massimo,Magnani,Italy,2:13:12
9,Karel,Lismont,Belgium,2:13:27
10,Robert,de Castella,Australia,2:14:31
11,Joachim,Truppel,East Germany,2:14:55
12,Ferenc,Szekeres,Hungary,2:15:18
13,Mark,Smet,Belgium,2:16:00
14,Emmanuel,Ndiemandoi,Tanzania,2:16:47
15,Gidamis,Shahanga,Tanzania,2:16:47
16,Anacleto,Pinto,Portugal,2:17:04
17,Domingo,Tibaduiza,Colombia,2:17:06
18,Rik,Schoofs,Belgium,2:17:28
19,Kjell-Erik,Ståhl,Sweden,2:17:44
20,Michail,Koussis,Greece,2:18:02
21,Jürgen,Eberding,East Germany,2:18:04
22,Eleuterio,Antón,Spain,2:18:16
23,Leodigard,Martin,Tanzania,2:18:21
24,Moges,Alemayehu,Ethiopia,2:18:40
25,Jules,Randrianarivelo,Madagascar,2:19:23
26,Zbigniew,Pierzynka,Poland,2:20:03
27,Koh,Chun-Son,North Korea,2:20:08
28,Christopher,Wardlaw,Australia,2:20:42
29,Li,Jong-Hyong,North Korea,2:21:10
30,Tommy,Persson,Sweden,2:21:11
31,Hari,Chand,India,2:22:08
32,Håkan,Spik,Finland,2:22:24
33,Choe,Chang-Sop,North Korea,2:22:42
34,Luis,Barbosa,Colombia,2:22:58
35,Marco,Marchei,Italy,2:23:21
36,Vincent,Rakabaele,Lesotho,2:23:29
37,Baikuntha,Manandhar,Nepal,2:23:51
38,Dick,Hooper,Ireland,2:23:53
39,Josef,Steiner,Austria,2:24:24
40,Joseph,Peter,Switzerland,2:24:53
41,Cor,Vriend,Netherlands,2:26:41
42,Pat,Hooper,Ireland,2:30:28
43,Buumba,Halwand,Zambia,2:36:51
44,Esa,Shetewi,Libya,2:38:01
45,Mukundahari,Shrestha,Nepal,2:38:52
46,Baba Ibrahim,Suma-Keita,Sierra Leone,2:41:20
47,Soe,Khin,Myanmar,2:41:41
48,Damiano,Musonda,Zambia,2:42:11
49,Enemri,El-Marghani,Libya,2:42:27
50,Quyen,Nguyen,Vietnam,2:44:37
51,Tapfumaneyi,Jonga,Zimbabwe,2:47:17
52,Emmanuel,Mpioh,Congo,2:48:17
53,Abel,Nkhoma,Zimbabwe,2:53:35
