"","Name","Sex","Age","Height","Weight","bmi","Year","Nationality","SubRegion","continent","Population","GDP","countryWins","subRegionWins","HomeAdvantage","Position","Medal","Time","TimeMins","TimeSecs"
"27","Adriana Aparecida da Silva","F",35,166,52,18.8706633763972,2016,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",207652865,1.79619e+12,0,0,TRUE,69,FALSE,"2:43:22",163.366666666667,9802
"28","Marily dos Santos","F",30,158,46,18.4265342092613,2008,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",192979029,1.69582e+12,0,0,FALSE,51,FALSE,"2:38:10",158.166666666667,9490
"29","Graciete Feira de Santana","F",35,155,43,17.89802289282,2016,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",207652865,1.79619e+12,0,0,TRUE,128,FALSE,"3:09:15",189.25,11355
"30","Marily dos Santos","F",38,158,46,18.4265342092613,2016,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",207652865,1.79619e+12,0,0,TRUE,78,FALSE,"2:45:08",165.133333333333,9908
"31","Eunice Jepkirui Kirwa","F",32,155,49,20.3954214360042,2016,"Bahrain","Western Asia","Asia",1425171,32179069149,1,1,FALSE,2,TRUE,"2:24:13",144.216666666667,8653
"32","Lishan Dula Gemgchu","F",25,164,44,16.3593099345628,2012,"Bahrain","Western Asia","Asia",1300217,30749308511,1,1,FALSE,62,FALSE,"2:36:20",156.333333333333,9380
"33","Militsa Mircheva","F",22,165,50,18.3654729109275,2016,"Bulgaria","Eastern Europe","Europe",7127822,53237882473,0,0,FALSE,108,FALSE,"2:51:06",171.1,10266
"34","Nary Ly","F",44,160,55,21.484375,2016,"Cambodia","South-eastern Asia","Asia",15762370,20016747754,0,0,FALSE,133,FALSE,"3:20:20",200.333333333333,12020
"35","Lanni Marchant","F",32,155,48,19.9791883454735,2016,"Canada","Northern America","Northern America",36286425,1.52976e+12,0,0,FALSE,24,FALSE,"2:33:08",153.133333333333,9188
"36","Odette Lapierre","F",33,162,50,19.0519737844841,1988,"Canada","Northern America","Northern America",26895000,5.07354e+11,0,0,FALSE,11,FALSE,"2:30:56",150.933333333333,9056
"37","Anne Marie Malone (-Macrow)","F",24,165,42,15.4269972451791,1984,"Canada","Northern America","Northern America",25702000,3.55373e+11,0,0,FALSE,17,FALSE,"2:36:33",156.55,9393
"38","Krista DuChene","F",39,167,54,19.3624726594715,2016,"Canada","Northern America","Northern America",36286425,1.52976e+12,0,0,FALSE,35,FALSE,"2:35:29",155.483333333333,9329
