"","Name","Sex","Age","Height","Weight","bmi","Year","Nationality","SubRegion","continent","Population","GDP","countryWins","subRegionWins","HomeAdvantage","marathons","Gmarathons","Smarathons","Bmarathons","avgTime","bestTime","avgTimeScore","bestTimeScore","avgPosition","bestPosition","avgPositionScore","bestPositionScore","avgPerformanceScore","bestPerformanceScore","monthsBestTime","Position","Medal","Time","TimeMins","TimeSecs"
"18","Els Rens","F",33,160,51,19.921875,2016,"Belgium","Western Europe","Europe",11348159,4.67956e+11,0,0,FALSE,5,0,5,0,164.533333333333,158.266666666667,628,711,1.4,1,250,270,878,981,10,84,FALSE,"2:45:52",165.866666666667,9952
"19","Veerle Dejaeghere","F",43,159,46,18.1954827736245,2016,"Belgium","Western Europe","Europe",11348159,4.67956e+11,0,0,FALSE,1,1,0,0,151.933333333333,151.933333333333,802,802,7,7,135,135,937,937,11,47,FALSE,"2:37:39",157.65,9459
"20","Magda Ilands (-Moons, -Versluys)","F",38,159,53,20.9643605870021,1988,"Belgium","Western Europe","Europe",9901664,1.63168e+11,0,0,FALSE,9,4,0,0,156.638888888889,153.883333333333,734.444444444444,774,1.11111111111111,1,264.444444444444,270,998.888888888889,1044,23,35,FALSE,"2:38:02",158.033333333333,9482
"21","Manuela Soccol","F",28,157,42,17.0392308004382,2016,"Belgium","Western Europe","Europe",11348159,4.67956e+11,0,0,FALSE,2,1,1,0,158.316666666667,157.15,710.5,727,6.5,4,127.5,175,838,902,4,74,FALSE,"2:44:18",164.3,9858
"22","Sonia Calizaya Huanca","F",32,151,43,18.858821981492,2008,"Boliva","Latin America and the Caribbean","Latin America and the Caribbean",9599855,16674324634,0,0,FALSE,1,0,0,1,165.083333333333,165.083333333333,619,619,1,1,270,270,889,889,9,59,FALSE,"2:45:53",165.883333333333,9953
"23","Solange Cordeiro de Souza","F",27,156,43,17.6692965154504,1996,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",164913306,8.50426e+11,0,0,FALSE,2,0,0,0,166.441666666667,156.5,608,736,3.5,1,207.5,270,815.5,1006,31,60,FALSE,"2:56:23",176.383333333333,10583
"24","Adriana Aparecida da Silva","F",31,166,52,18.8706633763972,2012,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",200560983,2.46519e+12,0,0,FALSE,4,2,1,0,154.120833333333,149.283333333333,771.5,842,3,1,211.25,270,982.75,1062,6,47,FALSE,"2:33:15",153.25,9195
"25","Adriana Aparecida da Silva","F",35,166,52,18.8706633763972,2016,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",207652865,1.79619e+12,0,0,TRUE,8,4,3,0,154.14375,149.283333333333,770.875,842,3.5,1,193.75,270,964.625,1062,54,69,FALSE,"2:43:22",163.366666666667,9802
"26","Marily dos Santos","F",30,158,46,18.4265342092613,2008,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",192979029,1.69582e+12,0,0,FALSE,3,0,0,0,166.105555555556,156.35,608.666666666667,738,1,1,270,270,878.666666666667,1008,4,51,FALSE,"2:38:10",158.166666666667,9490
"27","Graciete Feira de Santana","F",35,155,43,17.89802289282,2016,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",207652865,1.79619e+12,0,0,TRUE,5,0,0,1,164.156666666667,158.55,632.6,707,1.2,1,260,270,892.6,940,6,128,FALSE,"3:09:15",189.25,11355
"28","Marily dos Santos","F",38,158,46,18.4265342092613,2016,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",207652865,1.79619e+12,0,0,TRUE,10,0,1,1,162.098333333333,151.916666666667,661.1,803,1.5,1,253.5,270,914.6,1073,52,78,FALSE,"2:45:08",165.133333333333,9908
"29","Eunice Jepkirui Kirwa","F",32,155,49,20.3954214360042,2016,"Bahrain","Western Asia","Asia",1425171,32179069149,1,1,FALSE,5,1,3,0,143.133333333333,141.683333333333,938.8,962,1,1,270,270,1208.8,1232,46,2,TRUE,"2:24:13",144.216666666667,8653
"30","Lishan Dula Gemgchu","F",25,164,44,16.3593099345628,2012,"Bahrain","Western Asia","Asia",1300217,30749308511,1,1,FALSE,3,0,2,1,149.744444444444,146.933333333333,835.666666666667,878,2,1,228.333333333333,270,1064,1126,16,62,FALSE,"2:36:20",156.333333333333,9380
"31","Militsa Mircheva","F",22,165,50,18.3654729109275,2016,"Bulgaria","Eastern Europe","Europe",7127822,53237882473,0,0,FALSE,1,0,0,0,164.383333333333,164.383333333333,628,628,1,1,270,270,898,898,10,108,FALSE,"2:51:06",171.1,10266
"32","Nary Ly","F",44,160,55,21.484375,2016,"Cambodia","South-eastern Asia","Asia",15762370,20016747754,0,0,FALSE,3,2,0,1,182.6,179.7,411.666666666667,443,3.33333333333333,2,190,220,601.666666666667,627,9,133,FALSE,"3:20:20",200.333333333333,12020
"33","Lanni Marchant","F",32,155,48,19.9791883454735,2016,"Canada","Northern America","Northern America",36286425,1.52976e+12,0,0,FALSE,5,1,4,0,152.65,148,794.4,862,2.2,1,232,270,1026.4,1132,34,24,FALSE,"2:33:08",153.133333333333,9188
"34","Odette Lapierre","F",33,162,50,19.0519737844841,1988,"Canada","Northern America","Northern America",26895000,5.07354e+11,0,0,FALSE,3,0,0,1,155.3,151.8,753.666666666667,804,1.33333333333333,1,253.333333333333,270,1007,1045,24,11,FALSE,"2:30:56",150.933333333333,9056
"35","Anne Marie Malone (-Macrow)","F",24,165,42,15.4269972451791,1984,"Canada","Northern America","Northern America",25702000,3.55373e+11,0,0,FALSE,2,1,1,0,154.691666666667,153,762.5,787,1,1,270,270,1032.5,1057,3,17,FALSE,"2:36:33",156.55,9393
"36","Krista DuChene","F",39,167,54,19.3624726594715,2016,"Canada","Northern America","Northern America",36286425,1.52976e+12,0,0,FALSE,5,0,5,0,156.003333333333,148.533333333333,747.8,854,2,1,231,270,978.8,1074,34,35,FALSE,"2:35:29",155.483333333333,9329
"37","rika Alejandra Olivera de la Fuente","F",40,165,55,20.2020202020202,2016,"Chile","Latin America and the Caribbean","Latin America and the Caribbean",17909754,2.47028e+11,0,0,FALSE,5,0,0,3,160.61,156.316666666667,680.6,739,1,1,270,270,950.6,1009,88,36,FALSE,"2:35:49",155.816666666667,9349
"38","Natalia del Carmen Romero Jaramillo","F",36,163,57,21.4535737137265,2016,"Chile","Latin America and the Caribbean","Latin America and the Caribbean",17909754,2.47028e+11,0,0,FALSE,10,2,0,8,163.906666666667,154.916666666667,636.2,759,2.9,1,220.5,270,856.7,1029,52,123,FALSE,"3:01:29",181.483333333333,10889
