"","Name","Sex","Age","Height","Weight","bmi","Year","Nationality","SubRegion","continent","Population","GDP","countryWins","subRegionWins","HomeAdvantage","Position","Medal","Time","TimeMins","TimeSecs"
"28","Derek J. Clayton","M",29,187,72,20.589665131974,1972,"Australia","Australia and New Zealand","Oceania",13177000,52003504673,0,0,FALSE,13,FALSE,"2:19:49",139.816666666667,8389
"29","Roderic George ""Rod"" de Highden","M",27,178,60,18.9370029036738,1996,"Australia","Australia and New Zealand","Oceania",18311000,4.01819e+11,0,0,FALSE,23,FALSE,"2:17:42",137.7,8262
"30","Michael Shelley","M",28,183,60,17.9163307354654,2012,"Australia","Australia and New Zealand","Oceania",22728254,1.53819e+12,0,0,FALSE,16,FALSE,"2:14:10",134.166666666667,8050
"31","Lee Joseph Troop","M",27,178,56,17.6745360434289,2000,"Australia","Australia and New Zealand","Oceania",19153000,4.15446e+11,0,0,TRUE,66,FALSE,"2:29:32",149.533333333333,8972
"32","Lee Joseph Troop","M",31,178,56,17.6745360434289,2004,"Australia","Australia and New Zealand","Oceania",20127400,6.1333e+11,0,0,FALSE,28,FALSE,"2:18:46",138.766666666667,8326
"33","Derek J. Clayton","M",25,187,72,20.589665131974,1968,"Australia","Australia and New Zealand","Oceania",12009000,32687870982,0,0,FALSE,7,FALSE,"2:27:23",147.383333333333,8843
"34","Josef Steiner","M",29,179,66,20.5986080334571,1980,"Austria","Western Europe","Europe",7549433,82058912465,0,4,FALSE,39,FALSE,"2:24:24",144.4,8664
"35","Michael Buchleitner","M",34,190,72,19.9445983379501,2004,"Austria","Western Europe","Europe",8171966,3.00904e+11,0,4,FALSE,29,FALSE,"2:19:19",139.316666666667,8359
"36","Helmut Schmuck","M",29,179,64,19.974407790019,1992,"Austria","Western Europe","Europe",7840709,1.95078e+11,0,4,FALSE,47,FALSE,"2:23:38",143.633333333333,8618
"37","Michael Buchleitner","M",30,190,72,19.9445983379501,2000,"Austria","Western Europe","Europe",8011566,1.968e+11,0,4,FALSE,33,FALSE,"2:19:26",139.433333333333,8366
"38","Evans Chebet Kiplagat Barkowet","M",28,170,60,20.7612456747405,2016,"Azerbaijan","Western Asia","Asia",9762274,37847715736,0,0,FALSE,28,FALSE,"2:15:31",135.516666666667,8131
"39","Tharcisse Gashaka","M",33,178,72,22.7244034844085,1996,"Burundi","Sub-Saharan Africa","Africa",6041112,869033856,0,13,FALSE,90,FALSE,"2:32:55",152.916666666667,9175
"40","Joachim Nshimirimana","M",35,168,53,18.7783446712018,2008,"Burundi","Sub-Saharan Africa","Africa",8212264,1611634332,0,13,FALSE,68,FALSE,"2:29:55",149.916666666667,8995
"41","Joachim Nshimirimana","M",31,168,53,18.7783446712018,2004,"Burundi","Sub-Saharan Africa","Africa",7182451,915257323,0,13,FALSE,32,FALSE,"2:19:31",139.516666666667,8371
"42","Karel Lismont","M",23,168,62,21.9671201814059,1972,"Belgium","Western Europe","Europe",9711115,37408591330,2,4,FALSE,2,TRUE,"2:14:31",134.516666666667,8071
"43","Walter Van Renterghem","M",28,176,62,20.0154958677686,1972,"Belgium","Western Europe","Europe",9711115,37408591330,2,4,FALSE,46,FALSE,"2:29:58",149.966666666667,8998
"44","Karel Lismont","M",35,168,62,21.9671201814059,1984,"Belgium","Western Europe","Europe",9855372,83795680815,2,4,FALSE,24,FALSE,"2:17:07",137.116666666667,8227
"45","Maurice Peiren","M",30,170,64,22.1453287197232,1968,"Belgium","Western Europe","Europe",9618756,21376353113,2,4,FALSE,20,FALSE,"2:32:49",152.816666666667,9169
"46","Koen Naert","M",26,182,66,19.9251298152397,2016,"Belgium","Western Europe","Europe",11348159,4.67956e+11,2,4,FALSE,22,FALSE,"2:14:53",134.883333333333,8093
"47","Eddy Marcel Hellebuyck","M",35,163,47,17.6897888516692,1996,"Belgium","Western Europe","Europe",10156637,2.81358e+11,2,4,FALSE,67,FALSE,"2:25:04",145.066666666667,8704
"48","Karel Lismont","M",27,168,62,21.9671201814059,1976,"Belgium","Western Europe","Europe",9818227,71494539498,2,4,FALSE,3,TRUE,"2:11:12",131.2,7872
"49","Armand Parmentier","M",30,175,64,20.8979591836735,1984,"Belgium","Western Europe","Europe",9855372,83795680815,2,4,FALSE,30,FALSE,"2:18:10",138.166666666667,8290
"50","Florent Caelen","M",27,175,54,17.6326530612245,2016,"Belgium","Western Europe","Europe",11348159,4.67956e+11,2,4,FALSE,44,FALSE,"2:17:59",137.983333333333,8279
"51","Gaston Roelants","M",31,174,67,22.1297397278372,1968,"Belgium","Western Europe","Europe",9618756,21376353113,2,4,FALSE,11,FALSE,"2:29:04",149.066666666667,8944
"52","Johan Geirnaert","M",33,174,64,21.1388558594266,1984,"Belgium","Western Europe","Europe",9855372,83795680815,2,4,FALSE,41,FALSE,"2:21:35",141.583333333333,8495
"53","Willem Van Schuerbeeck","M",31,179,60,18.7260073031428,2016,"Belgium","Western Europe","Europe",11348159,4.67956e+11,2,4,FALSE,56,FALSE,"2:18:56 ",138.933333333333,8336
"54","Karel Lismont","M",31,168,62,21.9671201814059,1980,"Belgium","Western Europe","Europe",9859242,1.27508e+11,2,4,FALSE,9,FALSE,"2:13:27",133.45,8007
"55","Raymond ""Ray"" Swan","M",37,167,57,20.4381655849977,1976,"Bermuda","Northern America","Northern America",53200,386300000,0,4,FALSE,58,FALSE,"2:39:18",159.3,9558
"56","Marco Ivn Condori Colque","M",34,168,60,21.2585034013605,2000,"Boliva","Latin America and the Caribbean","Latin America and the Caribbean",8339512,8397912509,0,1,FALSE,72,FALSE,"2:34:11",154.183333333333,9251
"57","Ricardo Condori","M",22,163,56,21.0771952275208,1972,"Boliva","Latin America and the Caribbean","Latin America and the Caribbean",4698083,1257615645,0,1,FALSE,58,FALSE,"2:56:11",176.183333333333,10571
"58","Juan Rodrigo Camacho","M",25,176,62,20.0154958677686,1984,"Boliva","Latin America and the Caribbean","Latin America and the Caribbean",6085496,6169481549,0,1,FALSE,38,FALSE,"2:21:04",141.066666666667,8464
