"","Name","Sex","Age","Height","Weight","bmi","Year","Nationality","SubRegion","continent","Population","GDP","countryWins","subRegionWins","HomeAdvantage","marathons","Gmarathons","Smarathons","Bmarathons","avgTime","bestTime","avgTimeScore","bestTimeScore","avgPosition","bestPosition","avgPositionScore","bestPositionScore","avgPerformanceScore","bestPerformanceScore","monthsBestTime","Position","Medal","Time","TimeMins","TimeSecs"
"300","Carlos Cordero Gmez","M",31,159,54,21.3599145603418,2008,"Mexico","Latin America and the Caribbean","Latin America and the Caribbean",113661809,1.10128e+12,0,1,FALSE,3,0,0,1,136.533333333333,133.466666666667,1047.66666666667,1100,1.33333333333333,1,253.333333333333,270,1301,1320,5,32,FALSE,"2:18:40",138.666666666667,8320
"301","Procopio Franco Hernndez","M",38,169,60,21.0076677987465,2008,"Mexico","Latin America and the Caribbean","Latin America and the Caribbean",113661809,1.10128e+12,0,1,FALSE,7,1,0,1,134.314285714286,131.7,1085.85714285714,1131,1.71428571428571,1,237.857142857143,270,1323.71428571429,1385,53,47,FALSE,"2:23:24",143.4,8604
"302","Mario Cuevas","M",26,168,58,20.5498866213152,1976,"Mexico","Latin America and the Caribbean","Latin America and the Caribbean",62623763,89023915584,0,1,FALSE,1,0,0,0,138.15,138.15,1020,1020,5,5,155,155,1175,1175,1,18,FALSE,"2:18:08",138.133333333333,8288
"303","Jos Isidro Rico Rangel","M",31,175,60,19.5918367346939,1992,"Mexico","Latin America and the Caribbean","Latin America and the Caribbean",88828310,3.63609e+11,0,1,FALSE,3,1,1,1,134.105555555556,129.466666666667,1090.66666666667,1171,5,1,168.333333333333,270,1259,1441,4,29,FALSE,"2:18:52",138.866666666667,8332
"304","David Carver","M",28,183,68,20.3051748335274,2016,"Mauritius","Sub-Saharan Africa","Africa",1263473,12168437744,0,13,FALSE,2,1,1,0,140.1,138.333333333333,988,1017,4,2,182.5,220,1170.5,1179,4,102,FALSE,"2:26:16",146.266666666667,8776
"305","Tuihaleni Frank Kayele","M",28,176,58,18.724173553719,1992,"Namibia","Sub-Saharan Africa","Africa",1513721,3448326858,0,13,FALSE,1,0,0,0,131.983333333333,131.983333333333,1126,1126,1,1,270,270,1396,1396,4,69,FALSE,"2:31:41",151.683333333333,9101
"306","Joseph Tjitunga","M",24,178,64,20.1994697639187,1996,"Namibia","Sub-Saharan Africa","Africa",1706489,3945340776,0,13,FALSE,1,0,0,0,141.95,141.95,958,958,3,3,195,195,1153,1153,12,76,FALSE,"2:27:52",147.866666666667,8872
"307","Mynhardt Mbeumuna Kauanivi","M",32,178,59,18.6213861886125,2016,"Namibia","Sub-Saharan Africa","Africa",2479713,10947880690,0,13,FALSE,3,0,2,0,141.794444444444,138.416666666667,960.666666666667,1016,1.66666666666667,1,245,270,1205.66666666667,1231,11,70,FALSE,"2:20:45 ",140.75,8445
"308","William Duilio Aguirre Villavicencio","M",33,173,65,21.7180660897457,1996,"Nicaragua","Latin America and the Caribbean","Latin America and the Caribbean",4700779,4308351903,0,1,FALSE,4,0,1,1,150.275,147.316666666667,827.75,872,8.5,5,121,155,948.75,1017,107,99,FALSE,"2:37:02",157.033333333333,9422
"309","William Duilio Aguirre Villavicencio","M",29,173,65,21.7180660897457,1992,"Nicaragua","Latin America and the Caribbean","Latin America and the Caribbean",4331277,1792800000,0,1,FALSE,2,0,1,0,148.45,147.316666666667,855,872,5.5,5,150,155,1005,1017,59,73,FALSE,"2:34:18",154.3,9258
