Date,Label,Distance,Competition,Venue,Country,Men's winner,Women's winner
14 April 2019,Gold,Marathon,Schneider Electric Marathon de Paris,Paris,France,[[]] (),[[]] ()
14 April 2019,Bronze,Marathon,Dongfeng Renault Wuhan Marathon,Wuhan,China,[[]] (),[[]] ()
14 April 2019,Silver,Marathon,Orlen Warsaw Marathon,Warsaw,Poland,[[]] (),[[]] ()
15 April 2019,Gold,Marathon,B.A.A. Boston Marathon,Boston,United States,Lawrence Cherono (KEN),Worknesh Degefa (ETH)
20 April 2019,Gold,Marathon,Yellow River Estuary International Marathon,Dongying,China,[[]] (),[[]] ()
21 April 2019,Gold,Marathon,Yangzhou Jianzhen International Half Marathon,Yangzhou,China,[[]] (),[[]] ()
21 April 2019,Bronze,Marathon,Nagano Marathon,Nagano,Japan,[[]] (),[[]] ()
27 April 2019,Gold,Marathon,Rock 'n' Roll Madrid Maraton,Madrid,Spain,[[]] (),[[]] ()
28 April 2019,Gold,Marathon,Virgin Money London Marathon,London,United Kingdom,Eliud Kipchoge (KEN),Brigid Kosgei (KEN)
28 April 2019,Gold,Half marathon,Gifu Seiryu Half Marathon,Gifu,Japan,[[]] (),[[]] ()
28 April 2019,Bronze,Marathon,PZU Cracovia Marathon,Kraków,Poland,[[]] (),[[]] ()
5 May 2019,Gold,Marathon,Volkswagen Prague Marathon,Prague,Czech Republic,[[]] (),[[]] ()
12 May 2019,Silver,Marathon,32nd ICBC Cup - Dalian International Marathon,Dalian,China,[[]] (),[[]] ()
12 May 2019,Bronze,Marathon,Harmony Geneva Marathon for Unicef,Geneva,Switzerland,[[]] (),[[]] ()
19 May 2019,Gold,10K run,Tata Consultancy Services World 10K Bangalore,Bangalore,India,[[]] (),[[]] ()
19 May 2019,Bronze,Marathon,Telnor Copenhagen Marathon,Copenhagen,Denmark,[[]] (),[[]] ()
19 May 2019,Gold,Marathon,Tet Riga Marathon,Riga,Latvia,[[]] (),[[]] ()
19 May 2019,Bronze,12K run,FNB Cape Town 12 ONERUN,Cape Town,South Africa,[[]] (),[[]] ()
19 May 2019,Bronze,10K run,Happy 10K Guangzhou,Guangzhou,China,[[]] (),[[]] ()
25 May 2019,Gold,10K run,Ottawa 10K,Ottawa,Canada,[[]] (),[[]] ()
25 May 2019,Silver,10K run,Okpekpe Intn'l 10km Road Race,Okpekpe,Nigeria,[[]] (),[[]] ()
26 May 2019,Gold,Marathon,Scotiabank Ottawa Marathon,Ottawa,Canada,[[]] (),[[]] ()
2 June 2019,Gold,Marathon,"""Bank of Lanzhou Cup"" - Lanzhou International Marathon",Lanzhou,China,[[]] (),[[]] ()
8 June 2019,Bronze,15K run,15K Nocturna Valencia Banco Mediolanum,Valencia,Spain,[[]] (),[[]] ()
15 June 2019,Bronze,10K run,Corrida de Langueux,Langueux,France,[[]] (),[[]] ()
15 June 2019,Gold,Half marathon,Mattoni Olomouc Half Marathon,Olomouc,Czech Republic,[[]] (),[[]] ()
22 June 2019,Bronze,10K run,Vidovdanska Trka 10Km,Brčko,Bosnia and Herzegovina,[[]] (),[[]] ()
30 June 2019,Bronze,10K run,Le 10Km de Port-Gentil,Port-Gentil,Gabon,[[]] (),[[]] ()
7 July 2019,Gold,Marathon,Gold Coast Marathon,Gold Coast,Australia,[[]] (),[[]] ()
28 July 2019,Gold,Half marathon,Media Maratón de Bogotá,Bogotá,Colombia,[[]] (),[[]] ()
28 July 2019,Bronze,Marathon,Liupanshui Summer International Marathon,Liupanshui,China,[[]] (),[[]] ()
4 August 2019,Bronze,Half marathon,Sunshine Coast Half Marathon,Sunshine Coast,Australia,[[]] (),[[]] ()
25 August 2019,Gold,Marathon,Maratón Ciudad de México,Mexico City,Mexico,[[]] (),[[]] ()
7 September 2019,Gold,10K run,Birell Prague Grand Prix,Prague,Czech Republic,[[]] (),[[]] ()
8 September 2019,Gold,Marathon,Taiyuan International Marathon,Taiyuan,China,[[]] (),[[]] ()
15 September 2019,Gold,Marathon,Sanlam Cape Town Marathon,Cape Town,South Africa,[[]] (),[[]] ()
15 September 2019,Gold,Marathon,Blackmores Sydney Marathon,Sydney,Australia,[[]] (),[[]] ()
15 September 2019,Gold,Half marathon,Copenhagen Half Marathon,Copenhagen,Denmark,Geoffrey Kamworor (KEN),Birhane Dibaba (ETH)
15 September 2019,Silver,Half marathon,Minsk Half Marathon,Minsk,Belarus,[[]] (),[[]] ()
21 September 2019,Gold,Half marathon,Mattoni Ústí nad Labem Half Marathon,Ústí nad Labem,Czech Republic,[[]] (),[[]] ()
22 September 2019,Bronze,Half marathon,Hyundai Porto Half Marathon,Porto,Portugal,[[]] (),[[]] ()
22 September 2019,Bronze,Marathon,Maratón de Buenos Aires Ñandú,Buenos Aires,Argentina,[[]] (),[[]] ()
22 September 2019,Gold,Marathon,Hengshui Lake International Marathon,Hengshui,China,[[]] (),[[]] ()
22 September 2019,Silver,10 miles,Dam Tot Damloop,Amsterdam,Netherlands,[[]] (),[[]] ()
29 September 2019,Gold,Marathon,BMW Berlin-Marathon,Berlin,Germany,Kenenisa Bekele (ETH),Ashete Bekere (ETH)
29 September 2019,Bronze,20K run,20km International de Marrakesh,Marrakesh,Morocco,[[]] (),[[]] ()
6 October 2019,Bronze,Half marathon,Amgen Singelloop Breda,Breda,Netherlands,[[]] (),[[]] ()
6 October 2019,Silver,Half marathon,Cardiff University / Cardiff Half Marathon,Cardiff,United Kingdom,[[]] (),[[]] ()
6 October 2019,Silver,Marathon,Košice Peace Marathon,Košice,Slovakia,[[]] (),[[]] ()
13 October 2019,Bronze,Marathon,Raiffeisen Bank Bucharest Marathon,Bucharest,Romania,[[]] (),[[]] ()
13 October 2019,Gold,Marathon,Bank of America Chicago Marathon,Chicago,United States,Lawrence Cherono (KEN),Brigid Kosgei (KEN)
13 October 2019,Silver,20K run,Les 20 Km de Paris,Paris,France,[[]] (),[[]] ()
13 October 2019,Bronze,Marathon,Wizz Air Sofia Marathon,Sofia,Bulgaria,[[]] (),[[]] ()
13 October 2019,Bronze,Half marathon,Changzhou West Taihu Lake Half Marathon,Changzhou,China,[[]] (),[[]] ()
13 October 2019,Bronze,10K run,FNB Durban 10K CITYSURFRUN,Durban,South Africa,[[]] (),[[]] ()
20 October 2019,Gold,Marathon,TCS Amsterdam Marathon,Amsterdam,Netherlands,[[]] (),[[]] ()
20 October 2019,Gold,Half marathon,Luso Meia Maratona,Lisbon,Portugal,[[]] (),[[]] ()
20 October 2019,Silver,Marathon,EDP Maratona de Lisboa,Lisbon,Portugal,[[]] (),[[]] ()
20 October 2019,Gold,Half marathon,Airtel Delhi Half Marathon,New Delhi,India,[[]] (),[[]] ()
20 October 2019,Gold,Marathon,Scotiabank Toronto Waterfront Marathon,Toronto,Canada,[[]] (),[[]] ()
20 October 2019,Bronze,Marathon,PKO Poznań Marathon,Poznań,Poland,[[]] (),[[]] ()
27 October 2019,Bronze,Marathon,Changsha International Marathon,Changsha,China,[[]] (),[[]] ()
27 October 2019,Gold,Marathon,Mainova Frankfurt Marathon,Frankfurt,Germany,[[]] (),[[]] ()
27 October 2019,Gold,Marathon,Volkswagen Ljubljana Marathon,Ljubljana,Slovenia,[[]] (),[[]] ()
27 October 2019,Gold,Half marathon,Medio Maratón Valencia Trinidad Alfonso EDP,Valencia,Spain,[[]] (),[[]] ()
27 October 2019,Bronze,Marathon,Huawei Venice Marathon,Venice,Italy,[[]] (),[[]] ()
1 November 2019,Bronze,10K run,La Corsa dei Santi 10Km,Rome,Italy,[[]] (),[[]] ()
3 November 2019,Gold,Marathon,TCS New York City Marathon,New York City,United States,Geoffrey Kamworor (KEN),Joyciline Jepkosgei (KEN)
3 November 2019,Bronze,Marathon,Maratona do Porto EDP,Porto,Portugal,[[]] (),[[]] ()
3 November 2019,Bronze,Marathon,Maratón Internacional Megacable Guadalajara,Guadalajara,Mexico,[[]] (),[[]] ()
3 November 2019,Gold,Marathon,Istanbul Marathon,Istanbul,Turkey,[[]] (),[[]] ()
3 November 2019,Gold,Marathon,Hangzhou Marathon,Hangzhou,China,[[]] (),[[]] ()
3 November 2019,Gold,Marathon,CFLD Beijing Marathon,Beijing,China,[[]] (),[[]] ()
9 November 2019,Bronze,Marathon,Xichang Qionghai Lake Wetland International Marathon,Xichang,China,[[]] (),[[]] ()
10 November 2019,Silver,Marathon,BLOM Bank Beirut Marathon,Beirut,Lebanon,Cancelled,Cancelled
10 November 2019,Silver,Marathon,Hefei International Marathon,Hefei,China,[[]] (),[[]] ()
10 November 2019,Bronze,Marathon,Nanjing Marathon,Nanjing,China,[[]] (),[[]] ()
10 November 2019,Bronze,Marathon,Nanchang International Marathon,Nanchang,China,[[]] (),[[]] ()
17 November 2019,Bronze,Marathon,Kobe Marathon,Kobe,Japan,[[]] (),[[]] ()
17 November 2019,Gold,Marathon,Shanghai International Marathon,Shanghai,China,[[]] (),[[]] ()
17 November 2019,Bronze,Half marathon,Semi-Marathon de Boulogne Billancourt Christian Granger,Boulogne-Billancourt,France,[[]] (),[[]] ()
24 November 2019,Bronze,Marathon,Asics Firenze Marathon,Florence,Italy,[[]] (),[[]] ()
30 November 2019,Gold,Marathon,Standard Chartered Singapore Marathon,Singapore,Singapore,[[]] (),[[]] ()
1 December 2019,Silver,10K run,10K Valencia Trinidad Alfonso,Valencia,Spain,[[]] (),[[]] ()
1 December 2019,Gold,Marathon,Maratón Valencia Trinidad Alfonso EDP,Valencia,Spain,[[]] (),[[]] ()
1 December 2019,Bronze,Marathon,Marathon Comarch de la ville de Tunis,Tunis,Tunisia,[[]] (),[[]] ()
1 December 2019,Bronze,Marathon,GSEZ Marathon du Gabon,Libreville,Gabon,[[]] (),[[]] ()
1 December 2019,Bronze,Marathon,SCO Kunming International Marathon,Kunming,China,[[]] (),[[]] ()
1 December 2019,Gold,Marathon,The 73rd Fukuoka International Open Marathon Championships,Fukuoka,Japan,[[]] (),[[]] ()
8 December 2019,Gold,Marathon,Guangzhou Marathon,Guangzhou,China,[[]] (),[[]] ()
8 December 2019,Silver,Marathon,Saitama International Marathon,Saitama,Japan,[[]] (),[[]] ()
15 December 2019,Gold,Marathon,Shenzhen Marathon,Shenzhen,China,[[]] (),[[]] ()
15 December 2019,Silver,Half marathon,Bangsaen21 Half Marathon,Chonburi,Thailand,[[]] (),[[]] ()
15 December 2019,Silver,Marathon,Mersin Marathon,Mersin,Turkey,[[]] (),[[]] ()
15 December 2019,Bronze,Marathon,Taipei Marathon,Taipei,Taiwan,[[]] (),[[]] ()
15 December 2019,Bronze,Marathon,Zurich Maratón Málaga,Málaga,Spain,[[]] (),[[]] ()
15 December 2019,Silver,25K run,Tata Steel Kolkata 25K,Kolkata,India,[[]] (),[[]] ()
29 December 2019,Silver,10K run,Corrida Pédestre Internationale de Houilles,Houilles,France,[[]] (),[[]] ()
31 December 2019,Bronze,15K run,Corrida Internacional de São Silvestre,São Paulo,Brazil,[[]] (),[[]] ()
31 December 2019,Gold,10K run,Nationale-Nederlanden San Silvestre Vallecana,Madrid,Spain,[[]] (),[[]] ()
31 December 2019,Bronze,10K run (men)5K run (women),BOclassic Südtirol,Bolzano,Italy,Eyob Ghebrehiwet Faniel (ITA),Margaret Chelimo Kipkemboi (KEN)
