Date,Label,Distance,Competition,Venue,Country,Men's winner,Women's winner
6 January 2019,Gold,Marathon,Xiamen Marathon,Xiamen,China,Dejene Debela (ETH),Medina Armino (ETH)
13 January 2019,Bronze,10K run,10K Valencia Ibercaja,Valencia,Spain,[[]] (),[[]] ()
20 January 2019,Silver,Marathon,Chevron Houston Marathon,Houston,United States,Albert Korir (KEN),Biruktayit Degefa (ETH)
20 January 2019,Gold,Half marathon,Aramco Houston Half Marathon,Houston,United States,Shura Kitata (ETH),Brigid Kosgei (KEN)
20 January 2019,Gold,Marathon,Tata Mumbai Marathon,Mumbai,India,Cosmas Lagat (KEN),Worknesh Alemu (ETH)
25 January 2019,Gold,Marathon,Standard Chartered Dubai Marathon,Dubai,United Arab Emirates,Getaneh Tamire Molla (ETH),Ruth Chepngetich (KEN)
27 January 2019,Gold,Marathon,Osaka Women's Marathon,Osaka,Japan,[[]] (),[[]] ()
2 February 2019,Bronze,Marathon,Access Bank Lagos City Marathon,Lagos,Nigeria,[[]] (),[[]] ()
3 February 2019,Silver,Half marathon,Kagawa Marugame International Half Marathon,Marugame,Japan,[[]] (),[[]] ()
10 February 2019,Gold,Half marathon,eDreams Mitja Marató de Barcelona,Barcelona,Spain,[[]] (),[[]] ()
17 February 2019,Gold,Marathon,Zurich Maratón de Seville,Seville,Spain,[[]] (),[[]] ()
17 February 2019,Gold,Marathon,Standard Chartered Hong Kong Marathon,Hong Kong,China,[[]] (),[[]] ()
24 February 2019,Gold,Half marathon,Medio Maratón Internacional Electrolit Guadalajara,Guadalajara,Mexico,[[]] (),[[]] ()
3 March 2019,Gold,Marathon,Tokyo Marathon,Tokyo,Japan,Birhanu Legese (ETH),Ruti Aga (ETH)
10 March 2019,Gold,Marathon,Lake Biwa Mainichi Marathon,Ōtsu,Japan,[[]] (),[[]] ()
10 March 2019,Bronze,Marathon,Zurich Marató Barcelona,Barcelona,Spain,[[]] (),[[]] ()
10 March 2019,Gold,Half marathon,Huawei Roma-Ostia Half Marathon,Rome,Italy,[[]] (),[[]] ()
10 March 2019,Gold,Marathon,Nagoya Women's Marathon,Nagoya,Japan,[[]] (),[[]] ()
17 March 2019,Bronze,Half marathon,Gdynia Half Marathon,Gdynia,Poland,[[]] (),[[]] ()
17 March 2019,Silver,Marathon,New Taipei City Wan Jin Shi Marathon,New Taipei City,Taiwan,[[]] (),[[]] ()
17 March 2019,Gold,Marathon,Seoul International Marathon,Seoul,South Korea,[[]] (),[[]] ()
17 March 2019,Gold,Half marathon,EDP Meia Maratona de Lisboa,Lisbon,Portugal,[[]] (),[[]] ()
24 March 2019,Bronze,Marathon,Beverly Wuxi Marathon,Wuxi,China,[[]] (),[[]] ()
31 March 2019,Gold,Marathon,Chang’an Automobile Chongqing International Marathon,Chongqing,China,[[]] (),[[]] ()
31 March 2019,Silver,Half marathon,PZU Warsaw Half Marathon,Warsaw,Poland,[[]] (),[[]] ()
6 April 2019,Gold,Half marathon,Sportisimo Prague Half Marathon,Prague,Czech Republic,[[]] (),[[]] ()
7 April 2019,Gold,Marathon,Vienna City Marathon,Vienna,Austria,[[]] (),[[]] ()
7 April 2019,Bronze,Marathon,Mangyongdae Prize Marathon,Pyongyang,North Korea,[[]] (),[[]] ()
7 April 2019,Bronze,Marathon,Maratona de São Paulo,São Paulo,Brazil,[[]] (),[[]] ()
7 April 2019,Bronze,Half marathon,Nova Poshta Kyiv Half Marathon,Kyiv,Ukraine,[[]] (),[[]] ()
7 April 2019,Bronze,Half marathon,Movistar Medio Maratón de Madrid,Madrid,Spain,[[]] (),[[]] ()
7 April 2019,Gold,Half marathon,Vodafone Istanbul Half Marathon,Istanbul,Turkey,[[]] (),[[]] ()
7 April 2019,Silver,Marathon,HAJ Hannover Marathon,Hannover,Germany,[[]] (),[[]] ()
7 April 2019,Silver,Marathon,Generali Milan Marathon,Milan,Italy,[[]] (),[[]] ()
7 April 2019,Silver,Marathon,Daegu International Marathon,Daegu,South Korea,[[]] (),[[]] ()
7 April 2019,Gold,Marathon,NN Marathon Rotterdam,Rotterdam,Netherlands,Marius Kipserem (KEN),Ashete Bekere (ETH)
7 April 2019,Silver,Marathon,Maratona Internazionale di Rome,Rome,Italy,[[]] (),[[]] ()
