Date,Label,Distance,Competition,Venue,Country,Men's winner,Women's winner
7 January 2018,Gold,Marathon,C&D Xiamen Marathon,Xiamen,China,Dejene Debela (ETH),Fatuma Sado (ETH)
14 January 2018,Gold,Half marathon,Aramco Houston Half Marathon,Houston,United States,Jake Robertson (NZL),Ruti Aga (ETH)
14 January 2018,Silver,Marathon,Chevron Houston Marathon,Houston,United States,Bazu Worku (ETH),Biruktayit Degefa (ETH)
21 January 2018,Silver,Marathon,Standard Chartered Mumbai Marathon,Mumbai,India,Solomon Deksisa (ETH),Amane Gobena (ETH)
21 January 2018,Gold,Marathon,Standard Chartered Hong Kong Marathon,Hong Kong,China,Kennedy Mburu (KEN),Gulume Tollesa (ETH)
26 January 2018,Gold,Marathon,Standard Chartered Dubai Marathon,Dubai,United Arab Emirates,[[]] (),[[]] ()
28 January 2018,Gold,Marathon,Osaka Women's Marathon,Osaka,Japan,[[]] (),[[]] ()
4 February 2018,Silver,Half marathon,Kagawa Marugame International Half Marathon,Marugame,Japan,[[]] (),[[]] ()
10 February 2018,Bronze,Marathon,Access Bank Lagos City Marathon,Lagos,Nigeria,[[]] (),[[]] ()
11 February 2018,Gold,Half marathon,eDreams Mitja Marató de Barcelona,Barcelona,Spain,[[]] (),[[]] ()
18 February 2018,Bronze,Half marathon,Medio Maratón Internacional Electrolit Guadalajara,Guadalajara,Mexico,[[]] (),[[]] ()
25 February 2018,Gold,Marathon,Zurich Maratón de Seville,Seville,Spain,[[]] (),[[]] ()
25 February 2018,Gold,Marathon,Tokyo Marathon,Tokyo,Japan,[[]] (),[[]] ()
4 March 2018,Gold,Marathon,Lake Biwa Mainichi Marathon,Ōtsu,Japan,[[]] (),[[]] ()
11 March 2018,Gold,Half marathon,EDP Meia Maratona de Lisboa,Lisbon,Portugal,[[]] (),[[]] ()
11 March 2018,Bronze,Marathon,Zurich Marató Barcelona,Barcelona,Spain,[[]] (),[[]] ()
11 March 2018,Gold,Half marathon,Huawei RomeOstia Half Marathon,Rome,Italy,[[]] (),[[]] ()
11 March 2018,Gold,Marathon,Nagoya Women's Marathon,Nagoya,Japan,[[]] (),[[]] ()
18 March 2018,Silver,Marathon,New Taipei City Wan Jin Shi Marathon,New Taipei City,Taiwan,[[]] (),[[]] ()
18 March 2018,Bronze,Half marathon,ONICO Gdynia Half Marathon,Gdynia,Poland,[[]] (),[[]] ()
18 March 2018,Gold,Marathon,Seoul International Marathon,Seoul,South Korea,[[]] (),[[]] ()
25 March 2018,Bronze,Half marathon,PZU Pólmaraton Warszawski,Warsaw,Poland,[[]] (),[[]] ()
25 March 2018,Gold,Marathon,Chongqing International Marathon,Chongqing,China,[[]] (),[[]] ()
1 April 2018,Silver,Marathon,Daegu International Marathon,Daegu,South Korea,[[]] (),[[]] ()
7 April 2018,Gold,Half marathon,Sportisimo Prague Half Marathon,Prague,Czech Republic,[[]] (),[[]] ()
8 April 2018,Bronze,Marathon,Mangyongdae Prize Marathon,Pyongyang,North Korea,[[]] (),[[]] ()
8 April 2018,Gold,Marathon,Schneider Electric Marathon de Paris,Paris,France,[[]] (),[[]] ()
8 April 2018,Gold,Marathon,NN Marathon Rotterdam,Rotterdam,Netherlands,[[]] (),[[]] ()
8 April 2018,Gold,Half marathon,Vodafone Istanbul Half Marathon,Istanbul,Turkey,[[]] (),[[]] ()
8 April 2018,Silver,Marathon,HAJ Hannover Marathon,Hannover,Germany,[[]] (),[[]] ()
8 April 2018,Silver,Marathon,EA7 Emporio Armani Milan Marathon,Milan,Italy,[[]] (),[[]] ()
8 April 2018,Silver,Marathon,Acea Maratona di Rome,Rome,Italy,[[]] (),[[]] ()
15 April 2018,Bronze,Marathon,DOZ Marathon Łódz (& Sport Żel Half Marathon),Łódź,Poland,[[]] (),[[]] ()
15 April 2018,Bronze,Marathon,Nagano Marathon,Nagano,Japan,[[]] (),[[]] ()
16 April 2018,Gold,Marathon,B.A.A. Boston Marathon,Boston,United States,[[]] (),[[]] ()
22 April 2018,Bronze,Half marathon,Nova Poshta Kiev Half Marathon,Kiev,Ukraine,[[]] (),[[]] ()
22 April 2018,Gold,Marathon,Vienna City Marathon,Vienna,Austria,[[]] (),[[]] ()
22 April 2018,Gold,Half marathon,Gifu Seiryu Half Marathon,Gifu,Japan,[[]] (),[[]] ()
22 April 2018,Gold,Half marathon,Yangzhou Jianzhen International Half Marathon,Yangzhou,China,[[]] (),[[]] ()
22 April 2018,Gold,Marathon,Rock 'n' Roll Madrid Maraton,Madrid,Spain,[[]] (),[[]] ()
22 April 2018,Silver,Marathon,Orlen Warsaw Marathon,Warsaw,Poland,[[]] (),[[]] ()
22 April 2018,Gold,Marathon,Virgin Money London Marathon,London,United Kingdom,[[]] (),[[]] ()
5 May 2018,Gold,Marathon,Yellow River Estuary International Marathon,Dongying,China,[[]] (),[[]] ()
6 May 2018,Bronze,Marathon,Harmony Geneva Marathon for Unicef,Geneva,Switzerland,[[]] (),[[]] ()
6 May 2018,Gold,Marathon,Volkswagen Prague Marathon,Prague,Czech Republic,[[]] (),[[]] ()
12 May 2018,Silver,10K run,Okpekpe Intn'l 10km Road Race,Okpekpe,Nigeria,[[]] (),[[]] ()
13 May 2018,Bronze,Marathon,Dalian International Marathon,Dalian,China,[[]] (),[[]] ()
19 May 2018,Gold,Half marathon,Mattoni Karlovy Vary Half Marathon,Karlovy Vary,Czech Republic,[[]] (),[[]] ()
20 May 2018,Bronze,Marathon,Lattelecom Riga Marathon,Riga,Latvia,[[]] (),[[]] ()
26 May 2018,Gold,10K run,Ottawa 10K,Ottawa,Canada,[[]] (),[[]] ()
27 May 2018,Gold,Marathon,Scotiabank Ottawa Marathon,Ottawa,Canada,[[]] (),[[]] ()
