Date,Label,Distance,Competition,Venue,Country,Men's winner,Women's winner
27 May 2018,Gold,10K run,Tata Consultancy Services World 10K Bangalore,Bangalore,India,[[]] (),[[]] ()
2 June 2018,Gold,Half marathon,Mattoni České Budějovice Half Marathon,České Budějovice,Czech Republic,[[]] (),[[]] ()
10 June 2018,Gold,Marathon,Lanzhou International Marathon,Lanzhou,China,[[]] (),[[]] ()
16 June 2018,Bronze,10K run,Corrida de Langueux,Langueux,France,[[]] (),[[]] ()
23 June 2018,Bronze,10K run,Vidovdan Road Race,Brčko,Bosnia and Herzegovina,[[]] (),[[]] ()
23 June 2018,Gold,Half marathon,Mattoni Olomouc Half Marathon,Olomouc,Czech Republic,[[]] (),[[]] ()
1 July 2018,Gold,Marathon,Gold Coast Airport Marathon,Gold Coast,Australia,[[]] (),[[]] ()
29 July 2018,Gold,Half marathon,Media Maratón de Bogotá,Bogotá,Colombia,[[]] (),[[]] ()
26 August 2018,Silver,Marathon,Maratón TELCEL Ciudad de México,Mexico City,Mexico,[[]] (),[[]] ()
8 September 2018,Gold,10K run,Birell Prague Grand Prix,Prague,Czech Republic,[[]] (),[[]] ()
8 September 2018,Silver,Marathon,Taiyuan International Marathon,Taiyuan,China,[[]] (),[[]] ()
9 September 2018,Bronze,Half marathon,Minsk Half Marathon,Minsk,Belarus,[[]] (),[[]] ()
15 September 2018,Gold,Half marathon,Mattoni Usti nad Labem Half Marathon,Ústí nad Labem,Czech Republic,[[]] (),[[]] ()
16 September 2018,Gold,Marathon,BMW Berlin-Marathon,Berlin,Germany,[[]] (),[[]] ()
16 September 2018,Gold,Half marathon,Copenhagen Half Marathon,Copenhagen,Denmark,[[]] (),[[]] ()
16 September 2018,Gold,Marathon,CFLD Beijing Marathon,Beijing,China,[[]] (),[[]] ()
16 September 2018,Gold,Marathon,Blackmores Sydney Marathon,Sydney,Australia,[[]] (),[[]] ()
23 September 2018,Gold,Marathon,Sanlam Cape Town Marathon,Cape Town,South Africa,[[]] (),[[]] ()
23 September 2018,Silver,10 miles,Dam Tot Damloop,Amsterdam,Netherlands,[[]] (),[[]] ()
23 September 2018,Bronze,Marathon,Maratón de Buenos Aires Ñandú,Buenos Aires,Argentina,[[]] (),[[]] ()
29 September 2018,Silver,Marathon,Hengshui Lake International Marathon,Hengshui,China,[[]] (),[[]] ()
30 September 2018,Bronze,Marathon,PZU Maraton Warszawski,Warsaw,Poland,[[]] (),[[]] ()
7 October 2018,Silver,Half marathon,Cardiff University / Cardiff Half Marathon,Cardiff,United Kingdom,[[]] (),[[]] ()
7 October 2018,Silver,Marathon,Košice Peace Marathon,Košice,Slovakia,[[]] (),[[]] ()
7 October 2018,Gold,Marathon,Bank of America Chicago Marathon,Chicago,United States,[[]] (),[[]] ()
14 October 2018,Bronze,Marathon,Raiffeisen Bank Bucharest Marathon,Bucharest,Romania,[[]] (),[[]] ()
14 October 2018,Bronze,Marathon,PKO Poznań Marathon,Poznań,Poland,[[]] (),[[]] ()
14 October 2018,Silver,20K run,Les 20 Km de Paris,Paris,France,[[]] (),[[]] ()
14 October 2018,Silver,Marathon,EDP Maratona de Lisboa,Lisbon,Portugal,[[]] (),[[]] ()
14 October 2018,Gold,Half marathon,Meia Maratona de Portugal,Lisbon,Portugal,[[]] (),[[]] ()
21 October 2018,Gold,Marathon,Scotiabank Toronto Waterfront Marathon,Toronto,Canada,[[]] (),[[]] ()
21 October 2018,Gold,Marathon,TCS Amsterdam Marathon,Amsterdam,Netherlands,[[]] (),[[]] ()
21 October 2018,Gold,Half marathon,Airtel Delhi Half Marathon,New Delhi,India,[[]] (),[[]] ()
28 October 2018,Gold,Marathon,Mainova Frankfurt Marathon,Frankfurt,Germany,[[]] (),[[]] ()
28 October 2018,Silver,20K run,Marseille-Cassis 20Km,Marseille,France,[[]] (),[[]] ()
28 October 2018,Silver,Marathon,Volkswagen Ljubljana Marathon,Ljubljana,Slovenia,[[]] (),[[]] ()
28 October 2018,Gold,Half marathon,Medio Maratón Valencia Trinidad Alfonso EDP,Valencia,Spain,[[]] (),[[]] ()
28 October 2018,Bronze,Marathon,Huawei Venice Marathon,Venice,Italy,[[]] (),[[]] ()
4 November 2018,Gold,Marathon,TCS New York City Marathon,New York City,United States,[[]] (),[[]] ()
4 November 2018,Silver,Marathon,Hangzhou Marathon,Hangzhou,China,[[]] (),[[]] ()
4 November 2018,Bronze,Marathon,Maratona do Porto EDP,Porto,Portugal,[[]] (),[[]] ()
4 November 2018,Bronze,Marathon,Marathon des Alpes-Maritimes Nice-Cannes,Nice,France,[[]] (),[[]] ()
11 November 2018,Bronze,Marathon,Maratón Internacional Megacable Guadalajara,Guadalajara,Mexico,[[]] (),[[]] ()
11 November 2018,Silver,Marathon,BLOM BANK Beirut Marathon,Beirut,Lebanon,[[]] (),[[]] ()
11 November 2018,Gold,Marathon,Vodafone Istanbul Marathon,Istanbul,Turkey,[[]] (),[[]] ()
11 November 2018,Bronze,Marathon,Hefei International Marathon,Hefei,China,[[]] (),[[]] ()
18 November 2018,Bronze,Marathon,Kobe Marathon,Kobe,Japan,[[]] (),[[]] ()
18 November 2018,Gold,Marathon,Shanghai International Marathon,Shanghai,China,[[]] (),[[]] ()
18 November 2018,Bronze,Half marathon,Semi-Marathon de Boulogne Billancourt Christian Granger,Boulogne-Billancourt,France,[[]] (),[[]] ()
25 November 2018,Bronze,Marathon,Asics Firenze Marathon,Florence,Italy,[[]] (),[[]] ()
2 December 2018,Gold,Marathon,The 72nd Fukuoka International Open Marathon Championships,Fukuoka,Japan,[[]] (),[[]] ()
2 December 2018,Gold,Marathon,Maratón Valencia Trinidad Alfonso EDP,Valencia,Spain,[[]] (),[[]] ()
2 December 2018,Bronze,10K run,10K Valencia Trinidad Alfonso,Valencia,Spain,[[]] (),[[]] ()
2 December 2018,Bronze,Marathon,Marathon du Gabon Olam,Libreville,Gabon,[[]] (),[[]] ()
9 December 2018,Silver,Marathon,Saitama International Marathon,Saitama,Japan,[[]] (),[[]] ()
9 December 2018,Gold,Marathon,Guangzhou Marathon,Guangzhou,China,[[]] (),[[]] ()
9 December 2018,Gold,Marathon,Standard Chartered Singapore Marathon,Singapore,Singapore,[[]] (),[[]] ()
16 December 2018,Silver,Marathon,Shenzhen Marathon,Shenzhen,China,[[]] (),[[]] ()
16 December 2018,Bronze,Marathon,Mersin Marathon,Mersin,Turkey,[[]] (),[[]] ()
16 December 2018,Bronze,25K run,Tata Steel Kolkata 25K,Kolkata,India,[[]] (),[[]] ()
16 December 2018,Bronze,Half marathon,Bangsaen21 Half Marathon,Chonburi,Thailand,[[]] (),[[]] ()
30 December 2018,Silver,10K run,Corrida Internationale de Houilles,Houilles,France,[[]] (),[[]] ()
31 December 2018,Silver,10K run,Nationale-Nederlanden San Silvestre Vallecana,Madrid,Spain,[[]] (),[[]] ()
