Date,Label,Competition,Status,Venue,Country,Men's winner,Women's winner
13-Sep-20,Gold,Haspa Marathon Hamburg,,Hamburg,,,
13-Sep-20,Gold,TCS World 10K Bengaluru,,Bengaluru,India,,
14-Sep-20,Platinum,B.A.A. Boston Marathon,,"Boston, MA",,,
19-Sep-20,Gold,Sydney Running Festival / Sydney Marathon,,Sydney,Australia,,
20-Sep-20,Bronze,Maratón de Buenos Aires Ñandú,,Buenos Aires,Argentina,,
20-Sep-20,Bronze,Hyundai Porto Half Marathon,,Porto,,,
20-Sep-20,Gold,Taiyuan International Marathon,,Taiyuan,,,
20-Sep-20,Gold,Hengshui Lake International Marathon,,Hengshui,,,
20-Sep-20,Gold,Vodafone Istanbul Half Marathon,,Istanbul,Turkey,,
24-Sep-20,Bronze,FNB Joburg 10K CITYRUN,,Johannesburg,South Africa,,
26-Sep-20,Silver,15K Nocturna Valencia Banco Mediolanum,,Valencia,Spain,,
27-Sep-20,Platinum,BMW BERLIN MARATHON,,Berlin,Germany,,
27-Sep-20,Bronze,20km International de Marrakech,,Marrakech,,,
27-Sep-20,Bronze,PZU Warsaw Marathon,,Warsaw,,,
27-Sep-20,Bronze,Bangsaen 10,,Chonburi,,,
4-Oct-20,Gold,Cardiff University / Cardiff Half Marathon,,Cardiff,,,
4-Oct-20,Bronze,Telesia Half Marathon,,Telese Terme,,,
4-Oct-20,Bronze,Amgen Singelloop Breda,,Breda,,,
4-Oct-20,Silver,Košice Peace Marathon,,Košice,,,
4-Oct-20,Platinum,Virgin Money London Marathon,,London,,,
4-Oct-20,Silver,Movistar Medio Maratón de Madrid,,Madrid,,,
11-Oct-20,Bronze,Wizz Air Sofia Marathon,,Sofia,,,
11-Oct-20,Bronze,Zagreb Marathon,,Zagreb,,,
11-Oct-20,Bronze,Generali München Marathon,,München,,,
11-Oct-20,Bronze,Raiffeisen Bank Bucharest Marathon,,Bucuresti,,,
11-Oct-20,Platinum,Bank of America Chicago Marathon,,Chicago,,,
11-Oct-20,Silver,Les 20 KM de Paris,,Paris,,,
11-Oct-20,Silver,EDP Maratona de Lisboa,,Lisbon,,,
11-Oct-20,Gold,Luso Meia Maratona,,Lisbon,,,
11-Oct-20,Silver,Changzhou West Taihu Lake Half Marathon,,Changzhou,,,
11-Oct-20,Bronze,Maratona da Cidade do Rio de Janeiro,,Rio de Janeiro,,,
18-Oct-20,Gold,Sanlam Cape Town Marathon,,Cape Town,,,
18-Oct-20,Bronze,Cracovia Royal Half Marathon,,Kraków,,,
18-Oct-20,Gold,Airtel Delhi Half Marathon,,New Delhi,,,
18-Oct-20,Platinum,TCS Amsterdam Marathon,,Amsterdam,,,
18-Oct-20,Gold,Scotiabank Toronto Waterfront Marathon,,Toronto,,,
18-Oct-20,Gold,Schneider Electric Marathon de Paris,,Paris,,,
18-Oct-20,Bronze,Chizhou Marathon,,Chizhou,,,
18-Oct-20,Bronze,Shanghai International Elite 10K Race,,Shanghai,,,
25-Oct-20,Gold,Mainova Frankfurt Marathon,,Frankfurt,,,
25-Oct-20,Bronze,Huawei Venice Marathon,,Venice,,,
25-Oct-20,Gold,Volkswagen Ljubljana Marathon,,Ljubljana,,,
25-Oct-20,Gold,Medio Maratón Valencia Trinidad Alfonso EDP,,Valencia,,,
25-Oct-20,Silver,Changsha International Marathon,,Changsha,,,
25-Oct-20,Silver,Zurich Marató Barcelona,,Barcelona,,,
25-Oct-20,Gold,NN Marathon Rotterdam,,Rotterdam,,,
1-Nov-20,Gold,Hangzhou Marathon,,Hangzhou,,,
1-Nov-20,Platinum,TCS New York CIty Marathon,,New York City,,,
1-Nov-20,Bronze,Yichang International Marathon,,Yichang,,,
1-Nov-20,Silver,Maratón Internacional Megacable Guadalajara,,Guadalajara,,,
1-Nov-20,Gold,Chongqing International Marathon,,Chongqing,,,
2-Nov-20,Bronze,Maratona de São Paulo,,Sao Paulo,,,
7-Nov-20,Bronze,Xichang Qionghai Lake Wetland International Marathon,,Xichang,,,
8-Nov-20,Bronze,Maratona do Porto EDP,,Porto,,,
8-Nov-20,Gold,Istanbul Marathon,,Istanbul,,,
8-Nov-20,Silver,BLOM BANK Beirut Marathon,,Beyrouth,,,
8-Nov-20,Gold,Hefei International Marathon,,Hefei,,,
8-Nov-20,Silver,Nanjing Marathon,,Nanjing,,,
8-Nov-20,Bronze,Bangsaen42 Chonburi Marathon,,Chonburi,,,
8-Nov-20,Bronze,Chongqing Women's Half Marathon,,Chongqing,,,
8-Nov-20,Silver,PZU Cracovia Marathon,,Kraków,,,
8-Nov-20,Gold,Yangzhou Jianzhen International Half Marathon,,Yangzhou,,,
14-Nov-20,Bronze,Gulf Bank 642 Marathon,,Kuwait,,,
15-Nov-20,Silver,Kobe Marathon,,Kobe,,,
15-Nov-20,Silver,Nanchang International Marathon,,Nanchang,,,
15-Nov-20,Bronze,Guilin Marathon,,Guilin,,,
22-Nov-20,Bronze,Semi Marathon de Boulogne Billancourt Christian Granger,,Boulogne-Billancourt,,,
29-Nov-20,Bronze,Asics Firenze Marathon,,Florence,,,
29-Nov-20,Bronze,Osaka Marathon,,Osaka,,,
29-Nov-20,Bronze,Marathon du Gabon GSEZ,,Libreville,,,
29-Nov-20,Platinum,Shanghai International Marathon,,Shanghai,,,
5-Dec-20,Gold,Standard Chartered Singapore Marathon,,Singapore,,,
6-Dec-20,Gold,The 74th Fukuoka International Open Marathon Championships,,Fukuoka,,,
