Date,Label,Distance,Competition,Venue,Country,Men's winner,Women's winner
3 April 2016,Bronze,Marathon,Milan Marathon,Milan,Italy,[[]] (),[[]] ()
3 April 2016,Gold,Marathon,Schneider Electric Marathon de Paris,Paris,France,[[]] (),[[]] ()
10 April 2016,Gold,Marathon,Maratona di Roma,Rome,Italy,[[]] (),[[]] ()
10 April 2016,Gold,Marathon,Vienna City Marathon,Vienna,Austria,[[]] (),[[]] ()
10 April 2016,Silver,Marathon,HAJ Hannover Marathon,Hannover,Germany,[[]] (),[[]] ()
10 April 2016,Gold,Marathon,NN Marathon Rotterdam,Rotterdam,Netherlands,[[]] (),[[]] ()
17 April 2016,Silver,Marathon,DOZ Marathon Lodz with PZU,Łódź,Poland,[[]] (),[[]] ()
17 April 2016,Bronze,Marathon,Brighton Marathon,Brighton,United Kingdom,[[]] (),[[]] ()
17 April 2016,Bronze,Marathon,Nagano Marathon,Nagano,Japan,[[]] (),[[]] ()
18 April 2016,Gold,Marathon,B.A.A. Boston Marathon,Boston,United States,[[]] (),[[]] ()
24 April 2016,Gold,Half marathon,Yangzhou Jianzhen International Half Marathon,Yangzhou,China,[[]] (),[[]] ()
24 April 2016,Silver,Marathon,Rock N Roll Madrid Maraton,Madrid,Spain,[[]] (),[[]] ()
24 April 2016,Silver,Marathon,Orlen Warsaw Marathon,Warsaw,Poland,[[]] (),[[]] ()
24 April 2016,Bronze,Half marathon,Vodafone Istanbul Half Marathon,Istanbul,Turkey,[[]] (),[[]] ()
24 April 2016,Gold,Marathon,Virgin Money London Marathon,London,United Kingdom,[[]] (),[[]] ()
7 May 2016,Bronze,10K run,Okpekpe Intn'l 10km Road Race,Okpekpe,Nigeria,[[]] (),[[]] ()
8 May 2016,Bronze,Marathon,Harmony Geneva Marathon for Unicef,Geneva,Switzerland,[[]] (),[[]] ()
8 May 2016,Silver,Marathon,Yellow River Estuary International Marathon,Dongying,China,[[]] (),[[]] ()
8 May 2016,Gold,Marathon,Volkswagen Prague Marathon,Prague,Czech Republic,[[]] (),[[]] ()
15 May 2016,Bronze,Marathon,Lattelecom Riga Marathon,Riga,Latvia,[[]] (),[[]] ()
15 May 2016,Silver,Half marathon,Gifu Seiryu Half Marathon,Gifu,Japan,[[]] (),[[]] ()
21 May 2016,Gold,Half marathon,Mattoni Karlovy Vary Half Marathon,Karlovy Vary,Czech Republic,[[]] (),[[]] ()
28 May 2016,Gold,10K run,Ottawa 10K,Ottawa,Canada,[[]] (),[[]] ()
29 May 2016,Gold,Marathon,Ottawa Marathon,Ottawa,Canada,[[]] (),[[]] ()
29 May 2016,Bronze,Marathon,The Edinburgh Marathon,Edinburgh,United Kingdom,[[]] (),[[]] ()
4 June 2016,Gold,Half marathon,Mattoni Ceske Budejovice Half Marathon,České Budějovice,Czech Republic,[[]] (),[[]] ()
11 June 2016,Bronze,Marathon,Lanzhou International Marathon,Lanzhou,China,[[]] (),[[]] ()
18 June 2016,Bronze,10K run,Corrida de Langueux,Langueux,France,[[]] (),[[]] ()
25 June 2016,Gold,Half marathon,Mattoni Olomouc Half Marathon,Olomouc,Czech Republic,[[]] (),[[]] ()
26 June 2016,Bronze,10K run,B.A.A. 10K,Boston,United States,[[]] (),[[]] ()
3 July 2016,Gold,Marathon,Gold Coast Airport Marathon,Gold Coast,Australia,[[]] (),[[]] ()
31 July 2016,Gold,Half marathon,Media Maraton de Bogota,Bogotá,Colombia,[[]] (),[[]] ()
28 August 2016,Bronze,Marathon,Telcel Mexico City Marathon,Mexico City,Mexico,[[]] (),[[]] ()
10 September 2016,Gold,10K run,Birell Prague Grand Prix,Prague,Czech Republic,[[]] (),[[]] ()
17 September 2016,Gold,Marathon,Beijing Marathon,Beijing,China,[[]] (),[[]] ()
17 September 2016,Gold,Half marathon,Mattoni Usti nad Labem Half Marathon,Ústí nad Labem,Czech Republic,[[]] (),[[]] ()
18 September 2016,Silver,Marathon,Sanlam Cape Town Marathon,Cape Town,South Africa,[[]] (),[[]] ()
18 September 2016,Silver,Half marathon,Copenhagen Half Marathon,Copenhagen,Denmark,[[]] (),[[]] ()
18 September 2016,Silver,10 miles,Dam Tot Damloop,Amsterdam,Netherlands,[[]] (),[[]] ()
18 September 2016,Gold,Marathon,Blackmores Sydney Marathon,Sydney,Australia,[[]] (),[[]] ()
25 September 2016,Bronze,Marathon,38. PZU Maraton Warszawski,Warsaw,Poland,[[]] (),[[]] ()
25 September 2016,Gold,Marathon,BMW Berlin Marathon,Berlin,Germany,[[]] (),[[]] ()
2 October 2016,Gold,Marathon,RNR Lisbon Marathon EDP,Lisbon,Portugal,[[]] (),[[]] ()
2 October 2016,Gold,Half marathon,RNR Half Marathon Vodafone RTP,Lisbon,Portugal,[[]] (),[[]] ()
2 October 2016,Bronze,Marathon,Kosice Peace Marathon,Košice,Slovakia,[[]] (),[[]] ()
2 October 2016,Bronze,Marathon,Bournemouth Marathon,Bournemouth,United Kingdom,[[]] (),[[]] ()
2 October 2016,Bronze,Half marathon,Cardiff University / Cardiff Half Marathon,Cardiff,United Kingdom,[[]] (),[[]] ()
9 October 2016,Gold,Marathon,Bank of America Chicago Marathon,Chicago,United States,[[]] (),[[]] ()
16 October 2016,Gold,Marathon,TCS Amsterdam Marathon,Amsterdam,Netherlands,[[]] (),[[]] ()
16 October 2016,Gold,Marathon,Scotiabank Toronto Waterfront Marathon,Toronto,Canada,[[]] (),[[]] ()
23 October 2016,Bronze,Marathon,Venice Marathon,Venice,Italy,[[]] (),[[]] ()
23 October 2016,Gold,Half marathon,Medio Maraton Valencia Trinidad Alfonso,Valencia,Spain,[[]] (),[[]] ()
30 October 2016,Gold,Marathon,Mainova Frankfurt Marathon,Frankfurt,Germany,[[]] (),[[]] ()
30 October 2016,Silver,20K run,Marseille-Cassis 20km,Marseille,France,[[]] (),[[]] ()
30 October 2016,Gold,Marathon,Shanghai International Marathon,Shanghai,China,[[]] (),[[]] ()
6 November 2016,Gold,Marathon,TCS New York Marathon,New York City,United States,[[]] (),[[]] ()
13 November 2016,Bronze,Marathon,Marathon des Alpes-Maritimes Nice-Cannes,Nice,France,[[]] (),[[]] ()
13 November 2016,Silver,Marathon,BLOM BANK Beirut Marathon,Beirut,Lebanon,[[]] (),[[]] ()
13 November 2016,Gold,Marathon,Vodafone Istanbul Marathon,Istanbul,Turkey,[[]] (),[[]] ()
13 November 2016,Silver,Marathon,Saitama International Marathon,Saitama,Japan,[[]] (),[[]] ()
20 November 2016,Bronze,Half marathon,Semi-Marathon de Boulogne Billancourt Christian Granger,Boulogne-Billancourt,France,[[]] (),[[]] ()
20 November 2016,Gold,Marathon,Maraton Valencia Trinidad Alfonso,Valencia,Spain,[[]] (),[[]] ()
20 November 2016,Bronze,Half marathon,Airtel Delhi Half Marathon,New Delhi,India,[[]] (),[[]] ()
4 December 2016,Gold,Marathon,The 70th Fukuoka International Open Marathon Championships,Fukuoka,Japan,[[]] (),[[]] ()
4 December 2016,Gold,Marathon,Standard Chartered Marathon Singapore,Singapore,Singapore,[[]] (),[[]] ()
11 December 2016,Bronze,Marathon,Guangzhou Marathon,Guangzhou,China,[[]] (),[[]] ()
18 December 2016,Silver,10K run,Corrida Internationale de Houilles,Houilles,France,[[]] (),[[]] ()
31 December 2016,Silver,10K run,52a San Silvestre Vallecana Internacional,Madrid,Spain,[[]] (),[[]] ()
