Date,Label,Distance,Competition,Venue,Country,Men's winner,Women's winner
2 January 2016,Gold,Marathon,Xiamen International Marathon,Xiamen,China,[[]] (),[[]] ()
17 January 2016,Gold,Marathon,Standard Chartered Hong Kong Marathon,Hong Kong,China,[[]] (),[[]] ()
17 January 2016,Bronze,Marathon,Chevron Houston Marathon,Houston,United States,[[]] (),[[]] ()
22 January 2016,Gold,Marathon,Standard Chartered Dubai Marathon,Dubai,United Arab Emirates,[[]] (),[[]] ()
31 January 2016,Silver,Marathon,Osaka Women's Marathon,Osaka,Japan,[[]] (),[[]] ()
7 February 2016,Silver,Half marathon,Kagawa Marugame International Half Marathon,Marugame,Japan,[[]] (),[[]] ()
14 February 2016,Bronze,Half marathon,eDreams Mitja Marató de Barcelona,Barcelona,Spain,[[]] (),[[]] ()
21 February 2016,Bronze,Marathon,Zurich Marato de Sevilla,Seville,Spain,[[]] (),[[]] ()
28 February 2016,Gold,Marathon,Tokyo Marathon,Tokyo,Japan,[[]] (),[[]] ()
28 February 2016,Gold,10K run,World's Best 10K,San Juan,Puerto Rico,[[]] (),[[]] ()
6 March 2016,Gold,Marathon,Lake Biwa Mainichi Marathon,Ōtsu,Japan,[[]] (),[[]] ()
13 March 2016,Gold,Half marathon,RomaOstia Half Marathon,Rome,Italy,[[]] (),[[]] ()
13 March 2016,Gold,Marathon,Nagoya Women's Marathon,Nagoya,Japan,[[]] (),[[]] ()
13 March 2016,Bronze,Marathon,Zurich Marató Barcelona,Barcelona,Spain,[[]] (),[[]] ()
20 March 2016,Gold,Marathon,Seoul International Marathon,Seoul,South Korea,[[]] (),[[]] ()
20 March 2016,Gold,Half marathon,EDP Half Marathon of Lisbon,Lisbon,Portugal,[[]] (),[[]] ()
20 March 2016,Bronze,Marathon,New Taipei Wan Jin Shi Marathon,New Taipei City,Taiwan,[[]] (),[[]] ()
20 March 2016,Bronze,Marathon,Chongqing International Marathon,Chongqing,China,[[]] (),[[]] ()
2 April 2016,Gold,Half marathon,Sportisimo Prague Half Marathon,Prague,Czech Republic,[[]] (),[[]] ()
3 April 2016,Silver,Marathon,Daegu International Marathon,Daegu,South Korea,[[]] (),[[]] ()
