Date,Label,Distance,Competition,Venue,Country,Men's winner,Women's winner
2 January 2010,Gold,Marathon,Xiamen International Marathon,Xiamen,China,[[]] (),[[]] ()
17 January 2010,Gold,Marathon,Standard Chartered Mumbai Marathon,Mumbai,India,[[]] (),[[]] ()
31 January 2010,Silver,Marathon,Osaka Women's Marathon,Osaka,Japan,[[]] (),[[]] ()
7 February 2010,Silver,Marathon,59th Beppu-Oita Mainichi Marathon,Ōita,Japan,[[]] (),[[]] ()
7 February 2010,Silver,Half marathon,Kagawa Marugame Half Marathon,Marugame,Japan,[[]] (),[[]] ()
19 February 2010,Silver,Half marathon,RAK Half Marathon,Ras Al Khaimah,United Arab Emirates,[[]] (),[[]] ()
28 February 2010,Gold,10K run,World's Best 10k Race,San Juan,Puerto Rico,[[]] (),[[]] ()
28 February 2010,Gold,Marathon,Tokyo Marathon,Tokyo,Japan,[[]] (),[[]] ()
7 March 2010,Bronze,Half marathon,Semi-Marathon Intl de Paris,Paris,France,[[]] (),[[]] ()
7 March 2010,Gold,Marathon,Lake Biwa Mainichi Marathon,Ōtsu,Japan,[[]] (),[[]] ()
14 March 2010,Silver,Marathon,Nagoya Intl Women's Marathon,Nagoya,Japan,[[]] (),[[]] ()
21 March 2010,Gold,Marathon,Seoul International Marathon,Seoul,South Korea,[[]] (),[[]] ()
21 March 2010,Gold,Half marathon,EDP Half Marathon of Lisbon,Lisbon,Portugal,[[]] (),[[]] ()
21 March 2010,Silver,Marathon,Maratona di Rome,Rome,Italy,[[]] (),[[]] ()
27 March 2010,Gold,Half marathon,Hervis Prague Half Marathon,Prague,Czech Republic,[[]] (),[[]] ()
11 April 2010,Gold,Marathon,Marathon International de Paris,Paris,France,[[]] (),[[]] ()
11 April 2010,Bronze,Marathon,Mangyongdae Prize Marathon,Pyongyang,North Korea,[[]] (),[[]] ()
18 April 2010,Bronze,Marathon,Nagano Olympic Commemorative Marathon,Nagano,Japan,[[]] (),[[]] ()
18 April 2010,Bronze,10K run,Cursa Bombers de Barcelona,Barcelona,Spain,[[]] (),[[]] ()
18 April 2010,Bronze,10K run,Great Ireland Run,Dublin,Ireland,[[]] (),[[]] ()
18 April 2010,Bronze,Marathon,Intl. Marathon Alexander the Great,Thessaloniki,Greece,[[]] (),[[]] ()
19 April 2010,Gold,Marathon,B.A.A. Boston Marathon,Boston,United States,[[]] (),[[]] ()
25 April 2010,Gold,Marathon,Virgin London Marathon,London,United Kingdom,[[]] (),[[]] ()
25 April 2010,Silver,Marathon,Madrid Marathon,Madrid,Spain,[[]] (),[[]] ()
9 May 2010,Silver,Marathon,Volkswagen Prague Marathon,Prague,Czech Republic,[[]] (),[[]] ()
16 May 2010,Gold,10K run,BUPA Great Manchester Run,Manchester,United Kingdom,[[]] (),[[]] ()
16 May 2010,Bronze,Marathon,Salzburg AMREF Marathon,Salzburg,Austria,[[]] (),[[]] ()
23 May 2010,Gold,10K run,Sunfeast World 10K Bangalore,Bangalore,India,[[]] (),[[]] ()
29 May 2010,Silver,10K run,Ottawa 10K Road Race,Ottawa,Canada,[[]] (),[[]] ()
30 May 2010,Silver,Marathon,Ottawa Marathon,Ottawa,Canada,[[]] (),[[]] ()
5 June 2010,Silver,5K run,Freihofer's 5 Km Run for Women,Albany,United States,[[]] (),[[]] ()
26 June 2010,Bronze,10K run,Corrida de Langueux,Langueux,France,[[]] (),[[]] ()
1 August 2010,Gold,Half marathon,Bogota Intl. Half Marathon,Bogotá,Colombia,[[]] (),[[]] ()
11 September 2010,Silver,10K run,Metro 10km,Prague,Czech Republic,[[]] (),[[]] ()
19 September 2010,Gold,Half marathon,BUPA Great North Run,Newcastle upon Tyne,United Kingdom,[[]] (),[[]] ()
26 September 2010,Gold,Marathon,"real,- Berlin-Marathon",Berlin,Germany,[[]] (),[[]] ()
26 September 2010,Gold,Half marathon,Vodafone Half Marathon of Portugal,Lisbon,Portugal,[[]] (),[[]] ()
26 September 2010,Silver,Marathon,Scotiabank Toronto Waterfront Marathon,Toronto,Canada,[[]] (),[[]] ()
10 October 2010,Gold,Marathon,Bank of America Chicago Marathon,Chicago,United States,[[]] (),[[]] ()
17 October 2010,Silver,Marathon,Amsterdam Marathon,Amsterdam,Netherlands,[[]] (),[[]] ()
17 October 2010,Silver,Marathon,Intercontinental Istanbul Eurasia Marathon,Istanbul,Turkey,[[]] (),[[]] ()
17 October 2010,Silver,Marathon,Gyeongju International Marathon,Gyeongju,South Korea,[[]] (),[[]] ()
24 October 2010,Gold,Marathon,Beijing International Marathon,Beijing,China,[[]] (),[[]] ()
24 October 2010,Gold,10 miles,BUPA Great South Run,Portsmouth,United Kingdom,[[]] (),[[]] ()
24 October 2010,Silver,Marathon,Venice Marathon,Venice,Italy,[[]] (),[[]] ()
24 October 2010,Silver,Marathon,Chosunilbo Chuncheon Intl. Marathon Men,Chuncheon,South Korea,[[]] (),[[]] ()
31 October 2010,Silver,Half Marathon,Marseille Cassis Classique Int.le,Marseille,France,[[]] (),[[]] ()
31 October 2010,Gold,Marathon,Commerzbank Frankfurt Marathon,Frankfurt,Germany,[[]] (),[[]] ()
31 October 2010,Gold,Marathon,Athens Classic Marathon,Athens,Greece,[[]] (),[[]] ()
7 November 2010,Gold,Marathon,ING New York City Marathon,New York City,United States,[[]] (),[[]] ()
7 November 2010,Bronze,Marathon,Joongang Seoul Marathon,Seoul,South Korea,[[]] (),[[]] ()
14 November 2010,Silver,Marathon,Turin Marathon,Turin,Italy,[[]] (),[[]] ()
21 November 2010,Gold,Half marathon,Airtel Delhi Half Marathon,Delhi,India,[[]] (),[[]] ()
21 November 2010,Silver,15K run,ABN AMRO Zevenheuvelenloop,Nijmegen,Netherlands,[[]] (),[[]] ()
5 December 2010,Silver,Marathon,64th Fukuoka Intl. Open Marathon,Fukuoka,Japan,[[]] (),[[]] ()
5 December 2010,Silver,Marathon,Standard Chartered Marathon Singapore,Singapore,Singapore,[[]] (),[[]] ()
31 December 2010,Silver,10K run,San Silvestre Vallecana,Madrid,Spain,[[]] (),[[]] ()
