Name,Performance,Place,Date
Allan KIPRONO,2:09:38,Frankfurt (GER),26 OCT 2014
Samuel MWANIKI,2:11:06,Cape Town (RSA),15 SEP 2019
Samuel MWANIKI,2:15:58,Mumbai (IND),21 JAN 2018
Samuel MWANIKI,2:10:36,Hangzhou (CHN),05 NOV 2017
Samuel MWANIKI,2:09:45,Milano (ITA),03 APR 2016
Samuel MWANIKI,2:08:56,Marrakesh (MAR),25 JAN 2015
Samuel MWANIKI,2:21:50,Seoul (KOR),16 MAR 2014
Samuel MWANIKI,2:20:16,Linz (AUT),21 APR 2013
Samuel MWANIKI,2:16:51,Buenos Aires (ARG),07 OCT 2012
Noah Kemboi KANGOGO,9:12.5h,Eldoret (KEN),15 MAY 2010
Hiroki SUGAWA,2:11:46,Nobeoka (JPN),10 FEB 2019
Hiroki SUGAWA,2:24:14,Gold Coast (AUS),06 JUL 2014
Desmond MOKGOBU,2:10:42,Beppu (JPN),03 FEB 2019
Desmond MOKGOBU,2:09:31,Oita (JPN),04 FEB 2018
Desmond MOKGOBU,2:10:51,Rotterdam (NED),09 APR 2017
Desmond MOKGOBU,2:11:33,Cape Town (RSA),18 SEP 2016
Desmond MOKGOBU,2:15:17,Santiago de Chile (CHI),12 APR 2015
Desmond MOKGOBU,2:16:13,Cape Town (RSA),21 SEP 2014
Patrick MWAKA,2:14:09,Otsu (JPN),08 MAR 2020
Keita SHITARA,2:12:13,Tokyo (JPN),01 MAR 2020
Keita SHITARA,2:14:31,Fukuoka (JPN),01 DEC 2019
Keita SHITARA,2:18:39,Otsu (JPN),04 MAR 2018
Keita SHITARA,2:28:29,Fukuoka (JPN),03 DEC 2017
Paul Kipkorir KIPKEMBOI,2:12:12,Gunsan (KOR),14 APR 2019
Paul Kipkorir KIPKEMBOI,2:08:53,Seoul (KOR),18 MAR 2018
Paul Kipkorir KIPKEMBOI,2:13:00,Chuncheon (KOR),29 OCT 2017
Paul Kipkorir KIPKEMBOI,2:11:27,Seoul (KOR),20 MAR 2016
Paul Kipkorir KIPKEMBOI,2:15:29,Ljubljana (SLO),25 OCT 2015
Paul Kipkorir KIPKEMBOI,2:15:19,Chuncheon (KOR),27 OCT 2013
Paul Kipkorir KIPKEMBOI,2:14:50,Chuncheon (KOR),28 OCT 2012
Paul Kipkorir KIPKEMBOI,2:28:35,Milano (ITA),11 APR 2010
Marcin CHABOWSKI,8:31.81,Bydgoszcz (POL),02 AUG 2009
Marcin CHABOWSKI,8:25.90,Szczecin (POL),06 JUL 2008
Marcin CHABOWSKI,8:32.55,Ostrava (CZE),27 JUN 2007
Marcin CHABOWSKI,8:30.40,Bydgoszcz (POL),05 JUN 2005
Marcin CHABOWSKI,8:37.28,Bydgoszcz (POL),05 JUN 2004
Marcin CHABOWSKI,8:53.44,Bialogard (POL),27 SEP 2003
Eliud BARNGETUNY,2:12:23,Kobe (JPN),17 NOV 2019
Eliud BARNGETUNY,2:10:15,Madrid (ESP),22 APR 2018
Eliud BARNGETUNY,2:10:23,Milano (ITA),02 APR 2017
Eliud BARNGETUNY,2:13:14,Taipei City (TPE),22 MAR 2015
Yemane TSEGAY,2:08:52,Ottawa (CAN),27 MAY 2018
Yemane TSEGAY,2:18:05,Fukuoka (JPN),03 DEC 2017
Yemane TSEGAY,2:08:48,Fukuoka (JPN),04 DEC 2016
Yemane TSEGAY,2:13:08,"National Stadium, Beijing (CHN)",22 AUG 2015
Yemane TSEGAY,2:06:51,Daegu (KOR),06 APR 2014
Yemane TSEGAY,2:09:11,Eindhoven (NED),13 OCT 2013
Yemane TSEGAY,2:04:48,Rotterdam (NED),15 APR 2012
Yemane TSEGAY,2:10:24,Taipei City (TPE),18 DEC 2011
Yemane TSEGAY,2:07:11,Praha (CZE),09 MAY 2010
Yemane TSEGAY,2:06:30,Paris (FRA),05 APR 2009
Yemane TSEGAY,2:13:29,Casablanca (MAR),26 OCT 2008
Silas Kipngetich SANG,2:12:44,Málaga (ESP),15 DEC 2019
Silas Kipngetich SANG,2:14:30,Málaga (ESP),09 DEC 2018
Silas Kipngetich SANG,2:13:32,Warszawa (POL),24 SEP 2017
Silas Kipngetich SANG,2:14:47,Lisboa (POR),02 OCT 2016
Silas Kipngetich SANG,2:14:42,Beograd (SRB),18 APR 2015
Silas Kipngetich SANG,2:22:07,Nagano (JPN),20 APR 2014
Silas Kipngetich SANG,2:09:10,Nagano (JPN),15 APR 2012
Silas Kipngetich SANG,2:10:58,Ottawa (CAN),29 MAY 2011
Silas Kipngetich SANG,2:19:50,Hong Kong (HKG),04 MAR 2007
Silas Kipngetich SANG,2:11:44,Madrid (ESP),30 APR 2006
Hiroki YAMAGISHI,2:20:44,Tokyo (JPN),01 MAR 2020
Hiroki YAMAGISHI,2:16:43,"Corniche, Doha (QAT)",05 OCT 2019
Hiroki YAMAGISHI,2:10:14,Tokyo (JPN),25 FEB 2018
Hiroki YAMAGISHI,2:12:27,Tokyo (JPN),28 FEB 2016
Hiroki YAMAGISHI,2:12:48,Sydney (AUS),20 SEP 2015
Ezekiel CHEPKOROM,2:12:17,Madrid (ESP),27 APR 2019
Ezekiel CHEPKOROM,2:13:12,Hamburg (GER),29 APR 2018
Ezekiel CHEPKOROM,2:13:13,Amsterdam (NED),15 OCT 2017
Gilbert CHUMBA,2:13:10,Treviso (ITA),31 MAR 2019
Gilbert CHUMBA,2:12:19,Treviso (ITA),25 MAR 2018
Gilbert CHUMBA,2:16:47,Venezia (ITA),22 OCT 2017
Felix KIBITOK,2:19:22,Ljubljana (SLO),28 OCT 2018
Kalipus LOMWAI,2:14:09,Kobe (JPN),17 NOV 2019
Kalipus LOMWAI,2:13:12,Beirut (LBN),11 NOV 2018
Daniel Chaves DA SILVA,2:11:10,London (GBR),28 APR 2019
Daniel Chaves DA SILVA,2:13:16,Valencia (ESP),02 DEC 2018
Elkanah KIBET,13:53.05,"Fayetteville, AR (USA)",13 FEB 2009
Elkanah KIBET,14:38.78,"Charleston, IL (USA)",07 MAR 2008
Elkanah KIBET,14:13.72,"Fayetteville, AR (USA)",09 FEB 2007
Hiromasa KUMAHASHI,2:12:10,Tokyo (JPN),01 MAR 2020
Hiromasa KUMAHASHI,2:20:36,Tokyo (JPN),03 MAR 2019
Hiromasa KUMAHASHI,2:15:49,Tokyo (JPN),25 FEB 2018
Shuho DAIROKUNO,2:11:19,Tokyo (JPN),01 MAR 2020
Shuho DAIROKUNO,2:21:47,Beppu (JPN),03 FEB 2019
Adbi Hakin ULAD,2:11:03,Fukuoka (JPN),01 DEC 2019
Adbi Hakin ULAD,2:14:22,"Olympic Stadium, London (GBR)",06 AUG 2017
Adbi Hakin ULAD,2:14:03,Hamburg (GER),17 APR 2016
Adbi Hakin ULAD,2:16:00,Frankfurt (GER),25 OCT 2015
William WANJIKU,2:15:29,Praha (CZE),05 MAY 2019
William WANJIKU,2:33:21,Ljubljana (SLO),28 OCT 2018
Michael CLOHISEY,2:13:19,Dublin (IRL),27 OCT 2019
Michael CLOHISEY,2:14:55,Sevilla (ESP),25 FEB 2018
Michael CLOHISEY,2:16:21,"Olympic Stadium, London (GBR)",06 AUG 2017
Michael CLOHISEY,2:15:11,Sevilla (ESP),21 FEB 2016
Michael CLOHISEY,2:15:35,Berlin (GER),27 SEP 2015
Abel KIRUI,2:07:07,London (GBR),22 APR 2018
Abel KIRUI,2:07:45,London (GBR),23 APR 2017
Abel KIRUI,2:08:06,Tokyo (JPN),28 FEB 2016
Abel KIRUI,2:10:55,Amsterdam (NED),18 OCT 2015
Abel KIRUI,2:09:04,Tokyo (JPN),23 FEB 2014
Abel KIRUI,2:07:56,London (GBR),22 APR 2012
Abel KIRUI,2:07:38,"DS, Daegu (KOR)",04 SEP 2011
Abel KIRUI,2:08:04,London (GBR),25 APR 2010
Abel KIRUI,2:05:04,Rotterdam (NED),05 APR 2009
Abel KIRUI,2:07:38,Wien (AUT),27 APR 2008
Abel KIRUI,2:06:51,Berlin (GER),30 SEP 2007
Abel KIRUI,2:15:22,Singapore (SGP),03 DEC 2006
Gilbert Kipruto KIRWA,9:18.4h,Eldoret (KEN),15 MAY 2010
Teshome GIRMA,2:10:24,Hengshui (CHN),29 SEP 2019
Teshome GIRMA,2:17:42,Lagos (NGR),10 FEB 2018
Teshome GIRMA,2:20:44,Dakar (SEN),16 APR 2017
Teshome GIRMA,2:21:51,Enschede (NED),21 APR 2013
John KORIR,2:13:09,Frankfurt (GER),27 OCT 2019
John KORIR,2:09:14,Ottawa (CAN),27 MAY 2018
Endale ABAYNEH,2:15:10,Warszawa (POL),29 SEP 2019
Endale ABAYNEH,2:11:51,Poznan (POL),14 OCT 2018
Endale ABAYNEH,2:14:30,Qinhuangdao (CHN),01 MAY 2016
Endale ABAYNEH,2:14:22,Ahmedabad (IND),15 FEB 2015
Junnosuke MATSUO,2:11:00,Oita (JPN),02 FEB 2020
Jong-sub SHIM,2:12:57,Seoul (KOR),17 MAR 2019
Jong-sub SHIM,2:14:05,Hofu (JPN),16 DEC 2018
Jong-sub SHIM,2:15:43,Seoul (KOR),05 NOV 2017
Jong-sub SHIM,2:13:47,Seoul (KOR),20 MAR 2016
Jong-sub SHIM,2:13:28,Seoul (KOR),15 MAR 2015
Jong-sub SHIM,2:14:19,Seoul (KOR),16 MAR 2014
Jong-sub SHIM,2:20:21,Seoul (KOR),17 MAR 2013
Brendan GREGG,7:58.38,"Fayetteville, AR (USA)",28 JAN 2012
Scott SMITH,4:03.91,"Boston, MA (USA)",27 JAN 2018
Benjamin MALATY,2:12:21,Valencia (ESP),01 DEC 2019
Benjamin MALATY,2:20:19,"Olympiastadion, Berlin (GER)",12 AUG 2018
Benjamin MALATY,2:13:07,Paris (FRA),09 APR 2017
Benjamin MALATY,2:16:16,Paris (FRA),03 APR 2016
Benjamin MALATY,2:17:26,Frankfurt (GER),25 OCT 2015
Benjamin MALATY,2:17:09,"Letzigrund, Zürich (SUI)",17 AUG 2014
Benjamin MALATY,2:12:00,Paris (FRA),07 APR 2013
Benjamin MALATY,2:13:15,Paris (FRA),15 APR 2012
Melkam JAMBER,2:09:51,Sevilla (ESP),23 FEB 2020
Melkam JAMBER,2:14:58,Berlin (GER),29 SEP 2019
Melkam JAMBER,2:20:26,Wien (AUT),22 APR 2018
Melkam JAMBER,2:24:42,See Genezareth (ISR),06 JAN 2017
Melkam JAMBER,2:21:11,Frankfurt (GER),30 OCT 2016
Melkam JAMBER,2:22:19,See Genezareth (ISR),09 JAN 2015
Madoka TANIHARA,2:11:39,Otsu (JPN),08 MAR 2020
Madoka TANIHARA,2:32:14,Otsu (JPN),10 MAR 2019
Roba GEBRE,2:11:58,Copenhagen (DEN),19 MAY 2019
Roba GEBRE,2:21:46,Stockholm (SWE),05 JUN 2016
Kazuki TAKESHITA,2:11:36,Tokyo (JPN),01 MAR 2020
Kazuki TAKESHITA,2:14:14,Seoul (KOR),17 MAR 2019
Thijs NIJHUIS,8:08.95,Skive (DEN),28 FEB 2016
Thijs NIJHUIS,8:02.35,Bærum (NOR),14 FEB 2015
Thijs NIJHUIS,8:18.92,Skive (DEN),23 FEB 2014
Mykola NYZHNYK,8:08.33,Kiev (UKR),03 FEB 2017
Mykola NYZHNYK,8:01.05,Sumy (UKR),26 FEB 2016
Mykola NYZHNYK,8:09.98,Sumy (UKR),13 FEB 2015
Mykola NYZHNYK,8:27.36,Sumy (UKR),07 FEB 2014
Mykola NYZHNYK,8:36.92,Sumy (UKR),07 FEB 2013
Alex KIBET,8:45.4h,Nairobi (KEN),23 JUN 2017
Alex KIBET,8:51.35,Doha (QAT),29 APR 2014
Alex KIBET,8:48.79,Doha (QAT),11 APR 2011
Alex KIBET,8:49.43,Doha (QAT),12 APR 2010
Motlokoa MKHABUTLANE,2:12:09,Cape Town (RSA),15 SEP 2019
Motlokoa MKHABUTLANE,2:10:32,Roma (ITA),08 APR 2018
Motlokoa MKHABUTLANE,2:09:47,Paris (FRA),09 APR 2017
Motlokoa MKHABUTLANE,2:11:02,Cape Town (RSA),18 SEP 2016
Motlokoa MKHABUTLANE,2:18:10,Soweto (RSA),02 NOV 2014
Motlokoa MKHABUTLANE,2:17:11,Soweto (RSA),04 NOV 2012
Motlokoa MKHABUTLANE,2:19:11,Gaborone (BOT),18 APR 2010
Motlokoa MKHABUTLANE,2:14:51,Cape Town (RSA),27 SEP 2009
Motlokoa MKHABUTLANE,2:14:16,Cape Town (RSA),21 SEP 2008
Tadesse TEMECHACHU,2:11:31,Nanchang (CHN),10 NOV 2019
Tadesse TEMECHACHU,2:15:27,Nanjing (CHN),04 NOV 2018
Tadesse TEMECHACHU,2:10:49,Košice (SVK),01 OCT 2017
Tadesse TEMECHACHU,2:10:17,Košice (SVK),02 OCT 2016
Moses MWARUR,2:12:28,Nice (FRA),03 NOV 2019
Moses MWARUR,2:15:54,Eindhoven (NED),14 OCT 2018
Moses MWARUR,2:11:47,Eindhoven (NED),08 OCT 2017
Moses MWARUR,2:15:09,Antwerpen (BEL),27 APR 2014
Moses MWARUR,2:18:44,Porto (POR),03 NOV 2013
Florian CARVALHO,7:59.44,Metz (FRA),21 FEB 2016
Florian CARVALHO,7:48.59,"O2 Arena, Praha (CZE)",06 MAR 2015
Florian CARVALHO,7:45.77,"NIA, Birmingham (GBR)",16 FEB 2013
Florian CARVALHO,7:48.62,Liévin (FRA),14 FEB 2012
Florian CARVALHO,7:53.11,Val-de-Reuil (FRA),12 FEB 2011
Ebba Tulu CHALA,2:11:18,Sevilla (ESP),23 FEB 2020
Ebba Tulu CHALA,2:13:39,Valencia (ESP),01 DEC 2019
Hendrik PFEIFFER,2:10:18,Sevilla (ESP),23 FEB 2020
Hendrik PFEIFFER,2:15:19,Köln (GER),13 OCT 2019
Hendrik PFEIFFER,2:13:42,Köln (GER),01 OCT 2017
Hendrik PFEIFFER,2:13:11,Düsseldorf (GER),24 APR 2016
Samuel LOMOI,2:12:20,Padova (ITA),28 APR 2019
Hugh ARMSTRONG,8:09.22,"Boston, MA (USA)",05 MAR 2017
Hugh ARMSTRONG,8:16.35,"Boston, MA (USA)",13 FEB 2016
Hugh ARMSTRONG,8:27.32,"Boston, MA (USA)",01 MAR 2014
Hiroyuki YAMAMOTO,2:10:33,Otsu (JPN),10 MAR 2019
Hiroyuki YAMAMOTO,2:09:12,Tokyo (JPN),26 FEB 2017
Hiroyuki YAMAMOTO,2:11:49,"New York, NY (USA)",06 NOV 2016
Hiroyuki YAMAMOTO,2:11:48,Oita (JPN),01 FEB 2015
Weldu Negash GEBRETSADIK,2:11:48,Daegu (KOR),07 APR 2019
Weldu Negash GEBRETSADIK,2:10:39,Daegu (KOR),01 APR 2018
Weldu Negash GEBRETSADIK,2:11:16,Düsseldorf (GER),30 APR 2017
Weldu Negash GEBRETSADIK,2:12:20,Frankfurt (GER),30 OCT 2016
Weldu Negash GEBRETSADIK,2:09:14,Rotterdam (NED),13 APR 2014
Weldu Negash GEBRETSADIK,2:10:37,Warszawa (POL),29 SEP 2013
Weldu Negash GEBRETSADIK,2:16:08,Praha (CZE),08 MAY 2011
Daisuke HOSOMORI,2:14:26,Tokyo (JPN),01 MAR 2020
Daisuke HOSOMORI,2:18:36,Otsu (JPN),10 MAR 2019
Mogos SHUMAY,2:17:09,Guangzhou (CHN),08 DEC 2019
Mogos SHUMAY,2:12:23,Padova (ITA),22 APR 2018
Mogos SHUMAY,2:20:08,Sydney (AUS),17 SEP 2017
Mogos SHUMAY,2:16:25,Sydney (AUS),18 SEP 2016
Kennedy KWEMOI,2:11:50,Dalian (CHN),12 MAY 2019
Kennedy KWEMOI,2:13:26,Dalian (CHN),13 MAY 2018
Kennedy KWEMOI,2:13:20,Praha (CZE),11 MAY 2014
Kennedy KWEMOI,2:15:49,Eindhoven (NED),13 OCT 2013
Kennedy KWEMOI,2:13:52,Brescia (ITA),11 MAR 2012
Kennedy KWEMOI,2:09:54,Porto (POR),06 NOV 2011
Mustafa MOHAMED,7:54.05,Stockholm (SWE),18 FEB 2009
Mustafa MOHAMED,8:09.17,Sätra (SWE),25 FEB 2006
Mustafa MOHAMED,8:15.34,Göteborg (SWE),31 JAN 1998
Martin HEHIR,13:57.97,"Blacksburg, VA (USA)",27 FEB 2015
Martin HEHIR,14:07.39,"Clemson, SC (USA)",28 FEB 2014
Martin HEHIR,14:13.49,"New York, NY (USA)",18 FEB 2012
Alex SAEKWO,2:15:18,Taipei City (TPE),17 MAR 2019
Alex SAEKWO,2:12:30,Rabat (MAR),04 MAR 2018
Alex SAEKWO,2:12:01,Warszawa (POL),23 APR 2017
Alex SAEKWO,2:10:49,Lyon (FRA),02 OCT 2016
Alex SAEKWO,2:15:29,Torino (ITA),04 OCT 2015
Alex SAEKWO,2:14:12,Verona (ITA),05 OCT 2014
Alex SAEKWO,2:14:15,Nairobi (KEN),28 OCT 2012
Cyrus MUTAI,2:10:28,Eindhoven (NED),13 OCT 2019
Yohei SUZUKI,2:18:53,London (GBR),28 APR 2019
Yohei SUZUKI,2:12:18,"Chicago, IL (USA)",07 OCT 2018
Chihiro MIYAWAKI,2:09:04,Tokyo (JPN),01 MAR 2020
Chihiro MIYAWAKI,2:08:45,Tokyo (JPN),25 FEB 2018
Chihiro MIYAWAKI,2:13:23,"Chicago, IL (USA)",08 OCT 2017
Chihiro MIYAWAKI,2:11:50,Tokyo (JPN),23 FEB 2014
Tomoyasu MATSUI,2:12:31,Tokyo (JPN),01 MAR 2020
Tomoyasu MATSUI,2:12:51,Beppu (JPN),03 FEB 2019
Edwin KIPTOO,2:10:17,Madrid (ESP),27 APR 2019
Edwin KIPTOO,2:11:57,Beirut (LBN),12 NOV 2017
Edwin KIPTOO,2:11:24,Brighton (GBR),17 APR 2016
Edwin KIPTOO,2:11:45,Toronto (CAN),18 OCT 2015
Edwin KIPTOO,2:14:14,Košice (SVK),05 OCT 2014
CJ ALBERTSON,4:18.80,"Phoenix, AZ (USA)",23 JAN 2016
CJ ALBERTSON,4:19.31,"College Station, TX (USA)",08 FEB 2014
Yukio FUJIMURA,2:13:07,Otsu (JPN),08 MAR 2020
Yukio FUJIMURA,2:12:13,Otsu (JPN),10 MAR 2019
Yukio FUJIMURA,2:25:38,Otsu (JPN),01 MAR 2015
Yukio FUJIMURA,2:16:37,Otsu (JPN),02 MAR 2014
Bazezew ASMARE,2:10:51,Amsterdam (NED),20 OCT 2019
Bazezew ASMARE,2:15:37,Shanghai (CHN),18 NOV 2018
Bernard Kiprop KIPYEGO,2:11:38,Frankfurt (GER),27 OCT 2019
Bernard Kiprop KIPYEGO,2:10:16,Seoul (KOR),18 MAR 2018
Bernard Kiprop KIPYEGO,2:08:10,Tokyo (JPN),26 FEB 2017
Bernard Kiprop KIPYEGO,2:06:45,Amsterdam (NED),16 OCT 2016
Bernard Kiprop KIPYEGO,2:06:19,Amsterdam (NED),18 OCT 2015
Bernard Kiprop KIPYEGO,2:06:22,Amsterdam (NED),19 OCT 2014
Bernard Kiprop KIPYEGO,2:07:19,Beijing (CHN),20 OCT 2013
Bernard Kiprop KIPYEGO,2:06:40,"Chicago, IL (USA)",07 OCT 2012
Bernard Kiprop KIPYEGO,2:06:29,"Chicago, IL (USA)",09 OCT 2011
Bernard Kiprop KIPYEGO,2:07:01,Rotterdam (NED),11 APR 2010
Henryk SZOST,8:56.41,Kraków (POL),28 AUG 2005
Henryk SZOST,8:59.31,Gdansk (POL),05 SEP 2004
Abraham GIRMA,2:14:48,Changsha (CHN),27 OCT 2019
Abraham GIRMA,2:11:29,København (DEN),13 MAY 2018
Abraham GIRMA,2:12:18,Castellón (ESP),19 FEB 2017
Abraham GIRMA,2:16:30,Mumbai (IND),17 JAN 2016
Abraham GIRMA,2:13:02,Linz (AUT),19 APR 2015
Abraham GIRMA,2:15:44,Seoul (KOR),16 MAR 2014
Abraham GIRMA,2:08:19,Paris (FRA),07 APR 2013
Abraham GIRMA,2:06:48,Amsterdam (NED),21 OCT 2012
Abraham GIRMA,2:18:51,Köln (GER),02 OCT 2011
Khalid CHOUKOUD,2:12:56,Eindhoven (NED),13 OCT 2019
Khalid CHOUKOUD,2:11:23,Amsterdam (NED),16 OCT 2016
Khalid CHOUKOUD,2:11:34,Amsterdam (NED),18 OCT 2015
Khalid CHOUKOUD,2:10:52,Rotterdam (NED),13 APR 2014
Shogo KANEZANE,2:10:19,Beppu (JPN),03 FEB 2019
Shogo KANEZANE,2:15:57,Oita (JPN),04 FEB 2018
Shogo KANEZANE,2:12:58,Hofu (JPN),17 DEC 2017
Shogo KANEZANE,2:14:15,Oita (JPN),07 FEB 2016
Shogo KANEZANE,2:14:22,Nobeoka (JPN),08 FEB 2015
Kibrom WELDEMICAEL,2:10:09,Sevilla (ESP),23 FEB 2020
Kibrom WELDEMICAEL,2:15:27,Valencia (ESP),01 DEC 2019
Kibrom WELDEMICAEL,2:16:28,Porto (POR),04 NOV 2018
Kibrom WELDEMICAEL,2:14:52,London (GBR),23 APR 2017
Kibrom WELDEMICAEL,2:10:38,Valencia (ESP),20 NOV 2016
Kibrom WELDEMICAEL,2:09:36,London (GBR),26 APR 2015
Kibrom WELDEMICAEL,2:11:12,Milano (ITA),06 APR 2014
Kibrom WELDEMICAEL,2:11:56,Köln (GER),13 OCT 2013
Yavuz AGRALI,10:11.29,Kayseri (TUR),17 MAY 2014
Yuki SATO,1:58:58,Chiba (JPN),23 NOV 2005
Andrew COLLEY,14:07.89,"Clemson, SC (USA)",28 FEB 2014
Andrew COLLEY,14:02.13,"Bloomington, IN (USA)",07 DEC 2012
Andrew COLLEY,14:09.12,"Blacksburg, VA (USA)",25 FEB 2011
Shadrack KIPTOO BIWOTT,7:55.27,"New York, NY (USA)",07 FEB 2009
Asefa BEKELE,2:13:02,Dublin (IRL),27 OCT 2019
Asefa BEKELE,2:13:24,Dublin (IRL),28 OCT 2018
Asefa BEKELE,2:16:00,Dublin (IRL),29 OCT 2017
Asefa BEKELE,2:14:01,Seoul (KOR),20 MAR 2016
Asefa BEKELE,2:14:20,Dublin (IRL),26 OCT 2015
Segundo JAMI,2:12:17,Valencia (ESP),01 DEC 2019
Segundo JAMI,2:14:35,Valencia (ESP),02 DEC 2018
Segundo JAMI,2:18:04,Praha (CZE),07 MAY 2017
Segundo JAMI,2:31:07,"Estádio Olímpico, Rio de Janeiro (BRA)",21 AUG 2016
Segundo JAMI,2:17:11,Sevilla (ESP),22 FEB 2015
Masatoshi SAKATA,2:12:36,Otsu (JPN),08 MAR 2020
Ryuji OKADA,2:12:34,Nobeoka (JPN),09 FEB 2020
Ryuji OKADA,2:19:00,Tokyo (JPN),03 MAR 2019
Ryuji OKADA,2:19:29,Sapporo (JPN),26 AUG 2018
Ryuji OKADA,2:18:04,Otsu (JPN),05 MAR 2017
Azmeraw MENGISTU,2:12:50,Gunsan (KOR),14 APR 2019
Azmeraw MENGISTU,2:13:20,Athina (GRE),11 NOV 2018
Azmeraw MENGISTU,2:15:47,Cannes (FRA),05 NOV 2017
Azmeraw MENGISTU,2:12:27,Cannes (FRA),13 NOV 2016
Erick Leon NDIEMA,2:17:13,Madrid (ESP),27 APR 2019
Erick Leon NDIEMA,2:12:55,Casablanca (MAR),28 OCT 2018
Erick Leon NDIEMA,2:15:17,Shanghai (CHN),12 NOV 2017
Siraj Amda GENA,2:14:48,Torino (ITA),04 NOV 2018
Siraj Amda GENA,2:17:46,Santiago de Chile (CHI),03 APR 2016
Siraj Amda GENA,2:12:48,Wien (AUT),12 APR 2015
Siraj Amda GENA,2:13:19,Istanbul (TUR),17 NOV 2013
Siraj Amda GENA,2:12:33,Mumbai (IND),15 JAN 2012
Siraj Amda GENA,2:08:31,Frankfurt (GER),30 OCT 2011
Siraj Amda GENA,2:08:39,Roma (ITA),21 MAR 2010
Siraj Amda GENA,2:10:41,Frankfurt (GER),25 OCT 2009
Joel MWAURA,8:46.89,Okayama (JPN),02 AUG 2016
Jonas HAMPTON,8:30.37,"Boston, MA (USA)",31 DEC 2016
Jonas HAMPTON,8:24.44,"Boston, MA (USA)",03 JAN 2015
Jonas HAMPTON,8:47.47,"Cambridge, MA (USA)",07 DEC 2013
Jonas HAMPTON,8:40.25,"Cambridge, MA (USA)",08 DEC 2012
Jonas HAMPTON,8:39.74,"Boston, MA (USA)",19 FEB 2011
Tom GRÖSCHEL,8:24.09,Rostock (GER),14 DEC 2013
Tom GRÖSCHEL,8:32.49,Halle (GER),21 FEB 2010
Tom GRÖSCHEL,8:34.12,Neubrandenburg (GER),15 FEB 2009
Dereje DEBELE,2:13:18,Kunming (CHN),01 DEC 2019
Dereje DEBELE,2:16:21,Hefei (CHN),11 NOV 2018
Dereje DEBELE,2:10:23,Oita (JPN),05 FEB 2017
Dereje DEBELE,2:12:18,Dublin (IRL),30 OCT 2016
Dereje DEBELE,2:10:31,Mumbai (IND),18 JAN 2015
Dereje DEBELE,2:09:35,Xiamen (CHN),02 JAN 2014
Dereje DEBELE,2:07:48,Düsseldorf (GER),28 APR 2013
Dereje DEBELE,2:10:41,Chongqing (CHN),18 MAR 2012
Dereje DEBELE,2:12:44,Mumbai (IND),16 JAN 2011
Dereje DEBELE,2:09:43,Dubai (UAE),22 JAN 2010
Dereje DEBELE,2:09:08,Wien (AUT),19 APR 2009
Kenta INUMA,2:12:06,Tokyo (JPN),01 MAR 2020
Kenta INUMA,2:13:55,Sapporo (JPN),25 AUG 2019
Kenta INUMA,2:24:25,Otsu (JPN),04 MAR 2018
Kenta INUMA,2:16:52,Hamburg (GER),23 APR 2017
Kenta INUMA,2:13:43,Fukuoka (JPN),04 DEC 2016
Kenta INUMA,2:16:37,Riga (LAT),17 MAY 2015
Kenta INUMA,2:15:05,Otsu (JPN),02 MAR 2014
Mert GIRMALEGESSE,2:11:07,Hamburg (GER),28 APR 2019
Mert GIRMALEGESSE,2:16:15,Istanbul (TUR),11 NOV 2018
Mert GIRMALEGESSE,2:11:56,Rotterdam (NED),09 APR 2017
Mert GIRMALEGESSE,2:14:15,Sevilla (ESP),21 FEB 2016
Mert GIRMALEGESSE,2:23:15,Istanbul (TUR),15 NOV 2015
Mert GIRMALEGESSE,2:21:43,Istanbul (TUR),16 NOV 2014
Demeke KASAW,2:12:12,San Sebastián (ESP),24 NOV 2019
Demeke KASAW,2:15:46,Mersin (TUR),16 DEC 2018
Denis CHIRCHIR,2:13:50,"Minneapolis, MN (USA)",06 OCT 2019
Tsubasa ICHIYAMA,2:14:59,Otsu (JPN),08 MAR 2020
Tibor SAHAJDA,3:59.37,Praha (CZE),25 FEB 2014
Habtamu ASEFA,2:13:02,Marrakesh (MAR),27 JAN 2019
Habtamu ASEFA,2:15:01,Kraków (POL),22 APR 2018
Habtamu ASEFA,2:26:14,Warszawa (POL),24 APR 2016
Habtamu ASEFA,2:08:28,Dubai (UAE),25 JAN 2013
Habtamu ASEFA,2:10:55,Firenze (ITA),25 NOV 2012
Noah DRODDY,8:41.98,"Crawfordsville, IN (USA)",25 FEB 2012
Justus KANGOGO,2:16:28,Shanghai (CHN),17 NOV 2019
Justus KANGOGO,3:43:27,Libreville (GAB),29 NOV 2015
Colin MICKOW,14:37.83,"Lincoln, NE (USA)",25 FEB 2012
Colin MICKOW,14:28.31,"Champaign, IL (USA)",27 FEB 2011
Colin MICKOW,14:48.63,"Minneapolis, MN (USA)",28 FEB 2010
Nicholas ROTICH,16:06.85,"Fayetteville, AR (USA)",11 FEB 2017
Nicholas ROTICH,15:10.38,"Winston Salem, NC (USA)",04 MAR 2016
Stephen SAMBU,7:51.73,"Portland, OR (USA)",05 FEB 2016
Stephen SAMBU,7:51.59,"Fayetteville, AR (USA)",28 JAN 2012
Stephen SAMBU,7:55.62,"Fayetteville, AR (USA)",29 JAN 2011
Stephen SAMBU,8:08.03,"Bloomington, IN (USA)",29 JAN 2010
