Name,Performance,Place,Date
Benson KIPRUTO,2:07:21,Gongju (KOR),15 OCT 2017
Benson KIPRUTO,2:13:24,Athina (GRE),13 NOV 2016
Geoffrey KAMWOROR,2:08:13,"New York, NY (USA)",03 NOV 2019
Geoffrey KAMWOROR,2:06:26,"New York, NY (USA)",04 NOV 2018
Geoffrey KAMWOROR,2:10:53,"New York, NY (USA)",05 NOV 2017
Geoffrey KAMWOROR,2:10:48,"New York, NY (USA)",01 NOV 2015
Geoffrey KAMWOROR,2:06:39,Berlin (GER),28 SEP 2014
Geoffrey KAMWOROR,2:06:26,Berlin (GER),29 SEP 2013
Geoffrey KAMWOROR,2:06:12,Berlin (GER),30 SEP 2012
Suguru OSAKO,8:16.47,"New York, NY (USA)",31 JAN 2015
Barnabas KIPTUM,2:05:05,Sevilla (ESP),23 FEB 2020
Barnabas KIPTUM,2:06:33,Lisboa (POR),20 OCT 2019
Barnabas KIPTUM,2:09:19,Buenos Aires (ARG),23 SEP 2018
Barnabas KIPTUM,2:09:43,Buenos Aires (ARG),15 OCT 2017
Barnabas KIPTUM,2:09:21,Cape Town (RSA),18 SEP 2016
Barnabas KIPTUM,2:18:21,Kigali (RWA),18 MAY 2014
Shura KITATA,2:05:01,London (GBR),28 APR 2019
Shura KITATA,2:04:49,London (GBR),22 APR 2018
Shura KITATA,2:05:50,Frankfurt (GER),29 OCT 2017
Shura KITATA,2:10:04,Ottawa (CAN),29 MAY 2016
Shura KITATA,2:08:53,Shanghai (CHN),08 NOV 2015
El Hassan EL ABBASSI,2:06:22,Tokyo (JPN),01 MAR 2020
El Hassan EL ABBASSI,2:08:58,Shanghai (CHN),17 NOV 2019
El Hassan EL ABBASSI,2:04:43,Valencia (ESP),02 DEC 2018
El Hassan EL ABBASSI,2:10:57,Lisboa (POR),15 OCT 2017
El Hassan EL ABBASSI,2:17:57,Beijing (CHN),25 NOV 2012
Emmanuel SAINA,2:05:02,Dubai (UAE),25 JAN 2019
Emmanuel SAINA,2:05:21,Buenos Aires (ARG),23 SEP 2018
Dejene DEBELA,2:09:10,Marrakesh (MAR),26 JAN 2020
Dejene DEBELA,2:05:46,"Chicago, IL (USA)",13 OCT 2019
Dejene DEBELA,2:11:22,Xiamen (CHN),07 JAN 2018
Dejene DEBELA,2:07:10,Eindhoven (NED),08 OCT 2017
Dejene DEBELA,2:10:13,Eindhoven (NED),09 OCT 2016
Fikre BEKELE,2:06:27,Seoul (KOR),17 MAR 2019
Fikre BEKELE,2:20:12,Vadodara (IND),07 JAN 2018
Dawit WOLDE,7:47.66,"Arena-Sportpark, Düsseldorf (GER)",01 FEB 2017
Dawit WOLDE,7:41.69,"Emirates Arena, Glasgow (GBR)",20 FEB 2016
Dawit WOLDE,7:48.96,Liévin (FRA),14 FEB 2012
Evans CHEBET,2:07:29,Otsu (JPN),08 MAR 2020
Evans CHEBET,2:05:00,Buenos Aires (ARG),22 SEP 2019
Evans CHEBET,2:05:30,Valencia (ESP),19 NOV 2017
Evans CHEBET,2:05:31,Berlin (GER),25 SEP 2016
Evans CHEBET,2:08:50,Praha (CZE),03 MAY 2015
Evans CHEBET,2:08:17,Praha (CZE),11 MAY 2014
Leul GEBRESILASE,2:07:15,London (GBR),28 APR 2019
Leul GEBRESILASE,2:04:02,Dubai (UAE),26 JAN 2018
Bedan KAROKI,2:06:15,Tokyo (JPN),01 MAR 2020
Bedan KAROKI,2:05:53,"Chicago, IL (USA)",13 OCT 2019
Bedan KAROKI,2:07:59,"Chicago, IL (USA)",07 OCT 2018
Bedan KAROKI,2:07:41,London (GBR),23 APR 2017
Aychew BANTIE,2:06:23,Dubai (UAE),24 JAN 2020
Aychew BANTIE,2:06:23,Praha (CZE),05 MAY 2019
Aychew BANTIE,2:08:15,Košice (SVK),07 OCT 2018
Aychew BANTIE,2:09:40,Amsterdam (NED),15 OCT 2017
Amos KIPRUTO,2:08:00,Tokyo (JPN),01 MAR 2020
Amos KIPRUTO,2:06:46,Praha (CZE),05 MAY 2019
Amos KIPRUTO,2:06:23,Berlin (GER),16 SEP 2018
Amos KIPRUTO,2:05:43,Amsterdam (NED),15 OCT 2017
Amos KIPRUTO,2:08:12,Roma (ITA),10 APR 2016
Paul LONYANGATA,2:07:29,Paris (FRA),14 APR 2019
Paul LONYANGATA,2:06:25,Paris (FRA),08 APR 2018
Paul LONYANGATA,2:06:10,Paris (FRA),09 APR 2017
Paul LONYANGATA,2:13:17,"Chicago, IL (USA)",09 OCT 2016
Paul LONYANGATA,2:07:14,Shanghai (CHN),08 NOV 2015
Paul LONYANGATA,2:16:04,"Honolulu, HI (USA)",14 DEC 2014
Paul LONYANGATA,2:07:44,Xiamen (CHN),05 JAN 2013
Albert KORIR,2:08:03,Ottawa (CAN),26 MAY 2019
Albert KORIR,2:08:17,Otsu (JPN),04 MAR 2018
Albert KORIR,2:08:40,Wien (AUT),23 APR 2017
Albert KORIR,2:10:08,Barcelona (ESP),13 MAR 2016
Albert KORIR,2:21:14,Eldoret (KEN),15 NOV 2015
Andualem Belay SHIFERAW,2:06:00,Lisboa (POR),20 OCT 2019
Andualem Belay SHIFERAW,2:14:44,Xichang (CHN),03 NOV 2018
Andualem Belay SHIFERAW,2:12:54,"Houston, TX (USA)",15 JAN 2017
Andualem Belay SHIFERAW,2:13:02,Wuhan (CHN),10 APR 2016
Andualem Belay SHIFERAW,2:09:59,Dubai (UAE),23 JAN 2015
Andualem Belay SHIFERAW,2:13:25,Xichang (CHN),09 NOV 2014
Andualem Belay SHIFERAW,2:11:59,Castellón (ESP),08 DEC 2013
Reuben KERIO,2:08:46,Xiamen (CHN),05 JAN 2020
Reuben KERIO,2:07:00,Eindhoven (NED),13 OCT 2019
Reuben KERIO,2:09:23,Košice (SVK),07 OCT 2018
Reuben KERIO,2:08:12,Košice (SVK),01 OCT 2017
Reuben KERIO,2:09:05,Brescia (ITA),13 MAR 2016
Reuben KERIO,2:26:05,Kigali (RWA),18 MAY 2014
