athlete,year,performance,place,date
Salina Jebet Kosgei,2007,2:23:31,Tokyo (JPN),18 NOV 2007
Salina Jebet Kosgei,2006,2:23:22,Berlin (GER),24 SEP 2006
Salina Jebet Kosgei,2005,2:28:42,Praha (CZE),22 MAY 2005
Salina Jebet Kosgei,2004,2:24:32,Paris (FRA),04 APR 2004
Mary Jepkosgei Keitany,2019,2:20:58,London (GBR),28 APR 2019
Mary Jepkosgei Keitany,2018,2:22:48,"New York, NY (USA)",04 NOV 2018
Mary Jepkosgei Keitany,2017,2:17:01,London (GBR),23 APR 2017
Mary Jepkosgei Keitany,2016,2:24:26,"New York, NY (USA)",06 NOV 2016
Mary Jepkosgei Keitany,2015,2:23:40,London (GBR),26 APR 2015
Mary Jepkosgei Keitany,2014,2:25:07,"New York, NY (USA)",02 NOV 2014
Mary Jepkosgei Keitany,2012,2:18:37,London (GBR),22 APR 2012
Mary Jepkosgei Keitany,2011,2:19:19,London (GBR),17 APR 2011
Mary Jepkosgei Keitany,2010,2:29:01,"New York, NY (USA)",07 NOV 2010
Jemima Jelagat Sumgong,2016,2:22:58,London (GBR),24 APR 2016
Jemima Jelagat Sumgong,2015,2:24:23,London (GBR),26 APR 2015
Jemima Jelagat Sumgong,2014,2:25:10,"New York, NY (USA)",02 NOV 2014
Jemima Jelagat Sumgong,2013,2:20:48,"Chicago, IL (USA)",13 OCT 2013
Jemima Jelagat Sumgong,2011,2:28:32,Castellón (ESP),18 DEC 2011
Jemima Jelagat Sumgong,2010,2:32:34,"San Diego, CA (USA)",06 JUN 2010
Jemima Jelagat Sumgong,2007,2:29:41,Frankfurt (GER),28 OCT 2007
Jemima Jelagat Sumgong,2006,2:35:22,"Las Vegas, NV (USA)",10 DEC 2006
Priscah Jeptoo (-Chepsirut),2019,2:24:16,Valencia (ESP),01 DEC 2019
Priscah Jeptoo (-Chepsirut),2016,2:25:57,Amsterdam (NED),16 OCT 2016
Priscah Jeptoo (-Chepsirut),2015,2:25:01,London (GBR),26 APR 2015
Priscah Jeptoo (-Chepsirut),2013,2:20:15,London (GBR),21 APR 2013
Priscah Jeptoo (-Chepsirut),2012,2:20:14,London (GBR),22 APR 2012
Priscah Jeptoo (-Chepsirut),2011,2:22:55,Paris (FRA),10 APR 2011
Priscah Jeptoo (-Chepsirut),2010,2:27:02,Torino (ITA),14 NOV 2010
Priscah Jeptoo (-Chepsirut),2009,2:30:40,Porto (POR),08 NOV 2009
Visiline Jepkesho,2019,2:22:58,Nagoya (JPN),10 MAR 2019
Visiline Jepkesho,2018,2:22:58,Ljubljana (SLO),28 OCT 2018
Visiline Jepkesho,2017,2:21:37,Paris (FRA),09 APR 2017
Visiline Jepkesho,2016,2:25:53,Paris (FRA),03 APR 2016
Visiline Jepkesho,2015,2:24:44,Paris (FRA),12 APR 2015
Visiline Jepkesho,2014,2:26:47,Lisboa (POR),05 OCT 2014
Mariya Korobitskaya,2019,2:30:40,Amsterdam (NED),20 OCT 2019
Mariya Korobitskaya,2018,2:57:49,Guadalajara (MEX),11 NOV 2018
Mariya Korobitskaya,2017,2:34:50,Dongguan (CHN),26 NOV 2017
Mariya Korobitskaya,2016,2:47:53,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Mariya Korobitskaya,2015,2:38:35,Omsk (RUS),20 SEP 2015
Mariya Korobitskaya,2013,2:45:22,Hong Kong (HKG),24 FEB 2013
Mariya Korobitskaya,2012,2:43:23,"Jacksonville, FL (USA)",16 DEC 2012
Viktoriia Poliudina,2018,2:54:37,Jakarta (INA),26 AUG 2018
Viktoriia Poliudina,2017,2:33:25,Shenzhen (CHN),17 DEC 2017
Viktoriia Poliudina,2016,2:40:36,Praha (CZE),08 MAY 2016
Viktoriia Poliudina,2011,2:57:50,Frankfurt (GER),30 OCT 2011
Viktoriia Poliudina,2010,2:48:46,Pune (IND),05 DEC 2010
Sirivanh Ketavong,2000,3:34:27,"Olympic Stadium, Sydney (AUS)",24 SEP 2000
Sirivanh Ketavong,1998,3:28:40,Bangkok (THA),06 DEC 1998
Sirivanh Ketavong,1996,3:25:16,"Olympic Stadium, Atlanta, GA (USA)",28 JUL 1996
Ilona Marhele,2019,2:37:29,Praha (CZE),05 MAY 2019
Ilona Marhele,2017,2:37:40,"Olympic Stadium, London (GBR)",06 AUG 2017
Ilona Marhele,2016,2:41:02,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Ilona Marhele,2015,2:38:01,Frankfurt (GER),25 OCT 2015
Ilona Marhele,2012,2:38:34,Rotterdam (NED),15 APR 2012
Ilona Marhele,2011,2:45:25,Poznan (POL),16 OCT 2011
Dace Lina,2012,2:38:11,Hannover (GER),06 MAY 2012
Dace Lina,2011,2:40:08,Frankfurt (GER),30 OCT 2011
Chirine Njeim,2019,2:43:31,"Chicago, IL (USA)",13 OCT 2019
Chirine Njeim,2018,2:43:04,"Chicago, IL (USA)",07 OCT 2018
Chirine Njeim,2017,2:39:21,"Chicago, IL (USA)",08 OCT 2017
Chirine Njeim,2016,2:44:19,"Houston, TX (USA)",17 JAN 2016
Chirine Njeim,2015,2:46:41,"Chicago, IL (USA)",11 OCT 2015
Chirine Njeim,2014,3:03:53,"Chicago, IL (USA)",12 OCT 2014
Chirine Njeim,2013,3:05:40,"Chicago, IL (USA)",13 OCT 2013
Chirine Njeim,2012,3:07:00,"Chicago, IL (USA)",07 OCT 2012
Mamokete Lechela,2005,3:03:26,"Olympic Stadium, Helsinki (FIN)",14 AUG 2005
Mamokete Lechela,2004,3:11:56,"Olympic Stadium, Athina (GRE)",22 AUG 2004
Mamorallo Tjoka,2014,2:38:26,Johannesburg (RSA),07 SEP 2014
Mamorallo Tjoka,2013,2:49:40,Mossel Bay (RSA),28 SEP 2013
Mamorallo Tjoka,2012,2:43:15,"Olympic Stadium, London (GBR)",05 AUG 2012
Mamorallo Tjoka,2011,2:43:40,Soweto (RSA),06 NOV 2011
Mamorallo Tjoka,2010,2:46:38,Mossel Bay (RSA),14 AUG 2010
Mamorallo Tjoka,2009,2:43:29,Durban (RSA),08 FEB 2009
Mamorallo Tjoka,2008,2:39:38,Durban (RSA),10 FEB 2008
Mamorallo Tjoka,2007,2:47:57,Soweto (RSA),04 NOV 2007
Mamorallo Tjoka,2006,2:43:04,Johannesburg (RSA),07 MAY 2006
Mamorallo Tjoka,2005,2:49:45,Soweto (RSA),06 NOV 2005
Clarisse Rasoarizay,2012,2:43:45,Paris (FRA),15 APR 2012
Clarisse Rasoarizay,2011,2:52:24,Antananarivo (MAD),06 NOV 2011
Clarisse Rasoarizay,2008,2:44:56,Mauritius (MRI),20 APR 2008
Clarisse Rasoarizay,2005,2:43:58,"Olympic Stadium, Helsinki (FIN)",14 AUG 2005
Clarisse Rasoarizay,2004,2:47:55,Paris (FRA),04 APR 2004
Clarisse Rasoarizay,2001,2:46:29,Ottawa (CAN),22 JUL 2001
Tereza Master,2016,2:48:34,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Tereza Master,2014,2:50:54,"Hampden Park, Glasgow (GBR)",27 JUL 2014
Maryse Justin (-Pyndiah),1988,2:48:40,Canberra (AUS),10 APR 1988
Margarita Tapia Garca,2013,2:55:15,Ciudad de México (MEX),25 AUG 2013
Margarita Tapia Garca,2009,2:31:08,Culiacán (MEX),18 JAN 2009
Margarita Tapia Garca,2008,2:38:13,Guadalajara (MEX),19 OCT 2008
Margarita Tapia Garca,2004,2:28:36,"Houston, TX (USA)",18 JAN 2004
Margarita Tapia Garca,2003,2:42:31,Ciudad de México (MEX),28 SEP 2003
Margarita Tapia Garca,2002,2:34:49,Torreón (MEX),03 MAR 2002
Blanca Jaime,1990,2:38:20,"Los Angeles, CA (USA)",04 MAR 1990
Blanca Jaime,1988,2:36:11,"Los Angeles, CA (USA)",06 MAR 1988
Marisol Guadalupe Romero Rosales,2019,2:50:02,Rotterdam (NED),07 APR 2019
Marisol Guadalupe Romero Rosales,2015,2:41:50,"New York, NY (USA)",01 NOV 2015
Marisol Guadalupe Romero Rosales,2012,2:31:15,Torreón (MEX),04 MAR 2012
Marisol Guadalupe Romero Rosales,2010,2:42:33,León (MEX),07 FEB 2010
Marisol Guadalupe Romero Rosales,2008,2:45:18,Ciudad de México (MEX),17 AUG 2008
Marisol Guadalupe Romero Rosales,2007,2:43:21,México (MEX),26 AUG 2007
Marisol Guadalupe Romero Rosales,2006,2:51:32,Ciudad de México (MEX),27 AUG 2006
Mara del Carmen Daz Mancilla,1999,2:40:52,Torreón (MEX),04 APR 1999
Mara del Carmen Daz Mancilla,1998,2:39:01,Guadalajara (MEX),15 FEB 1998
Mara del Carmen Daz Mancilla,1996,2:29:48,Rotterdam (NED),28 APR 1996
Kenza Wahbi,2006,2:48:47,Dubai (UAE),17 FEB 2006
Kenza Wahbi,2004,2:41:36,"Olympic Stadium, Athina (GRE)",22 AUG 2004
Kenza Wahbi,2003,2:36:29,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003
Hafida Izem,2013,2:47:10,Marrakesh (MAR),27 JAN 2013
Hafida Izem,2012,2:36:15,Xiamen (CHN),07 JAN 2012
Hafida Izem,2006,2:31:30,Frankfurt (GER),29 OCT 2006
Hafida Izem,2004,2:36:02,Napoli (ITA),09 MAY 2004
Hafida Izem,2003,2:36:18,Roma (ITA),23 MAR 2003
Hafida Izem,2002,2:47:59,Bari (ITA),17 NOV 2002
San Ni Lar,2014,3:01:55,Yangon (MYA),19 JAN 2014
San Ni Lar,2013,2:49:53,Yangon (MYA),27 JAN 2013
San Ni Lar,2012,3:04:27,"Olympic Stadium, London (GBR)",05 AUG 2012
San Ni Lar,2009,2:46:54,Vientiane (LAO),15 DEC 2009
San Ni Lar,2007,2:58:27,Nakhon Ratchasima (THA),10 DEC 2007
Helalia Lukeiko Johannes,2019,2:22:25,Nagoya (JPN),10 MAR 2019
Helalia Lukeiko Johannes,2018,2:29:28,Cape Town (RSA),23 SEP 2018
Helalia Lukeiko Johannes,2017,2:29:25,Wien (AUT),23 APR 2017
Helalia Lukeiko Johannes,2016,2:32:32,Dublin (IRL),30 OCT 2016
Helalia Lukeiko Johannes,2014,2:28:27,Seoul (KOR),16 MAR 2014
Helalia Lukeiko Johannes,2013,2:29:20,Tokyo (JPN),24 FEB 2013
Helalia Lukeiko Johannes,2012,2:26:09,"Olympic Stadium, London (GBR)",05 AUG 2012
Helalia Lukeiko Johannes,2011,2:30:35,Dublin (IRL),31 OCT 2011
Helalia Lukeiko Johannes,2010,2:34:34,Seoul (KOR),21 MAR 2010
Helalia Lukeiko Johannes,2009,2:33:26,Dublin (IRL),26 OCT 2009
Helalia Lukeiko Johannes,2008,2:32:30,Dublin (IRL),27 OCT 2008
Helalia Lukeiko Johannes,2007,2:35:30,Dublin (IRL),29 OCT 2007
Beata Nandjala Naigambo,2019,2:43:55,Dakar (SEN),14 APR 2019
Beata Nandjala Naigambo,2018,2:38:31,Taipei City (TPE),09 DEC 2018
Beata Nandjala Naigambo,2017,2:37:24,"Olympic Stadium, London (GBR)",06 AUG 2017
Beata Nandjala Naigambo,2016,2:33:10,Valencia (ESP),20 NOV 2016
Beata Nandjala Naigambo,2015,2:26:57,Valencia (ESP),15 NOV 2015
Beata Nandjala Naigambo,2014,2:30:54,Valencia (ESP),16 NOV 2014
Beata Nandjala Naigambo,2013,2:27:54,Dubai (UAE),25 JAN 2013
Beata Nandjala Naigambo,2012,2:29:20,Dubai (UAE),27 JAN 2012
Beata Nandjala Naigambo,2011,2:32:12,Amsterdam (NED),16 OCT 2011
Beata Nandjala Naigambo,2010,2:33:00,Hamburg (GER),25 APR 2010
Beata Nandjala Naigambo,2009,2:31:01,Eindhoven (NED),11 OCT 2009
Beata Nandjala Naigambo,2008,2:33:17,Pyongyang (PRK),06 APR 2008
Beata Nandjala Naigambo,2007,2:40:19,Pyongyang (PRK),08 APR 2007
Beata Nandjala Naigambo,2004,2:43:58,Swakopmund (NAM),23 OCT 2004
Beata Nandjala Naigambo,2002,2:47:22,Manchester (GBR),28 JUL 2002
Alina Armas,2016,2:41:11,Swakopmund (NAM),13 FEB 2016
Alina Armas,2015,2:33:09,Mungyeong (KOR),11 OCT 2015
Alina Armas,2014,2:45:44,Zürich (SUI),06 APR 2014
Alina Armas,2013,2:35:53,Swakopmund (NAM),16 FEB 2013
Raj Kumari Pandey,1988,3:10:31,"Olympic Stadium, Jamsil, Seoul (KOR)",23 SEP 1988
Hilda Jepchumba Kibet,2013,2:26:42,Rotterdam (NED),14 APR 2013
Hilda Jepchumba Kibet,2012,2:25:46,Torino (ITA),18 NOV 2012
Hilda Jepchumba Kibet,2011,2:24:27,Rotterdam (NED),10 APR 2011
Hilda Jepchumba Kibet,2010,2:26:23,Frankfurt (GER),31 OCT 2010
Hilda Jepchumba Kibet,2009,2:30:33,Amsterdam (NED),18 OCT 2009
Hilda Jepchumba Kibet,2007,2:32:10,Amsterdam (NED),21 OCT 2007
Andrea Deelstra,2020,2:33:34,Tokyo (JPN),01 MAR 2020
Andrea Deelstra,2019,2:31:29,Berlin (GER),29 SEP 2019
Andrea Deelstra,2018,2:32:41,Berlin (GER),16 SEP 2018
Andrea Deelstra,2017,2:31:32,London (GBR),23 APR 2017
Andrea Deelstra,2016,2:40:49,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Andrea Deelstra,2015,2:26:46,Berlin (GER),27 SEP 2015
Andrea Deelstra,2014,2:32:39,"Letzigrund, Zürich (SUI)",16 AUG 2014
Andrea Deelstra,2013,2:35:39,Eindhoven (NED),13 OCT 2013
Andrea Deelstra,2012,2:34:33,Eindhoven (NED),14 OCT 2012
Nina Kathy Rillstone,2008,2:31:16,"National Stadium, Beijing (CHN)",17 AUG 2008
Nina Kathy Rillstone,2007,2:33:58,"Nagai Stadium, Osaka (JPN)",02 SEP 2007
Nina Kathy Rillstone,2006,2:29:46,Nagano (JPN),16 APR 2006
Liza Marie Hunter-Galvan,2016,2:50:11,Christchurch (NZL),05 JUN 2016
Liza Marie Hunter-Galvan,2015,2:50:38,Christchurch (NZL),31 MAY 2015
Liza Marie Hunter-Galvan,2014,2:43:40,Christchurch (NZL),01 JUN 2014
Liza Marie Hunter-Galvan,2013,2:50:26,Christchurch (NZL),02 JUN 2013
Liza Marie Hunter-Galvan,2012,2:45:42,Christchurch (NZL),03 JUN 2012
Liza Marie Hunter-Galvan,2011,2:45:31,Christchurch (NZL),05 JUN 2011
Liza Marie Hunter-Galvan,2008,2:29:37,"San Antonio, TX (USA)",16 NOV 2008
Liza Marie Hunter-Galvan,2007,2:30:40,Amsterdam (NED),21 OCT 2007
Liza Marie Hunter-Galvan,2006,2:46:48,"San Antonio, TX (USA)",12 NOV 2006
Liza Marie Hunter-Galvan,2005,2:33:51,"Dallas, TX (USA)",11 DEC 2005
Liza Marie Hunter-Galvan,2004,2:36:27,Hamburg (GER),18 APR 2004
Liza Marie Hunter-Galvan,2003,2:42:40,"San Antonio, TX (USA)",09 NOV 2003
"Lorraine Mary Moller (-Daws, -Smith)",1996,2:42:21,"Olympic Stadium, Atlanta, GA (USA)",28 JUL 1996
"Lorraine Mary Moller (-Daws, -Smith)",1993,2:30:31,Osaka (JPN),31 JAN 1993
"Lorraine Mary Moller (-Daws, -Smith)",1992,2:33:59,"Estadio Olímpico, Barcelona (ESP)",01 AUG 1992
"Lorraine Mary Moller (-Daws, -Smith)",1991,2:33:20,Sapporo (JPN),04 AUG 1991
"Lorraine Mary Moller (-Daws, -Smith)",1989,2:30:21,Osaka (JPN),29 JAN 1989
"Lorraine Mary Moller (-Daws, -Smith)",1988,2:37:52,"Olympic Stadium, Jamsil, Seoul (KOR)",23 SEP 1988
"Lorraine Mary Moller (-Daws, -Smith)",1987,2:30:40,Osaka (JPN),25 JAN 1987
"Lorraine Mary Moller (-Daws, -Smith)",1986,2:28:17,Edinburgh (GBR),01 AUG 1986
"Lorraine Mary Moller (-Daws, -Smith)",1984,2:28:34,"Memorial Coliseum, Los Angeles, CA (USA)",05 AUG 1984
"Lorraine Mary Moller (-Daws, -Smith)",1982,2:36:13,"San Francisco, CA (USA)",06 JUN 1982
"Lorraine Mary Moller (-Daws, -Smith)",1981,2:29:36,"Duluth, MN (USA)",20 JUN 1981
"Lorraine Mary Moller (-Daws, -Smith)",1980,2:31:42,"Eugene, OR (USA)",07 SEP 1980
Sissel Sofie Grottenberg,1996,2:34:56,"Duluth, MN (USA)",22 JUN 1996
Sissel Sofie Grottenberg,1994,2:36:17,Wien (AUT),10 APR 1994
Sissel Sofie Grottenberg,1993,2:36:50,Frankfurt (GER),17 OCT 1993
Sissel Sofie Grottenberg,1991,2:33:21,London (GBR),21 APR 1991
Sissel Sofie Grottenberg,1990,2:34:55,St. Paul (USA),14 OCT 1990
Sissel Sofie Grottenberg,1989,2:33:55,Berlin (GER),01 OCT 1989
Sissel Sofie Grottenberg,1988,2:35:57,"Houston, TX (USA)",17 JAN 1988
Sissel Sofie Grottenberg,1987,2:32:57,Berlin (GER),04 OCT 1987
Sissel Sofie Grottenberg,1981,2:39:38,"Houston, TX (USA)",10 JAN 1981
Sissel Sofie Grottenberg,1980,2:49:13,Selbu (NOR),06 SEP 1980
Kirsten Melkevik (-Kirsten Marathon) Otterbu (-Melkevik-),2011,2:35:09,Frankfurt (GER),30 OCT 2011
Kirsten Melkevik (-Kirsten Marathon) Otterbu (-Melkevik-),2010,2:36:22,Düsseldorf (GER),02 MAY 2010
Kirsten Melkevik (-Kirsten Marathon) Otterbu (-Melkevik-),2008,2:29:40,Frankfurt (GER),26 OCT 2008
Kirsten Melkevik (-Kirsten Marathon) Otterbu (-Melkevik-),2007,2:29:12,Frankfurt (GER),28 OCT 2007
Kirsten Melkevik (-Kirsten Marathon) Otterbu (-Melkevik-),2006,2:31:20,Frankfurt (GER),29 OCT 2006
Kirsten Melkevik (-Kirsten Marathon) Otterbu (-Melkevik-),2005,2:33:09,Hamburg (GER),24 APR 2005
Stine Elisabeth Larsen,2006,2:37:31,London (GBR),23 APR 2006
Stine Elisabeth Larsen,2004,2:32:53,Hamburg (GER),18 APR 2004
Stine Elisabeth Larsen,2003,2:27:12,Torino (ITA),13 APR 2003
Stine Elisabeth Larsen,2002,2:27:06,Amsterdam (NED),20 OCT 2002
Jovana de la Cruz Capani,2019,2:37:41,Düsseldorf (GER),28 APR 2019
Jovana de la Cruz Capani,2016,2:31:33,"Houston, TX (USA)",17 JAN 2016
Jovana de la Cruz Capani,2015,2:35:05,Toronto (CAN),18 OCT 2015
Gladys Lucy Tejeda Pucuhuaranga,2020,2:27:07,Sevilla (ESP),23 FEB 2020
Gladys Lucy Tejeda Pucuhuaranga,2019,2:30:55,Lima (PER),27 JUL 2019
Gladys Lucy Tejeda Pucuhuaranga,2018,2:30:44,Osaka (JPN),28 JAN 2018
Gladys Lucy Tejeda Pucuhuaranga,2017,2:36:15,Ciudad de México (MEX),27 AUG 2017
Gladys Lucy Tejeda Pucuhuaranga,2016,2:29:55,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Gladys Lucy Tejeda Pucuhuaranga,2015,2:28:12,Rotterdam (NED),12 APR 2015
Gladys Lucy Tejeda Pucuhuaranga,2013,2:31:48,Santiago de Chile (CHI),07 APR 2013
Gladys Lucy Tejeda Pucuhuaranga,2012,2:32:07,"Olympic Stadium, London (GBR)",05 AUG 2012
Gladys Lucy Tejeda Pucuhuaranga,2011,2:32:32,Seoul (KOR),20 MAR 2011
Wilma Yanet Arizapana Yucra,2017,2:30:45,Daegu (KOR),02 APR 2017
Wilma Yanet Arizapana Yucra,2016,2:31:34,Rotterdam (NED),10 APR 2016
Wilma Yanet Arizapana Yucra,2015,2:33:21,Berlin (GER),27 SEP 2015
Wilma Yanet Arizapana Yucra,2012,2:34:11,Rotterdam (NED),15 APR 2012
Mara Portillo Cruz,2009,2:40:32,"Baltimore, MD (USA)",10 OCT 2009
Mara Portillo Cruz,2008,2:35:19,"National Stadium, Beijing (CHN)",17 AUG 2008
Mara Portillo Cruz,2007,2:37:40,"Tempe, AZ (USA)",13 JAN 2007
Mara Portillo Cruz,2006,2:36:24,"Baltimore, MD (USA)",14 OCT 2006
Mara Portillo Cruz,2005,2:35:35,"Dallas, TX (USA)",11 DEC 2005
Mara Portillo Cruz,2004,2:39:50,"Dallas, TX (USA)",12 DEC 2004
Mara Portillo Cruz,2001,2:37:07,Torreón (MEX),04 MAR 2001
Mara Portillo Cruz,2000,2:35:24,"Los Angeles, CA (USA)",05 MAR 2000
Mary Joy Tabal,2019,2:49:57,Ottawa (CAN),26 MAY 2019
Mary Joy Tabal,2018,2:51:41,Jakarta (INA),26 AUG 2018
Mary Joy Tabal,2017,2:58:01,Cebu (PHI),03 DEC 2017
Mary Joy Tabal,2016,2:43:31,Ottawa (CAN),29 MAY 2016
Mary Joy Tabal,2015,3:04:39,Singapore (SGP),07 JUN 2015
Mary Joy Tabal,2014,2:51:55,Manila (PHI),13 DEC 2014
Mary Joy Tabal,2013,2:48:00,Manila (PHI),08 DEC 2013
Mary Joy Tabal,2012,3:05:12,Manila (PHI),09 DEC 2012
Mary Joy Tabal,2010,3:08:38,Manila (PHI),12 DEC 2010
Iwona Lewandowska,2017,2:29:37,Osaka (JPN),29 JAN 2017
Iwona Lewandowska,2016,2:30:15,Nagoya (JPN),13 MAR 2016
Iwona Lewandowska,2015,2:27:47,London (GBR),26 APR 2015
Iwona Lewandowska,2014,2:28:33,Eindhoven (NED),12 OCT 2014
Iwona Lewandowska,2012,2:28:36,Frankfurt (GER),28 OCT 2012
Iwona Lewandowska,2011,2:30:38,Berlin (GER),25 SEP 2011
Iwona Lewandowska,2010,2:41:58,Warszawa (POL),26 SEP 2010
Dorota Gruca (-Giecek-),2010,2:39:19,Debno (POL),24 OCT 2010
Dorota Gruca (-Giecek-),2009,2:36:07,"San Antonio, TX (USA)",15 NOV 2009
Dorota Gruca (-Giecek-),2008,2:31:54,Nagano (JPN),20 APR 2008
Dorota Gruca (-Giecek-),2007,2:30:10,Amsterdam (NED),21 OCT 2007
Dorota Gruca (-Giecek-),2006,2:29:17,Osaka (JPN),29 JAN 2006
Dorota Gruca (-Giecek-),2005,2:27:46,"Olympic Stadium, Helsinki (FIN)",14 AUG 2005
Dorota Gruca (-Giecek-),2004,2:28:49,Mazatlán (MEX),28 NOV 2004
Dorota Gruca (-Giecek-),2003,2:34:23,Dortmund (GER),11 MAY 2003
Dorota Gruca (-Giecek-),2002,2:31:08,Nagano (JPN),14 APR 2002
Dorota Gruca (-Giecek-),2001,2:34:55,St. Paul (USA),07 OCT 2001
Dorota Gruca (-Giecek-),2000,2:37:22,Poznan (POL),15 OCT 2000
Helena Maria Mendes Sampaio,2004,2:49:18,"Olympic Stadium, Athina (GRE)",22 AUG 2004
Helena Maria Mendes Sampaio,2003,2:28:06,Amsterdam (NED),19 OCT 2003
Helena Maria Mendes Sampaio,2000,2:29:34,Berlin (GER),10 SEP 2000
Ana Maria Guerreiro Dias,1996,2:36:39,"Olympic Stadium, Atlanta, GA (USA)",28 JUL 1996
Ana Maria Guerreiro Dias,1995,2:29:35,Reims (FRA),22 OCT 1995
Ana Maria Guerreiro Dias,1993,2:26:49,Berlin (GER),26 SEP 1993
Maria Manuela Castro Machado,2000,2:26:41,London (GBR),16 APR 2000
Maria Manuela Castro Machado,1999,2:25:11,London (GBR),18 APR 1999
Maria Manuela Castro Machado,1998,2:27:10,"Népstadion, Budapest (HUN)",23 AUG 1998
Maria Manuela Castro Machado,1997,2:28:12,London (GBR),13 APR 1997
Maria Manuela Castro Machado,1996,2:29:32,Tokyo (JPN),17 NOV 1996
Maria Manuela Castro Machado,1995,2:27:53,London (GBR),02 APR 1995
Maria Manuela Castro Machado,1994,2:29:54,"Olympic Stadium, Helsinki (FIN)",07 AUG 1994
Maria Manuela Castro Machado,1993,2:30:54,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993
Maria Manuela Castro Machado,1992,2:38:22,"Estadio Olímpico, Barcelona (ESP)",01 AUG 1992
Maria Manuela Castro Machado,1991,2:32:33,"Olympic Stadium, Tokyo (JPN)",25 AUG 1991
Maria Manuela Castro Machado,1990,2:33:46,"Pittsburgh, PA (USA)",06 MAY 1990
Ana Dulce Ferreira Flix,2018,2:25:24,Valencia (ESP),02 DEC 2018
Ana Dulce Ferreira Flix,2016,2:30:39,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Ana Dulce Ferreira Flix,2015,2:25:15,London (GBR),26 APR 2015
Ana Dulce Ferreira Flix,2014,2:26:46,London (GBR),13 APR 2014
Ana Dulce Ferreira Flix,2012,2:28:12,"Olympic Stadium, London (GBR)",05 AUG 2012
Ana Dulce Ferreira Flix,2011,2:25:40,"New York, NY (USA)",06 NOV 2011
Paula Claudia Todoran,2018,2:47:58,"Olympiastadion, Berlin (GER)",12 AUG 2018
Paula Claudia Todoran,2017,2:43:56,Hamburg (GER),23 APR 2017
Paula Claudia Todoran,2016,2:36:44,Sevilla (ESP),21 FEB 2016
Paula Claudia Todoran,2015,2:45:14,Hamburg (GER),26 APR 2015
Paula Claudia Todoran,2014,2:41:24,Bucuresti (ROU),05 OCT 2014
Paula Claudia Todoran,2013,2:43:17,Pisa (ITA),15 DEC 2013
Paula Claudia Todoran,2012,2:48:20,Bucuresti (ROU),07 OCT 2012
Paula Claudia Todoran,2011,2:43:28,Bucuresti (ROU),09 OCT 2011
Paula Claudia Todoran,2010,2:44:23,Kavarna (BUL),08 MAY 2010
Paula Claudia Todoran,2009,2:51:32,Bucuresti (ROU),18 OCT 2009
Camelia Alina Gherasim (Tecua-),2015,3:06:59,Bucuresti (ROU),04 OCT 2015
Camelia Alina Gherasim (Tecua-),2013,2:48:56,Caen (FRA),16 JUN 2013
Camelia Alina Gherasim (Tecua-),2012,2:59:47,Bucuresti (ROU),07 OCT 2012
Camelia Alina Gherasim (Tecua-),2011,2:58:34,Casablanca (MAR),23 OCT 2011
Camelia Alina Gherasim (Tecua-),2008,2:51:58,Târgu Jiu (ROU),30 MAR 2008
Camelia Alina Gherasim (Tecua-),2007,2:32:33,Nagoya (JPN),11 MAR 2007
Camelia Alina Gherasim (Tecua-),2006,2:29:30,Nagoya (JPN),12 MAR 2006
Camelia Alina Gherasim (Tecua-),2005,2:43:44,Monaco (MON),13 NOV 2005
Camelia Alina Gherasim (Tecua-),2001,2:29:16,Paris (FRA),08 APR 2001
Camelia Alina Gherasim (Tecua-),2000,2:28:17,Paris (FRA),09 APR 2000
Camelia Alina Gherasim (Tecua-),1999,2:30:14,Paris (FRA),04 APR 1999
Camelia Alina Gherasim (Tecua-),1998,2:28:37,Paris (FRA),05 APR 1998
Camelia Alina Gherasim (Tecua-),1997,2:29:24,Paris (FRA),06 APR 1997
Camelia Alina Gherasim (Tecua-),1996,2:29:32,Paris (FRA),21 APR 1996
Svetlana Vladimirovna Zakharova (Vasilyeva-),1981,2:46:48,Moskva (URS),28 JUN 1981
Madina Ulfatovna Biktagirova,2009,2:49:15,"Nashville, TN (USA)",25 APR 2009
Madina Ulfatovna Biktagirova,2008,2:47:00,Singapore (SGP),07 DEC 2008
Madina Ulfatovna Biktagirova,2007,2:43:28,Singapore (SGP),02 DEC 2007
Madina Ulfatovna Biktagirova,2005,2:37:17,Mumbai (IND),16 JAN 2005
Madina Ulfatovna Biktagirova,2004,2:38:48,Nagano (JPN),11 APR 2004
Madina Ulfatovna Biktagirova,2003,2:28:23,Nagano (JPN),20 APR 2003
Madina Ulfatovna Biktagirova,2002,2:25:20,"Chicago, IL (USA)",13 OCT 2002
Madina Ulfatovna Biktagirova,2001,2:27:14,London (GBR),22 APR 2001
