athlete,year,performance,place,date
Li Zhuhong,2007,2:32:44,"Nagai Stadium, Osaka (JPN)",25 AUG 2007
Li Zhuhong,2006,2:14:41,Xiamen (CHN),25 MAR 2006
Li Zhuhong,2005,2:16:06,Beijing (CHN),16 OCT 2005
Li Zhuhong,2004,2:11:43,Xiamen (CHN),27 MAR 2004
Li Zhuhong,2003,2:14:39,Xiamen (CHN),30 MAR 2003
Li Zhuhong,2002,2:13:09,Beijing (CHN),13 OCT 2002
Li Zhuhong,2001,2:10:46,Beijing (CHN),14 OCT 2001
Li Zhuhong,2000,2:15:07,Beijing (CHN),15 OCT 2000
Zhu Renxue,2020,2:19:21,Xiamen (CHN),05 JAN 2020
Zhu Renxue,2019,2:18:23,Hengshui (CHN),29 SEP 2019
Zhu Renxue,2017,2:23:21,Dongguan (CHN),26 NOV 2017
Zhu Renxue,2016,2:18:17,Chongqing (CHN),20 MAR 2016
Zhu Renxue,2015,2:21:27,Chongqing (CHN),22 MAR 2015
Zhu Renxue,2012,2:21:00,Chongqing (CHN),18 MAR 2012
Dong Guojian,2019,2:08:28,Berlin (GER),29 SEP 2019
Dong Guojian,2018,2:23:55,Jakarta (INA),25 AUG 2018
Dong Guojian,2017,2:18:45,Tianjin (CHN),29 APR 2017
Dong Guojian,2016,2:11:41,Chongqing (CHN),20 MAR 2016
Dong Guojian,2015,2:17:04,Hefei (CHN),25 OCT 2015
Dong Guojian,2012,2:15:03,Chongqing (CHN),18 MAR 2012
Dong Guojian,2011,2:15:45,"DS, Daegu (KOR)",04 SEP 2011
Dong Guojian,2010,2:13:23,Dalian (CHN),18 APR 2010
Duo Bujie,2019,2:10:31,Xuzhou (CHN),24 MAR 2019
Duo Bujie,2018,2:18:48,Jakarta (INA),25 AUG 2018
Duo Bujie,2016,2:13:15,Chongqing (CHN),20 MAR 2016
Zhu Ronghua,2005,2:21:29,Xiamen (CHN),26 MAR 2005
Zhu Ronghua,2004,2:13:11,Xiamen (CHN),27 MAR 2004
Zhu Ronghua,2003,2:14:07,Beijing (CHN),19 OCT 2003
Zhu Ronghua,2002,2:13:29,Beijing (CHN),13 OCT 2002
Zhu Ronghua,2001,2:15:01,Beijing (CHN),14 OCT 2001
Zhu Ronghua,2000,2:14:29,Beijing (CHN),15 OCT 2000
Zhu Ronghua,1997,2:16:24,Beijing (CHN),04 OCT 1997
Deng Haiyang,2009,2:15:48,Xiamen (CHN),03 JAN 2009
Deng Haiyang,2008,2:10:43,Xiamen (CHN),05 JAN 2008
Deng Haiyang,2007,2:16:20,Gongju (KOR),21 OCT 2007
Deng Haiyang,2006,2:10:50,Xiamen (CHN),25 MAR 2006
Deng Haiyang,2005,2:17:32,Xiamen (CHN),26 MAR 2005
Cai Shangyan,1991,2:13:49,Beijing (CHN),13 OCT 1991
Cai Shangyan,1988,2:11:58,London (GBR),17 APR 1988
Juan Carlos Cardona Rivas,2017,2:28:44,Medellín (COL),17 SEP 2017
Juan Carlos Cardona Rivas,2016,2:34:38,Panama City (PAN),27 NOV 2016
Juan Carlos Cardona Rivas,2015,2:21:20,Port-of-Spain (TTO),25 JAN 2015
Juan Carlos Cardona Rivas,2014,2:20:25,Medellín (COL),14 SEP 2014
Juan Carlos Cardona Rivas,2013,2:18:23,Caracas (VEN),24 FEB 2013
Juan Carlos Cardona Rivas,2012,2:15:17,Rotterdam (NED),15 APR 2012
Juan Carlos Cardona Rivas,2011,2:18:20,Guadalajara (MEX),30 OCT 2011
Juan Carlos Cardona Rivas,2010,2:13:29,"Baltimore, MD (USA)",16 OCT 2010
Juan Carlos Cardona Rivas,2009,2:17:36,Montreal (CAN),13 SEP 2009
Juan Carlos Cardona Rivas,2008,2:17:43,Rotterdam (NED),13 APR 2008
Juan Carlos Cardona Rivas,2007,2:16:07,Buenos Aires (ARG),04 NOV 2007
Juan Carlos Cardona Rivas,2006,2:18:18,"Nashville, TN (USA)",28 APR 2006
Juan Carlos Cardona Rivas,2005,2:18:33,Vancouver (CAN),01 MAY 2005
Juan Carlos Cardona Rivas,2004,2:18:04,"Nashville, TN (USA)",24 APR 2004
Juan Carlos Cardona Rivas,2003,2:14:30,"Nashville, TN (USA)",26 APR 2003
Juan Carlos Cardona Rivas,2002,2:21:48,Madrid (ESP),28 APR 2002
Juan Carlos Cardona Rivas,2001,2:24:46,Panama City (PAN),12 AUG 2001
Luis Barbosa,1980,2:22:58,"Lenin Stadium, Moskva (URS)",01 AUG 1980
Pedro Elias Ortiz,1990,2:11:54,"Los Angeles, CA (USA)",04 MAR 1990
Pedro Elias Ortiz,1989,2:13:28,"Los Angeles, CA (USA)",05 MAR 1989
Pedro Elias Ortiz,1988,2:23:34,"Olympic Stadium, Jamsil, Seoul (KOR)",02 OCT 1988
Domingo Tibaduiza Reyes,1985,2:14:01,"Sacramento, CA (USA)",08 DEC 1985
Domingo Tibaduiza Reyes,1983,2:12:46,Stockholm (SWE),04 JUN 1983
Domingo Tibaduiza Reyes,1982,2:13:45,"Eugene, OR (USA)",12 SEP 1982
Domingo Tibaduiza Reyes,1981,2:12:29,Montreal (CAN),13 SEP 1981
Domingo Tibaduiza Reyes,1980,2:17:06,"Lenin Stadium, Moskva (URS)",01 AUG 1980
Jos Alirio Carrasco Lemus,2012,2:16:55,Rotterdam (NED),15 APR 2012
Jos Alirio Carrasco Lemus,2004,2:16:00,"Nashville, TN (USA)",24 APR 2004
Jos Alirio Carrasco Lemus,2003,2:12:09,"Chicago, IL (USA)",12 OCT 2003
Jos Alirio Carrasco Lemus,2000,2:13:49,"Nashville, TN (USA)",29 APR 2000
Jos Alirio Carrasco Lemus,1999,2:21:54,"Cleveland, OH (USA)",02 MAY 1999
Jairo Cubillos Ramrez,1976,2:29:05,"Olympic Stadium, Montreal (CAN)",31 JUL 1976
Diego Alberto Colorado Agudelo,2016,2:18:35,Hamburg (GER),17 APR 2016
Diego Alberto Colorado Agudelo,2015,2:17:09,Santiago de Chile (CHI),12 APR 2015
Diego Alberto Colorado Agudelo,2012,2:21:11,Rotterdam (NED),15 APR 2012
Diego Alberto Colorado Agudelo,2011,2:17:13,Guadalajara (MEX),30 OCT 2011
Diego Alberto Colorado Agudelo,2010,2:26:17,"Jacksonville Beach, FL (USA)",21 FEB 2010
Diego Alberto Colorado Agudelo,2009,2:20:39,"Los Angeles, CA (USA)",25 MAY 2009
Diego Alberto Colorado Agudelo,2008,2:19:22,Rotterdam (NED),13 APR 2008
Diego Alberto Colorado Agudelo,2007,2:20:01,Rio de Janeiro (BRA),29 JUL 2007
Diego Alberto Colorado Agudelo,2006,2:21:04,"Miami, FL (USA)",29 JAN 2006
Diego Alberto Colorado Agudelo,2004,2:18:49,"Nashville, TN (USA)",24 APR 2004
Diego Alberto Colorado Agudelo,2003,2:21:48,Santo Domingo (DOM),09 AUG 2003
Diego Alberto Colorado Agudelo,2002,2:17:51,Berlin (GER),29 SEP 2002
Diego Alberto Colorado Agudelo,2001,2:26:13,"Commonwealth Stadium, Edmonton (CAN)",03 AUG 2001
Diego Alberto Colorado Agudelo,2000,2:16:48,"Nashville, TN (USA)",29 APR 2000
Carlos Mario Grisales,2003,2:22:34,"Stade de France, Paris-St-Denis (FRA)",30 AUG 2003
Carlos Mario Grisales,2001,2:18:48,"Los Angeles, CA (USA)",04 MAR 2001
Carlos Mario Grisales,2000,2:14:12,"Nashville, TN (USA)",29 APR 2000
Carlos Mario Grisales,1999,2:15:30,"Chicago, IL (USA)",24 OCT 1999
Carlos Mario Grisales,1996,2:15:56,"Olympic Stadium, Atlanta, GA (USA)",04 AUG 1996
Carlos Mario Grisales,1995,2:13:41,"Chicago, IL (USA)",15 OCT 1995
"Ronald Alfredo ""Ronaldo"" Lanzoni Campos",1988,2:23:45,"Olympic Stadium, Jamsil, Seoul (KOR)",02 OCT 1988
"Ronald Alfredo ""Ronaldo"" Lanzoni Campos",1987,2:14:33,"Pittsburgh, PA (USA)",03 MAY 1987
Jos Luis Molina Nez,2000,2:20:37,"Olympic Stadium, Sydney (AUS)",01 OCT 2000
Jos Luis Molina Nez,1999,2:21:39,Cancun (MEX),12 DEC 1999
Jos Luis Molina Nez,1998,2:14:13,"Chicago, IL (USA)",11 OCT 1998
Jos Luis Molina Nez,1997,2:19:40,Cancun (MEX),14 DEC 1997
Jos Luis Molina Nez,1996,2:13:23,"Los Angeles, CA (USA)",03 MAR 1996
Rigoberto Mendoza Prez,1976,2:22:44,"Olympic Stadium, Montreal (CAN)",31 JUL 1976
Marios Kassianidis,1984,2:32:51,"Memorial Coliseum, Los Angeles, CA (USA)",03 AUG 1984
Marios Kassianidis,1982,2:19:51,Brisbane (AUS),08 OCT 1982
Jan Kreisinger,2014,2:24:49,Praha (CZE),11 MAY 2014
Jan Kreisinger,2013,2:33:00,Frankfurt (GER),27 OCT 2013
Jan Kreisinger,2012,2:16:26,Praha (CZE),13 MAY 2012
Willy Mwenze Kalombo,2007,2:31:31,Brugge (BEL),08 JUL 2007
Willy Mwenze Kalombo,2005,2:25:28,Paris (FRA),10 APR 2005
Willy Mwenze Kalombo,2004,2:18:09,Paris (FRA),04 APR 2004
Willy Mwenze Kalombo,2000,2:10:36,Paris (FRA),09 APR 2000
Willy Mwenze Kalombo,1999,2:08:40,Paris (FRA),04 APR 1999
Willy Mwenze Kalombo,1998,2:09:53,Paris (FRA),05 APR 1998
Willy Mwenze Kalombo,1997,2:19:18,"Olympic Stadium, Athina (GRE)",10 AUG 1997
Willy Mwenze Kalombo,1996,2:12:26,Paris (FRA),21 APR 1996
Willy Mwenze Kalombo,1992,2:23:47,"Estadio Olímpico, Barcelona (ESP)",09 AUG 1992
Kaleka Mutoke,1996,2:34:40,"Olympic Stadium, Atlanta, GA (USA)",04 AUG 1996
Kaleka Mutoke,1988,2:55:21,"Olympic Stadium, Jamsil, Seoul (KOR)",02 OCT 1988
Jesper Lind Skak Faurschou,2019,2:24:01,Odense (DEN),29 SEP 2019
Jesper Lind Skak Faurschou,2018,2:20:15,Hamburg (GER),29 APR 2018
Jesper Lind Skak Faurschou,2017,2:19:11,Odense (DEN),01 OCT 2017
Jesper Lind Skak Faurschou,2016,2:18:44,Hamburg (GER),17 APR 2016
Jesper Lind Skak Faurschou,2015,2:16:41,Hamburg (GER),26 APR 2015
Jesper Lind Skak Faurschou,2014,2:18:12,"Letzigrund, Zürich (SUI)",17 AUG 2014
Jesper Lind Skak Faurschou,2013,2:22:07,Berlin (GER),29 SEP 2013
Jesper Lind Skak Faurschou,2012,2:17:38,London (GBR),22 APR 2012
Jesper Lind Skak Faurschou,2011,2:16:15,London (GBR),17 APR 2011
Jesper Lind Skak Faurschou,2010,2:28:34,"Estadio Olímpico, Barcelona (ESP)",01 AUG 2010
Jesper Lind Skak Faurschou,2009,2:17:33,Berlin (GER),20 SEP 2009
Johannes Lauridsen,1960,2:32:32,"Stadio Olimpico, Roma (ITA)",10 SEP 1960
Abdi Hakin Achkel Ulad,2019,2:11:03,Fukuoka (JPN),01 DEC 2019
Abdi Hakin Achkel Ulad,2017,2:14:22,"Olympic Stadium, London (GBR)",06 AUG 2017
Abdi Hakin Achkel Ulad,2016,2:14:03,Hamburg (GER),17 APR 2016
Abdi Hakin Achkel Ulad,2015,2:16:00,Frankfurt (GER),25 OCT 2015
Georg Bruno Meyer Olsen,1968,2:42:25,"Estadio Olímpico, Ciudad de México (MEX)",20 OCT 1968
Ahmed Salah Houssein,1998,2:13:25,Enschede (NED),07 JUN 1998
Ahmed Salah Houssein,1997,2:12:44,Monaco (MON),23 NOV 1997
Ahmed Salah Houssein,1996,2:10:22,Reims (FRA),10 OCT 1996
Ahmed Salah Houssein,1995,2:12:43,Torino (ITA),23 APR 1995
Ahmed Salah Houssein,1994,2:11:19,Paris (FRA),24 APR 1994
Ahmed Salah Houssein,1993,2:12:40,London (GBR),18 APR 1993
Ahmed Salah Houssein,1992,2:13:29,Paris (FRA),29 MAR 1992
Ahmed Salah Houssein,1991,2:15:26,"Olympic Stadium, Tokyo (JPN)",01 SEP 1991
Ahmed Salah Houssein,1989,2:09:09,London (GBR),23 APR 1989
Ahmed Salah Houssein,1988,2:07:07,Rotterdam (NED),17 APR 1988
Ahmed Salah Houssein,1987,2:10:55,Seoul (KOR),12 APR 1987
Ahmed Salah Houssein,1986,2:09:57,"Chicago, IL (USA)",26 OCT 1986
Ahmed Salah Houssein,1985,2:08:09,Hiroshima (JPN),14 APR 1985
Ahmed Salah Houssein,1984,2:11:58,Paris (FRA),12 MAY 1984
Omar Moussa Bouh,1999,2:52:33,"La Cartuja, Sevilla (ESP)",28 AUG 1999
Silvio Ramn Guerra Burbano,2008,2:16:57,Ottawa (CAN),25 MAY 2008
Silvio Ramn Guerra Burbano,2007,2:22:38,Rio de Janeiro (BRA),29 JUL 2007
Silvio Ramn Guerra Burbano,2005,2:20:57,Guayaquil (ECU),02 OCT 2005
Silvio Ramn Guerra Burbano,2004,2:17:23,Otsu (JPN),07 MAR 2004
Silvio Ramn Guerra Burbano,2000,2:16:27,"Olympic Stadium, Sydney (AUS)",01 OCT 2000
Silvio Ramn Guerra Burbano,1998,2:10:17,"Chicago, IL (USA)",11 OCT 1998
Silvio Ramn Guerra Burbano,1997,2:09:49,"Chicago, IL (USA)",19 OCT 1997
Miguel ngel Almachi Condo,2017,2:23:09,Lima (PER),21 MAY 2017
Miguel ngel Almachi Condo,2016,2:23:00,"Estádio Olímpico, Rio de Janeiro (BRA)",21 AUG 2016
Miguel ngel Almachi Condo,2015,2:16:25,Berlin (GER),27 SEP 2015
Miguel ngel Almachi Condo,2014,2:20:31,Torreón (MEX),02 MAR 2014
Miguel ngel Almachi Condo,2013,2:19:48,"Luzhniki, Moskva (RUS)",17 AUG 2013
Miguel ngel Almachi Condo,2012,2:15:02,Santiago de Chile (CHI),01 APR 2012
Franklin Bolvar Tenorio Ramn,2014,2:30:27,Quito (ECU),27 JUL 2014
Franklin Bolvar Tenorio Ramn,2011,2:28:25,Guadalajara (MEX),30 OCT 2011
Franklin Bolvar Tenorio Ramn,2008,2:16:29,"Los Angeles, CA (USA)",03 FEB 2008
Franklin Bolvar Tenorio Ramn,2007,2:22:30,Quito (ECU),24 JUN 2007
Franklin Bolvar Tenorio Ramn,2004,2:31:12,"Olympic Stadium, Athina (GRE)",29 AUG 2004
Franklin Bolvar Tenorio Ramn,2003,2:14:24,Xiamen (CHN),30 MAR 2003
Franklin Bolvar Tenorio Ramn,2001,2:16:59,Madrid (ESP),28 OCT 2001
Franklin Bolvar Tenorio Ramn,2000,2:14:48,Praha (CZE),21 MAY 2000
Franklin Bolvar Tenorio Ramn,1999,2:17:06,Berlin (GER),26 SEP 1999
Franklin Bolvar Tenorio Ramn,1998,2:10:22,Roma (ITA),29 MAR 1998
Segundo Oswaldo Jami Jami,2019,2:12:17,Valencia (ESP),01 DEC 2019
Segundo Oswaldo Jami Jami,2018,2:14:35,Valencia (ESP),02 DEC 2018
Segundo Oswaldo Jami Jami,2017,2:18:04,Praha (CZE),07 MAY 2017
Segundo Oswaldo Jami Jami,2016,2:31:07,"Estádio Olímpico, Rio de Janeiro (BRA)",21 AUG 2016
Segundo Oswaldo Jami Jami,2015,2:17:11,Sevilla (ESP),22 FEB 2015
Ahmed Abdel Mougod Soliman,2001,2:23:49,Tunis (TUN),11 SEP 2001
Ahmed Abdel Mougod Soliman,2000,2:22:47,"Olympic Stadium, Sydney (AUS)",01 OCT 2000
Pavel Loskutov,2010,2:21:36,Riga (LAT),23 MAY 2010
Pavel Loskutov,2008,2:39:01,"National Stadium, Beijing (CHN)",24 AUG 2008
Pavel Loskutov,2007,2:14:49,Beppu (JPN),04 FEB 2007
Pavel Loskutov,2006,2:11:25,Paris (FRA),09 APR 2006
Pavel Loskutov,2005,2:12:12,Seoul (KOR),06 NOV 2005
Pavel Loskutov,2004,2:09:34,Seoul (KOR),07 NOV 2004
Pavel Loskutov,2003,2:09:15,Seoul (KOR),02 NOV 2003
Pavel Loskutov,2002,2:08:53,Paris (FRA),07 APR 2002
Pavel Loskutov,2001,2:11:09,Frankfurt (GER),28 OCT 2001
Pavel Loskutov,2000,2:19:41,"Olympic Stadium, Sydney (AUS)",01 OCT 2000
Pavel Loskutov,1999,2:12:37,Frankfurt (GER),31 OCT 1999
Pavel Loskutov,1998,2:15:36,Hamburg (GER),19 APR 1998
Pavel Loskutov,1997,2:15:37,Hamburg (GER),27 APR 1997
Pavel Loskutov,1996,2:23:14,"Olympic Stadium, Atlanta, GA (USA)",04 AUG 1996
Pavel Loskutov,1995,2:33:42,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995
Pavel Loskutov,1994,2:22:49,"Olympic Stadium, Helsinki (FIN)",14 AUG 1994
Roman Fosti,2019,2:12:49,Valencia (ESP),01 DEC 2019
Roman Fosti,2018,2:17:57,"Olympiastadion, Berlin (GER)",12 AUG 2018
Roman Fosti,2017,2:21:35,Toronto (CAN),22 OCT 2017
Roman Fosti,2016,2:18:35,Shanghai (CHN),30 OCT 2016
Roman Fosti,2015,2:19:42,Shanghai (CHN),08 NOV 2015
Roman Fosti,2014,2:17:54,"Letzigrund, Zürich (SUI)",17 AUG 2014
Roman Fosti,2013,2:20:48,Tallinn (EST),08 SEP 2013
Tiidrek Nurme,2020,2:10:02,Sevilla (ESP),23 FEB 2020
Tiidrek Nurme,2019,2:13:40,Hannover (GER),07 APR 2019
Tiidrek Nurme,2018,2:15:16,"Olympiastadion, Berlin (GER)",12 AUG 2018
Tiidrek Nurme,2017,2:20:41,"Olympic Stadium, London (GBR)",06 AUG 2017
Tiidrek Nurme,2016,2:17:59,Hamburg (GER),17 APR 2016
Gezahgne Abera,2017,2:25:48,Ciudad Juárez (MEX),22 OCT 2017
Gezahgne Abera,2014,2:13:08,Oita (JPN),02 FEB 2014
Gezahgne Abera,2013,2:10:17,Barcelona (ESP),17 MAR 2013
Tereje Wodajo,2014,2:21:12,Madrid (ESP),27 APR 2014
Tereje Wodajo,2013,2:11:15,Košice (SVK),06 OCT 2013
Tereje Wodajo,2010,2:12:08,Ottawa (CAN),30 MAY 2010
Tereje Wodajo,2009,2:07:45,Amsterdam (NED),18 OCT 2009
Tereje Wodajo,2007,2:13:15,Berlin (GER),30 SEP 2007
Tereje Wodajo,2006,2:11:24,Köln (GER),08 OCT 2006
Tereje Wodajo,2005,2:10:12,Eindhoven (NED),09 OCT 2005
Tereje Wodajo,2004,2:08:11,Seoul (KOR),14 MAR 2004
Tereje Wodajo,2003,2:10:18,Beppu (JPN),02 FEB 2003
Tereje Wodajo,2002,2:09:51,Seoul (KOR),03 NOV 2002
Deriba Merga Ejigu,2013,2:14:43,Istanbul (TUR),17 NOV 2013
Deriba Merga Ejigu,2012,2:21:14,Shanghai (CHN),02 DEC 2012
Deriba Merga Ejigu,2011,2:09:13,Otsu (JPN),06 MAR 2011
Deriba Merga Ejigu,2009,2:07:52,"Houston, TX (USA)",18 JAN 2009
Deriba Merga Ejigu,2008,2:06:38,London (GBR),13 APR 2008
Deriba Merga Ejigu,2007,2:06:50,Fukuoka (JPN),02 DEC 2007
Deriba Merga Ejigu,2005,2:24:02,Addis Abeba (ETH),12 JUN 2005
Feyisa Lilesa,2018,2:07:30,Tokyo (JPN),25 FEB 2018
Feyisa Lilesa,2017,2:14:12,London (GBR),23 APR 2017
Feyisa Lilesa,2016,2:06:56,Tokyo (JPN),28 FEB 2016
Feyisa Lilesa,2015,2:06:35,Dubai (UAE),23 JAN 2015
Feyisa Lilesa,2014,2:08:26,London (GBR),13 APR 2014
Feyisa Lilesa,2013,2:07:46,London (GBR),21 APR 2013
Feyisa Lilesa,2012,2:04:52,"Chicago, IL (USA)",07 OCT 2012
Feyisa Lilesa,2011,2:10:32,"DS, Daegu (KOR)",04 SEP 2011
Feyisa Lilesa,2010,2:05:23,Rotterdam (NED),11 APR 2010
Feyisa Lilesa,2009,2:09:12,Dublin (IRL),26 OCT 2009
Abebe Mekonnen,2003,2:23:19,Seoul (KOR),16 MAR 2003
Abebe Mekonnen,2002,2:26:42,Wien (AUT),26 MAY 2002
Abebe Mekonnen,2001,2:27:43,Seoul (KOR),18 MAR 2001
Abebe Mekonnen,1999,2:21:40,Tokyo (JPN),14 FEB 1999
Abebe Mekonnen,1998,2:09:52,London (GBR),26 APR 1998
Abebe Mekonnen,1997,2:08:46,Rotterdam (NED),20 APR 1997
Abebe Mekonnen,1996,2:11:55,Otsu (JPN),03 MAR 1996
Abebe Mekonnen,1995,2:32:35,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995
Abebe Mekonnen,1994,2:09:17,London (GBR),17 APR 1994
Abebe Mekonnen,1993,2:12:00,Tokyo (JPN),14 FEB 1993
Abebe Mekonnen,1991,2:10:26,Tokyo (JPN),10 FEB 1991
Abebe Mekonnen,1990,2:11:52,Rotterdam (NED),22 APR 1990
Abebe Mekonnen,1989,2:14:29,Fukuoka (JPN),03 DEC 1989
Abebe Mekonnen,1988,2:07:35,Beijing (CHN),16 OCT 1988
Abebe Mekonnen,1987,2:11:09,Paris (FRA),17 MAY 1987
Abebe Mekonnen,1986,2:08:39,Tokyo (JPN),09 FEB 1986
Abebe Mekonnen,1985,2:09:05,Hiroshima (JPN),14 APR 1985
Abebe Mekonnen,1984,2:11:30,Moskva (URS),18 AUG 1984
Tesfaye Tola,2013,2:13:20,Beijing (CHN),20 OCT 2013
Tesfaye Tola,2012,2:13:21,Hangzhou (CHN),18 NOV 2012
Tesfaye Tola,2011,2:20:55,Mumbai (IND),16 JAN 2011
Tesfaye Tola,2010,2:16:59,Dubai (UAE),22 JAN 2010
Tesfaye Tola,2009,2:10:22,Amsterdam (NED),18 OCT 2009
Tesfaye Tola,2008,2:09:38,Dubai (UAE),18 JAN 2008
Tesfaye Tola,2007,2:10:45,Roma (ITA),18 MAR 2007
Tesfaye Tola,2006,2:13:12,Eindhoven (NED),08 OCT 2006
Tesfaye Tola,2005,2:09:17,Amsterdam (NED),16 OCT 2005
Tesfaye Tola,2004,2:09:07,London (GBR),18 APR 2004
Tesfaye Tola,2002,2:09:56,Seoul (KOR),03 NOV 2002
Tesfaye Tola,2001,2:12:05,Tokyo (JPN),18 FEB 2001
Tesfaye Tola,2000,2:11:10,"Olympic Stadium, Sydney (AUS)",01 OCT 2000
Tesfaye Tola,1999,2:06:57,Amsterdam (NED),17 OCT 1999
Gashaw Asfaw Melese,2015,2:26:56,Singapore (SGP),06 DEC 2015
Gashaw Asfaw Melese,2013,2:10:24,Ottawa (CAN),26 MAY 2013
Gashaw Asfaw Melese,2011,2:11:34,Daegu (KOR),10 APR 2011
Gashaw Asfaw Melese,2010,2:08:55,Toronto (CAN),26 SEP 2010
Gashaw Asfaw Melese,2009,2:09:23,Toronto (CAN),27 SEP 2009
Gashaw Asfaw Melese,2008,2:09:28,Shanghai (CHN),30 NOV 2008
Gashaw Asfaw Melese,2007,2:09:53,Paris (FRA),15 APR 2007
Gashaw Asfaw Melese,2006,2:08:03,Paris (FRA),09 APR 2006
Gashaw Asfaw Melese,2005,2:09:24,Paris (FRA),10 APR 2005
Gashaw Asfaw Melese,2004,2:09:47,Berlin (GER),26 SEP 2004
Gashaw Asfaw Melese,2003,2:10:40,Dubai (UAE),10 JAN 2003
Gashaw Asfaw Melese,2002,2:15:17,Venezia (ITA),27 OCT 2002
Simretu Alemayehu,2006,2:21:02,Lahore (PAK),29 JAN 2006
Simretu Alemayehu,2005,2:22:37,Dublin (IRL),31 OCT 2005
Simretu Alemayehu,2004,2:22:17,Hamburg (GER),18 APR 2004
Simretu Alemayehu,2003,2:18:54,Hofu (JPN),14 DEC 2003
Simretu Alemayehu,2002,2:12:10,Praha (CZE),19 MAY 2002
Simretu Alemayehu,2001,2:07:45,Torino (ITA),01 APR 2001
Simretu Alemayehu,2000,2:08:33,Torino (ITA),26 MAR 2000
Simretu Alemayehu,1999,2:12:46,Frankfurt (GER),31 OCT 1999
Ambesse Tolosa,2011,2:15:20,"Baltimore, MD (USA)",15 OCT 2011
Ambesse Tolosa,2010,2:29:53,Singapore (SGP),05 DEC 2010
Ambesse Tolosa,2007,2:11:15,Otsu (JPN),04 MAR 2007
Ambesse Tolosa,2006,2:08:58,Tokyo (JPN),12 FEB 2006
Ambesse Tolosa,2005,2:11:41,Paris (FRA),10 APR 2005
Ambesse Tolosa,2004,2:08:56,Paris (FRA),04 APR 2004
Ambesse Tolosa,2003,2:11:12,Milano (ITA),30 NOV 2003
Ambesse Tolosa,2002,2:10:09,Amsterdam (NED),20 OCT 2002
Ambesse Tolosa,2001,2:10:37,Beijing (CHN),14 OCT 2001
Ambesse Tolosa,2000,2:10:57,Rotterdam (NED),16 APR 2000
Ambesse Tolosa,1999,2:15:14,San Sebastián (ESP),28 NOV 1999
Ambesse Tolosa,1998,2:10:13,Sapporo (JPN),30 AUG 1998
Lemi Berhanu Hayle,2019,2:05:09,Toronto (CAN),20 OCT 2019
Lemi Berhanu Hayle,2018,2:08:51,Hengshui (CHN),29 SEP 2018
Lemi Berhanu Hayle,2017,2:08:27,Xiamen (CHN),02 JAN 2017
Lemi Berhanu Hayle,2016,2:04:33,Dubai (UAE),22 JAN 2016
Lemi Berhanu Hayle,2015,2:05:28,Dubai (UAE),23 JAN 2015
Lemi Berhanu Hayle,2014,2:10:40,Zürich (SUI),06 APR 2014
"Bineshwar ""Binesh"" Prasad",1988,2:41:50,"Olympic Stadium, Jamsil, Seoul (KOR)",02 OCT 1988
Jukka Olavi Toivola,1982,2:17:31,Athina (GRE),12 SEP 1982
Jukka Olavi Toivola,1981,2:14:27,Tokyo (JPN),08 FEB 1981
Jukka Olavi Toivola,1979,2:15:15,Karl Marx Stadt (GDR),28 APR 1979
Jukka Olavi Toivola,1976,2:20:27,"Olympic Stadium, Montreal (CAN)",31 JUL 1976
Eino Olavi Valle,1964,2:27:35,"National Stadium, Tokyo (JPN)",21 OCT 1964
Pertti Pellervo Tiainen,1984,2:17:43,"Memorial Coliseum, Los Angeles, CA (USA)",12 AUG 1984
Pertti Pellervo Tiainen,1983,2:12:11,"Olympic Stadium, Helsinki (FIN)",14 AUG 1983
Pertti Pellervo Tiainen,1982,2:16:27,Athina (GRE),12 SEP 1982
Francis Chepsiror Kirwa,2011,2:19:08,Frankfurt (GER),30 OCT 2011
Francis Chepsiror Kirwa,2008,2:14:22,"National Stadium, Beijing (CHN)",24 AUG 2008
Francis Chepsiror Kirwa,2007,2:14:38,Roma (ITA),18 MAR 2007
Francis Chepsiror Kirwa,2006,2:13:09,Rotterdam (NED),09 APR 2006
Francis Chepsiror Kirwa,2005,2:16:08,Hamburg (GER),24 APR 2005
Francis Chepsiror Kirwa,2004,2:22:04,"Dallas, TX (USA)",12 DEC 2004
Eino Ilmari Oksanen,1964,2:22:36,"National Stadium, Tokyo (JPN)",21 OCT 1964
Eino Ilmari Oksanen,1962,2:33:41,Beograd (SRB),16 SEP 1962
Eino Ilmari Oksanen,1960,2:26:38,"Stadio Olimpico, Roma (ITA)",10 SEP 1960
Eino Ilmari Oksanen,1956,2:36:10,"Cricket Ground, Melbourne (AUS)",01 DEC 1956
Paavo Kalervo Pystynen,1966,2:26:12,Košice (TCH),02 OCT 1966
Paavo Kalervo Pystynen,1964,2:26:01,"National Stadium, Tokyo (JPN)",21 OCT 1964
Reino Ensio Paukkonen,1974,2:31:12,Roma (ITA),08 SEP 1974
Reino Ensio Paukkonen,1973,2:14:15,Helsinki (FIN),15 SEP 1973
Reino Ensio Paukkonen,1972,2:21:07,"Olympiastadion, München (GER)",10 SEP 1972
Antti Viskari,1960,2:38:06,"Stadio Olimpico, Roma (ITA)",10 SEP 1960
Seppo Olavi Nikkari,1972,2:14:03,Fukuoka (JPN),03 DEC 1972
Jussi Pekka Utriainen,2016,2:34:34,Lahti (FIN),25 SEP 2016
