Name,Score
Masato Kikuchi,1185
Bethwel Yegon,1185
Fikadu Haftu,1184
Evans Sambu,1184
Emmanuel Kibet,1184
Alebachew Wale,1182
Merhawi Kesete,1182
Daniel Mateo,1181
Hayato Sonoda,1181
Bernard Too,1181
Bekele Muluneh,1181
Stephen Kiplimo,1180
Stephen Scullion,1179
Geoffrey Yegon,1179
Victor Kiplimo,1179
Scott Fauble,1178
Ezekiel Kimalel Cheboitibin,1178
Sylvester Kimeli Teimet,1177
Yuji Iwata,1177
Gezahagn Zelalem,1176
Liam Adams,1176
Daniel Mesfun,1176
Jackson Kibet Limo,1176
Brett Robinson,1175
Abdi Abdirahman,1175
Cameron Levins,1175
Cosmas Kyeva,1175
Deresa Geleta,1175
Yuki Kawauchi,1175
Fentahun Hunegnaw,1175
Dadi Yami Gemeda,1174
Nicholas Kirwa,1174
Noah Kiprotich Kigen,1174
Jianhua Peng,1173
Tadashi Isshiki,1173
Eulalio Munoz,1173
Edwin Kiptoo,1173
Kenneth Kiplagat,1173
David Kiprono,1173
Juan Pacheco,1173
Haimro Almaya,1172
Oqbe Kibrom Ruesom,1171
Bira Seboka,1170
Kenta Murayama,1169
Luke Kibet,1169
Alemu Gemechu,1169
Robert Chemosin,1169
Wilfred Kipkosgei Murgor,1168
Tadesse Tola,1168
Edwin Kosgei,1167
Kensuke Horio,1166
Thomas Ayeko,1165
Mikel Kiprotich Mutai,1165
Ryo Hashimoto,1165
Sahlesilassie Nigussie,1165
Yuichi Yasui,1164
Girma Bekele,1164
Werkuneh Seyoun Aboye,1164
Augustus Maiyo,1163
Bernard Kimani,1162
Minato Oishi,1162
Yuta Shimoda,1162
Jose Luis Santana Marin,1162
Festus Talam,1161
Eliud Kibet Too,1161
Cosmas Birech,1161
Mohamed El Talhaoui,1161
Joaquin Arbe,1160
Haruki Minatoya,1160
Moses Gaikarira,1160
Stephen Kipkoech Kibiwott,1160
Stephen Chebogut,1159
Nicholas Rotich,1158
Mogos Shumay,1158
Edwin Kirwa,1158
Taiga Ito,1158
Khoarahlane Seutloali,1158
Naoki Okamoto,1157
Husen Muhammed Esmail,1157
Il Ryong Han,1157
Takuya Fukatsu,1156
Monatcer Zaghou,1155
Nicolas Navarro,1155
Toshiki Sadakata,1154
Elisha Kiprop Barno,1154
Tebalu Zawude Heyi,1154
Solomon Lema,1154
Berhanu Heye,1154
Parker Stinson,1153
Byambajav Tseveenravdan,1153
Alemayehu Lema,1152
Jack Rayner,1151
Daniele Meucci,1151
Yoshiki Takenouchi,1151
Nicodemus Kimutai,1151
Jamin Ekai,1151
Ryoichi Matsuo,1151
Japheth Kosgei,1151
Yassine El Fathaoui,1150
Daiji Kawai,1149
Lemawork Ketema,1149
Shohei Otsuka,1148
Richard Kiprop,1148
Gilbert Yegon,1148
Dominic Letting,1148
Hiroto Inoue,1147
Kentaro Nakamoto,1146
Michel Githae,1146
Collins Cheboi,1146
Khalil Lamciyeh,1145
Onesphore Nzikwinkunda,1145
David Nilsson,1144
Tsukasa Koyama,1144
Shuhei Kurata,1144
Hicham Bofars,1143
Paul Waweru,1143
Tafese Delegen,1143
Ronald Korir,1143
John Langat,1143
Getafe Gelaw,1141
Tiidrek Nurme,1141
Arne Gabius,1141
Juan Antonio Pérez,1140
Felicien Muhitira,1140
Camilo Raul Santiago,1140
Tadesse Dabi,1140
James Barmasai,1140
Cybrian Kotut,1140
Lucas Kimeli Rotich,1140
Kento Otsu,1139
Patrick Siele,1139
Jonathan Mellor,1139
Henry Kipsigei Chirchir,1139
Vitalis Kwemoi,1139
Philip Kangogo,1138
Junichi Tsubochi,1138
Hidekazu Hijikata,1137
Meshak Koech,1137
Nguse Amlosom,1137
Moses Kiptoo,1137
Jerrell Mock,1136
Juan Luis Barrios,1136
Taiki Yoshimura,1136
John Lotiang,1136
Kenneth Mburu Mungara,1136
Jackson Kobut Kipkoech,1136
Takumi Kiyotani,1135
Iraitz Arrospide,1135
Iván Fernández Anaya,1135
Bernard Sang,1134
Bilal Marhoum,1134
Matt Llano,1134
Oleksandr Sitkovskiy,1134
Douglas Chebii,1134
Paul Katisha Matheka,1134
Yuta Takahashi,1134
Desmond Mokgobu,1133
Mathew Kiptoo,1133
Debele Belda,1132
Yang Le,1132
Lawi Kiptui,1132
Hillary Kipkoech Bett,1132
Kengo Suzuki,1130
Matt Mcdonald,1130
Brogan Austin,1130
Willy Canchanya,1130
Malcolm Hicks,1130
Masato Imai,1130
Ayad Lamdassem,1129
Houssame Eddine Benabbou,1129
Justus Kiprotich,1129
Yimer Getahun,1128
Paulo Roberto De Almeida Paula,1128
Kevin Seaward,1128
