Name,Score
Maxim Răileanu,1009
Will Cross,1008
Andreas Lommer,1008
Mauricio Flandez,1008
Charlie Lawrence,1008
Hideyuki Ikegami,1008
J.J. Santana,1008
Tom Slattery,1008
Jaouad Tougane,1007
Artem Kazban,1007
Timothy Kiplagat,1007
Marcel Berni,1007
Andres Ruiz Malaver,1007
Ciaran Faherty,1007
Anthony Costales,1007
Daniel Harper,1007
Chris May,1006
Alex Mwangi,1006
Nelson Kipkogei,1006
Tsegai Tewelde,1006
Dennis Laerte,1006
Paulus Iiyambo,1006
Eduardo Terrance Garcia,1006
Argeo Cruz,1006
Ben Fletcher,1005
Jun Shinoto,1005
Jackson Neff,1005
Yuriy Rusyuk,1005
Phillip Kiplimo,1005
Yonas Kinde,1005
Ashenafi Boja,1005
Jeff Seelaus,1005
Givemore Mudzi,1005
Mohamed Boubkrini,1004
Raul Alvarez,1004
Kurt Roeser,Marathon [25 km Road]
Chunlong Yang,1004
Maurice Mosima,1004
Oscar Medina,1004
Ilie Alexandru Corneschi,1003
Max Belisario Sucapuca,1003
Hermano Ferreira,1003
Evan Gaynor,1003
Meguru Hashidate,1003
Joe Niemiec,Marathon [25 km Road]
Chase Weaverling,1002
Fernando Cabada,1002
Alfred Ronoh,1002
Bekele Tarekegn Zewdu,1002
Peter Bromka,1002
Kyle Wyatt,1002
Michael Eaton,1002
Jason Lynch,1001
Andrey Petrov,1001
Besha Teshome,1001
Mohamed Abdesalam,1001
Zheati Nian,1001
Hiroki Kai,1001
Kwang-Hyok Kim,1001
Jin-Hyeong Jeong,1001
Alessandro Giacobazzi,1000
Lazarus Yego,1000
Julien Masciotra,1000
Shunsuke Hisamoto,1000
Rubén Palomeque,1000
Philipp Baar,1000
Ryosuke Okano,1000
Ji-Ho Kim,999
Uveni Kugongelwa,999
Andrzej Rogiewicz,999
Erik Hille,999
Takeru Ikka,999
Jon Kum Il,999
Kentaro Masuda,998
Said Edrissi,998
Eric Bang,998
Nikolay Volkov,998
Philimon Terer,998
Jon Thewlis,998
Benson Oloisunga,998
Matt Lenehan,998
Soufiane Bouichou,998
Julian Heninger,998
Isaac Kiprop,998
Danny Carney,997
Eric Keogh,997
Leslie Encina,997
Ahmed Nasef,997
Abdulaziz Ebrahim,997
Kabelo Lesia,997
Takemaru Yamasaki,997
Toru Somiya,997
Shinya Ohashi,997
Samuel Morse,997
Luca Parisi,997
Silas Muturi,997
Austin Bogina,997
Sid Vaughn,996
Matthew Mcclintock,996
David Criniti,996
Jonathan Kipchirchir Chesoo,996
Shota Yamazaki,996
Martin Esteban Cuestas,996
Dario Castro,996
Mikhail Maksimov,995
Kosuke Yamada,995
Kris Mugrage,995
Evans Kipngetich,995
Jason Ayr,995
Jake Schmitt,995
Filip Vercruysse,995
Enzo Yáñez,994
Kenta Otani,994
Mark Kipchumba Rotich,994
Eric Kering,994
Robert Gititu,994
Eric Ashe,994
Taye Babeker,994
John Hakizimana,993
Tanner Fruit,993
Tomonori Sakamoto,993
Duane Fortuin,993
Sergey Zyryanov,993
Dave Ridley,993
Avelino Eusébio,993
Suleiman Abrar Shifa,992
Ezekiel Tarus,992
Roberto Saavedra De Leon,992
Fredison Carneiro Costa,992
Nick French,992
Calvin Chemoiywo,992
Johnny Rutford,991
Marco Joseph,991
Takeru Ishihara,991
Dong-Jin Lee,991
Caleb Kerr,991
Yasutaka Monde,990
Paul Koech Kimutai,990
Swarnjit Boyal,989
Youssef Ben  Haddi,989
Simon Tesfaye,989
Viktor Utsgarov,989
Bekir Karayel,989
José David Cardona,989
Kevin Havel,989
Mikhail Kulkov,989
Masashi Hashimoto,989
Patrick Hearn,989
Japhet Kipkorir,989
Ryo Tsujikawa,989
Willem Van Schuerbeeck,988
Simon Kariuki Njoroge,988
Stephen Vangampleare,988
Siyabonga Nkonde,988
Jameson Mora,988
José Sousa,988
Gerd Devos,988
Tao Wang,987
Barnabas Kipyego,987
Oska Inkster-Baynes,987
Yu Ichitsuka,987
Andrew Kwemoi Man'Gata,987
Bernard Kipkemoi,987
Laban Cheruiyot,987
Sang Hun Kim,987
Victor Kipkemei,987
Roel Wijmenga,987
Geoffrey Pyego,987
Bahetaer Wulaziaili,986
Lorenz Baum,986
Valeriy Lukin,986
Vít Pavlišta,985
Jonathan Briskman,985
Ryan Smith,985
Mizael Carrera,985
Ferenc Burucs,985
Garrett Lee,985
David Fuentes,985
Peter Muthubi,985
Bilige Bao,985
Jae-Wan An,985
Se-Ho Jo,985
Armin Flückiger,985
Chris Balestrini,984
Abdellatif Meftah,984
Michael Chege,984
Shoji Takada,984
Erick Monyenye Mose,984
Antonio Cardona,984
Eric RüTtimann,983
Christian Kreienbühl,983
Peter Wanjiru,983
Aaron Easker,982
Chi-Ung Yu,982
Sora Tsukada,982
Carlos Costa,982
Matt Hensley,982
Thomas Puzey,982
Itsuki Kanamaru,982
Naoki Inoue,982
Cole Atkins,982
Geert Jan Wassink,981
Jaafar Moradi,981
Stewart Harwell,981
David Kipkeoch Kipsang,981
Nate Guthals,981
Yuki Fujii,981
Aaron Nelson,980
Brady Threlfall,980
José Amado García,980
Alex Cheruiyot,980
Odkhuu Galerdene,980
Toshiyuki Fujimatsu,980
Fabian Anrig,980
Alex Bartilol,979
David Mansfield,979
Moses Kibire Kipruto,979
Adam Schroer,979
Joseph Mwangi,978
Yoshiki Otsuka,978
Marc Roig,978
Chris Thompson,977
Tyler Morse,977
Isaac Kimutai Ngeno,977
John Tello Zuniga,976
Kenedy Kiptoo Lilan,976
Mohammed Mussa,976
Yuki Nakamura,976
Charlie Hurt,976
Fredrick Murabula Monyango,976
Atlaw Debebe,976
Ramiro Guillen,975
Yusei Ito,975
Miguel Ferrer,975
Turner Wiley,975
Khalid Lablaq,975
Yuji Shibukawa,975
Ousman Jaiteh,974
Martin E. Olesen,974
Greg Leak,973
Zhenhua Mou,973
William Mutai,973
Sho Matsumoto,973
Myeong-Jun Kim,973
Josh Hibbs,973
Jeffrey Stein,972
Zhao Hao,972
Said Aarab,972
Manabu Yamada,972
Chris Burnett,972
Eliud Biwott,972
Sergio Pedraza González,972
Degefa Bekele,972
Juan Carlos Romero Bernal,971
Peter Kipleting,971
Boaz Kipyego,971
Josh Baden,971
Toshiki Yamaguchi,971
Julian Florez,971
Feleke Tulu,971
Kevin Colon,971
Jaouad Oumellal,970
Hosea Kiprotich,970
Luthando Hejana,970
David Melly,970
Shintaro Miyakawa,970
Kevin Coffey,970
Takaya Sakamoto,970
Luis Rivera,970
Charles Remillard,970
Oleg Grigoryev,969
Dmitrijs Serjogins,969
Rene' Cuneaz,969
Natham Peters,969
Jared Carson,969
Jumpei Yamaguchi,969
Nicholas Spector,969
Oscar Crisosstomo,969
Iván Zarco,969
José Moreira,968
Craig Ruddy,968
Wei Li,968
Romero Martin,968
Rashpal Singh,968
Erik Teig,968
Guta Abiyote,968
Ryan Archer,967
Daniel Vassallo,967
Dion Finocchiaro,967
Thomas Dialynas,967
Henry Sterling,966
Adrian Lehmann,966
Takashi Kono,966
Said Namli,966
Artur Kozlowski,965
Habtemariam Temesgen,965
Zach Barker,965
William Cheboi Rutto,965
Joash Koech,965
Jong-Pil Wang,965
Daniel Mcdonald-Meteer,964
John Bleday,964
John Busque,963
Sibusiso Madikizela,963
Alaa Hrioud,963
Moath Alkhawaldeh,963
Jose Manuel Vieito,963
Chase Pizzonia,963
Francesco Puppi,963
Fred Grönwall,963
Ambroise Uwiragiye,962
Kenta Murotsuka,962
Stephen Mungathia,962
Jacob Krolick,962
Zheati Zhan,962
Dongjie Duan,962
Mark Messmer,962
Taiyo Akiyama,961
David Kiplagat,961
Daverson Ramos,960
Minho Park,960
Ahmed El Jaddar,960
Matthew Sharp,960
Lungile Gongqa,960
Mthandazo Qhina,960
Patrick Rizzo,960
Bohdan Semenovych,960
Kevin Hansen,960
Matthew Hudson,959
Dmitriy Safronov,959
Rajpaul Pannu,959
Mohammad Abu Rezeq,959
Jordan Kyle,959
Stanlei Kipchirchir,959
Valdas Dopolskas,959
Shogo Taruki,959
Kieran O'Connor,959
David Magán,959
Michael Morris,959
Michael Voss,958
Anthony Tomsich,958
Chems Eddine Benghali,958
Futoshi Ebisawa,958
Firaa'Ol Eebbisaa,958
Carlos Trujillo,957
Durga Bahadur Budha,957
Zhenlong Zhang,957
Jason Simpson,957
John Dewitt,957
Masaharu Fukuda,957
Stephan Listabarth,957
Andrius Jaksevicius,957
Jamal Ahouchar,957
Kristof Nackaerts,956
Jesper Faurschou,956
Jorge Varela,956
David Marley,956
John Lorono,956
Kazuto Arishige,956
Tilahun Ayele Tariku,956
Tobias Schreindl,955
Matthew Cox,955
Daniel Adamu,955
Dominic Kangor,955
Melly Rodgers,955
Austin O'Brien,955
Mekhfioui Hammadi,955
Wordesemayat Ayele,955
Adam Bohach,955
Dominik Fabianowski,954
Luuk Metselaar,954
Tatsuya Itagaki,954
Hailu Getu,954
Patrick Reaves,954
Glen Burkhardt,954
Klas Johansson,954
James Kibocha Theuri,953
Michael Crawley,953
Luka Chelimo Kipkemboi,953
Haruki Okayama,953
Yuya Suzaki,953
Juan Paredes,953
Kennedy Kibet Rono,953
Fikru Dadi,952
Takashi Mino,952
Madoka Tanihara,952
Meng-Tsung Chu,952
David Rutto,952
Jacob Wæver Larsen,951
Emmanuel Kipruto,951
Pavlo Veretskyy,951
Kaito Kikuchi,951
Jason Thomas,951
Stephen Ndege,951
Andrew Leonard,951
Andreas Mcconville,951
Jochen Uhrig,951
Everett Hackett,950
Pierre Urruty,950
Sami Jibril,950
Samuel Pazanga,950
Yuki Kuroda,950
Dan Glaz,950
Jack Ruri,950
Chris Boyle,950
Lige Baobi,949
Zachary Dulabon,949
Aidan Hobbs,949
Jakub Szymankiewicz,949
Takehiko Gyoba,949
Tyler Andrews,949
David Mutai,949
Clint Mckelvey,949
Bechere Tura Kumbi,948
Agustin Sieres Gomez,948
Robbie Simpson,948
Solomon Keter,948
Alfred Koech,948
Dean Menzies,948
Tyson Miehe,947
Brian Harvey,947
Arnar Pétursson,946
Matt Rand,946
Nick Hilton,946
Yo-Han Park,946
Pedro Gomez,946
Jason Mcleod,946
Hongliang Liu,945
Javier Carriqueo,945
Andrey Smirnov,945
Takumi Matsumoto,945
Yasu Shimizu,945
Genichi Narita,945
Takahiro Yoshino,944
Conner Peloquin,944
Max Storms,944
Adilet Kyshtabekov,943
Tommi Hytönen,943
Stephen Clevenger,943
Debela Feysa,943
Prescott Leach,943
David Aparicio Fuertes,943
Duriel Hardy,943
Stephen Omiso Arita,942
Collins Chebei,942
Mu-Youn Kim,942
Andrey Minzhulin,942
Adrien Guiomar,942
Huawei Chen,942
Gladwin Sibabalwe Mzazi,941
Kevin Quinn,941
Ganyu Cheng,941
Calum Neff,941
Abdelhak Annajibi,941
Andrea Soffientini,941
Lloyd Biddell,941
Shun Sugimoto,941
Kristian Ulriksen,941
Elias Gemperli,940
Ruairi Moynihan,940
Mohammed Ilabi,940
Jacob Andrews,940
Clayton Young,939
Evans Tanui,939
Scott Westcott,939
Raoul Jankowski,939
Tim O'Donoghue,939
Nick Ross,939
Kristofer Låås,939
Juan Carlos Carera Casas,938
Chris Sloane,938
Micah Adams,938
James Connor,938
Panayiotis Karaiskos,938
Alec Baldwin,937
Artem Piddubnuy,937
Luyanda Tshangana,937
Andrey Yanovich,937
Jun-Oh Kim,937
Dickson Kurui,937
Manuel Gustavo Canar,937
Junki Onishi,936
Carmine Buccilli,936
Wan Chun Wong,936
Erik Stanley,936
Thomas Stevens,936
Rob Corney,936
Nick Golebiowski,935
Emmanuel Kipsang,935
Raúl Machacuay,935
Francisco Javier Martinez Fernandez,935
Amos Nyongo,935
Yonathan Abebe,935
Timo Göhler,935
Nikki Johnstone,935
Matt Welch,934
Alex Diltz,934
Tomas Hayes,934
Fernando Villarmin,934
Benjamin Heck,934
Lucio Ramirez,933
Robert Magut,933
Peng Li,933
Cristhian Zamora,932
Mohamed Ahmami,932
Daniel Kipkoech,932
Manuel Santiago Molina,932
Keisuke Yokota,932
Ben Cole,931
Thomas Fitzpatrick,931
Sher Singh,931
Niels Peter Nielsen,931
Samson Mutua,931
Phillip Freudenthal,931
Kenny Wilson,931
Jeroen Hendrikx,931
Jeremy Craven,930
Kjell De Hondt,930
Jilin Shi,930
Dae-Jin Lee,930
Andrew Lesser,930
Timothy Kasagam,930
Matt Boumeester,930
Tetsuo Toyonaga,929
Matt Marol,929
Goran Gardenic,929
Jorge Crespo Arias,929
Kall Khan,929
Shoichiro Sotoyama,929
Takamasa Kaya,929
Angel Muñoz Perez,929
Tsuyoshi Ugachi,928
Nick Van Der Poel,928
Cesar Andres Lizano,928
Tom Aldred,928
Tatsuya Yamamoto,928
Joseph Turner,928
Shuhei Enami,928
Alex Bampton,928
Pradep Singh Chaudhary,927
Eddie Mulder,927
Silas Dekalita,927
Stefan Hendtke,927
Rui Yong Soh,927
Oscar Caltenco,927
Robert Murphy,927
Ilya Zmaznev,927
Dong-Hyun Baek,927
Rongchao Gu,927
Christoforos Merousis,926
Tommy Kinders,926
Shota Jige,926
Kentaro Terada,926
Elias Sansar,925
Paul Molyneux,925
Rachid Benandane,925
Toshiyuki Iwahashi,925
Yasuo Ito,925
Michael Roda,925
Ricardo Pastó,925
Taisuke Ueda,925
Cillian O'Leary,924
Luke Humphrey,924
Taichi Mori,924
Kent Smith,924
Seth Demoor,924
Salvatore Gambino,924
Philip Kigen,924
Keiichiro Tomomori,924
Valentin Harwardt,923
Nicolas Dalmasso,923
Ramos Herrera Zavaleta,923
Jonathan Mott,923
Peter Falcon,923
Dan Craighead,923
Gilles Rubio,923
Lucky Mohale,922
Ahmad Smour,922
Dzmitriy Hryhoryeu,922
Kevin Pool,922
Daiki Ikeda,922
Raido Mitt,922
Grayson Hough,922
Kip Kangogo,921
Florian Le Vigouroux,921
Ben Zywicki,921
Matthew Hillard,921
Tim-Niklas Schwippel,921
Hiroaki Hurukawa,921
Isaac Toroitich Kosgei,920
Juan Miguel Moreno,920
Saidi Juma Makula,920
Raul Arcos,920
Waldir Ureta,920
Bao Yu,920
T-Roy Brown,920
Jin-Sung Park,920
Dylan Wykes,920
Ryo Kaneko,919
Fan Zhou,919
Diego Polo,919
Mubarak Al Marashda,919
Fernando Ruiz Sanchez,919
Tony Pkiror,919
David Duquesnoy,919
Thulani Magagula,919
Ivan Kuznetsov,919
Håvard Fjærli,919
Jeremy Arthur,919
Jaime Villa,919
Dave Marks,919
Nick Roche,918
Stephen Hallman,918
Hamza El Ouardi,918
Arnold Kibet,918
Stanly Kipruto,917
Ryan Smith,917
Abu Kebede,917
Tomohiro Ogawa,917
Geart Jorritsma,917
Francesco Nardone,917
Alberto Gonzalez,917
Patrice Labonte,916
Jeff Costen,916
Soichiro Shimizu,916
Kedir Namo,916
Anthony Ricardo,916
Jun-Hyuk Park,916
Pule Hlabahlaba,916
Remyo Tielsema,916
Dan Nash,915
Borja Pérez,915
Quinlan Moll,915
Mark Kirwan,915
Jesús Antonio Poblete,915
Dickson Marwa Mkami,915
David Vaš,915
Takumi Iwata,Marathon [30 km Road]
Tomohiro Tsuji,914
Fernando Gonzalez,914
Adil Alilech,913
Jamsran Olonbayar,913
Brad Kahlefeldt,913
Masayuki Kaseda,913
Han-Eul Jeong,913
Aziz Lakriti,913
Walter Suarez Williams,913
Sean O'Connor,912
Nasser Allali,912
Paul Piper,912
Ding-Bin Qian,912
Abdi Daud Roble,912
Mason Frank,912
Hironao Akizawa,912
Zouhair Oumoussa,912
Isaac Kipchirchir,912
Andreas Kempf,911
Steffen Uliczka,911
Hubing Wang,911
Naoyuki Jin,911
Robert Murphy,911
Santiago Serda Gaitan,911
Dae-Young Yu,911
Wangjiang Cen,911
Florian Bruno Millien,911
Claes Bengtsson,911
Vuyisile Tshoba,910
Amir Ramon,910
Nicolas Zalejski,910
Chris Retzlaff,910
Raymond Hynes,910
Colin Griffin,910
Ernesto Andrés Zamora,909
Wojciech Kopeć,909
Mark Olsen,909
Benjamin Hall,909
Kyle Doherty,909
Seung-Win Yang,909
Brian Finnel,909
Erik Anfält,909
Michael Marantelli,908
Joseph Aperumoi,908
Thomas Frazer,908
Tom Cornthwaite,908
Mitku Soboka Tulu,908
Israel Oropeza,908
Ben Matiso,908
Steven Casteele,907
Przemysław Dąbrowski,907
Craig Appleby,907
Dane Verwey,907
Pinehas Embashu,907
Matt Williams,907
Carles Montllor,907
Sung-Kwon Kang,907
Mitchell Ammons,907
Nick Bowker,907
William Fredericks,907
Zachary Ornelas,907
Shokhrukh Davlyatov,906
Yuya Konishi,906
Marius Skeide Ruth,906
Nathan Kwan,906
Linus Rosdal,906
Iván Arauzo,906
George Kipketer Towett,906
Brad Milosevic,905
Matti Rauma,905
Hannes Hähnel,905
Petr Pechek,905
Rinat Kashapov,905
Francis Nzyonki,905
Pedro Espinosa Perez,905
Shuiwang Ma,905
Björn Sandler,905
Ewan Cameron,905
Zhaoying Liu,905
Jozef Urban,904
Ben Bruce,904
Daisuke Ueda,904
Kenichi Kawai,904
Patrick Birch,904
Andrea Astolfi,904
