"","Nationality","Name","NOC"
"578","Romania","Marius Viorel Ionescu","ROU"
"579","Russia","Aleksey Mikhaylovich Reunkov","EUN"
"580","Russia","Aleksey Mikhaylovich Reunkov","RUS"
"581","Russia","Aleksey Mikhaylovich Reunkov","URS"
"582","Russia","Oleg Sergeyevich Kulkov","EUN"
"583","Russia","Oleg Sergeyevich Kulkov","RUS"
"584","Russia","Oleg Sergeyevich Kulkov","URS"
"585","Russia","Leonid Vladimirovich Shvetsov","EUN"
"586","Russia","Leonid Vladimirovich Shvetsov","RUS"
"587","Russia","Leonid Vladimirovich Shvetsov","URS"
"588","Russia","Leonid Vladimirovich Shvetsov","EUN"
"589","Russia","Leonid Vladimirovich Shvetsov","RUS"
"590","Russia","Leonid Vladimirovich Shvetsov","URS"
"591","Russia","Aleksey Vladimirovich Sokolov","EUN"
"592","Russia","Aleksey Vladimirovich Sokolov","RUS"
"593","Russia","Aleksey Vladimirovich Sokolov","URS"
"594","Russia","Pavel Vladimirovich Kokin","EUN"
"595","Russia","Pavel Vladimirovich Kokin","RUS"
"596","Russia","Pavel Vladimirovich Kokin","URS"
"597","Russia","Oleg Strizhakov","EUN"
"598","Russia","Oleg Strizhakov","RUS"
"599","Russia","Oleg Strizhakov","URS"
"600","Rwanda","Telesphore Dusabe","RWA"
"601","Rwanda","Mathias Ntawulikura","RWA"
"602","Rwanda","Mathias Ntawulikura","RWA"
"603","Saint Lucia","Zepherinus Joseph","LCA"
"604","San Marino","Gian Luigi Macina","SMR"
"605","Sierra Leone","Baba Ibrahim Suma-Keita","SLE"
"606","Sierra Leone","Alifu Albert Massaquoi","SLE"
"607","Slovakia","Marcel Matanin","SVK"
"608","South Africa","Keith Martin James","RSA"
"609","South Africa","Norman Dlomo","RSA"
"610","South Africa","Lusapho Lesly April","RSA"
"611","South Africa","Stephen Mokoka","RSA"
"612","South Africa","Chiko Johannes Maremane","RSA"
"613","South Africa","Josia Thugwane","RSA"
"614","South Africa","Hendrick Ramaala","RSA"
"615","South Africa","Lusapho Lesly April","RSA"
"616","South Africa","Sibusiso Nzima","RSA"
"617","South Africa","Josia Thugwane","RSA"
"618","South Africa","Hendrick Ramaala","RSA"
"619","South Korea","Baek Seung-Do","KOR"
"620","South Korea","Lee Bong-Ju","KOR"
"621","South Korea","Chae Hong-Nak","KOR"
"622","South Korea","Kim Jae-Ryong","KOR"
"623","South Korea","Lee Bong-Ju","KOR"
"624","South Korea","Kim Won-Tak","KOR"
"625","South Korea","Lee Bong-Ju","KOR"
"626","South Korea","Kim Bong-Nae","KOR"
"627","South Korea","Lee Sang-Cheol","KOR"
"628","Spain","Miguel Navarro Palos","ESP"
"629","Spain","Carles Castillejo Salvador","ESP"
"630","Spain","Carles Castillejo Salvador","ESP"
"631","Spain","Rodrigo Gavela Rodrguez","ESP"
"632","Spain","Alberto Juzdado Lpez","ESP"
"633","Spain","Alberto Juzdado Lpez","ESP"
"634","Spain","Julio Rey de Paz","ESP"
"635","Sri Lanka","Anuradha Indrajith Cooray","SRI"
"636","Sri Lanka","Linus Clifford Diaz","SRI"
"637","Sri Lanka","Anuradha Indrajith Cooray","SRI"
"638","Sri Lanka","Vithanakande Kande Lek Samarasinghe","SRI"
"639","Sri Lanka","Rupasinghe A. Wimalasena Perera","SRI"
"640","Sri Lanka","Kuruppu Arachigue Karunaratne","SRI"
"641","Sri Lanka","Sarath Prasanna Gamage","SRI"
"642","Sri Lanka","Anuradha Indrajith Cooray","SRI"
"643","Sudan","Ahmed Adam Salah","SUD"
"644","Swaziland","Lucky Willie Bhembe","SWZ"
"645","Swaziland","Isaac Mandla Simelane","SWZ"
"646","Swaziland","Daniel Tornado Sibandze","SWZ"
"647","Swaziland","Samuel ""Sam"" Hlawe","SWZ"
"648","Swaziland","Samuel ""Sam"" Hlawe","SWZ"
"649","Swaziland","Richard Mabuza","SWZ"
"650","Sweden","Lars Tommy Persson","SWE"
"651","Sweden","Pal Anders Szalkai","SWE"
"652","Sweden","John Evert Nyberg","SWE"
"653","Switzerland","Oskar Leupi","SUI"
"654","Switzerland","Arthur Wittwer","SUI"
"655","Switzerland","Joseph Peter","SUI"
"656","Switzerland","Josef Gwerder","SUI"
"657","Switzerland","Helmut Kunisch","SUI"
"658","Switzerland","Tadesse Abraham","SUI"
"659","Syria","Moussa El-Hariri","SYR"
"660","Syria","Moussa El-Hariri","UAR"
"661","Thailand","Boonthung Srisung","THA"
"662","Timor-Leste","Augusto Ramos Soares","TLS"
"663","Tunisia","Tahar Mansouri","TUN"
"664","Tunisia","Atef Saad","TUN"
"665","Tunisia","Tahar Mansouri","TUN"
"666","Tunisia","Wissem Hosni","TUN"
"667","Turkey","Mehmet Terzi","TUR"
"668","Turkey","Ercan Muslu","TUR"
"669","Turkey","Mehmet Terzi","TUR"
"670","Turkey","Bekir Karayel","TUR"
"671","Turkey","Abdil Ceylan","TUR"
"672","Turkey","Ahmet Altun","TUR"
"673","Turkey","Kaan Kigen (Mike Kipruto-) zbilen (Kigen-)","TUR"
"674","Turkey","Bekir Karayel","TUR"
"675","Turkey","Veli Balli","TUR"
"676","UK","Mark Steinle","GBR"
"677","UK","Robin Evan Hugh Jones","GBR"
"678","UK","Derek Hawkins","GBR"
"679","UK","Callum Hawkins","GBR"
"680","UK","Peter Kenneth Whitehead","GBR"
"681","UK","Arthur Patrick Keily","GBR"
"682","UK","Brian Leonard Kilby","GBR"
"683","UK","Denis ""Sonny"" O'Gorman","GBR"
"684","UK","Brian Leonard Kilby","GBR"
"685","UK","Benjamin Basil Heatley","GBR"
"686","UK","Timothy Frederick Kemball ""Tim"" Johnston","GBR"
"687","UK","William Arthur ""Bill"" Adcocks","GBR"
"688","UK","Colin Kirkham","GBR"
"689","UK","Keith Angus","GBR"
"690","UK","George Jeffrey ""Jeff"" Norman","GBR"
"691","UK","Scott Ashley Overall","GBR"
"692","UK","Paul R. Davies-Hale","GBR"
"693","UK","Lee Matthew Merrien","GBR"
"694","UK","Matthew ""Matt"" O'Dowd","GBR"
"695","UK","Kevin John Forster","GBR"
"696","UK","Keith John Cullen","GBR"
"697","UK","Richard David Nerurkar","GBR"
"698","USA","Frank Charles Shorter","USA"
"699","USA","Galen Rupp","USA"
"700","USA","Daniel ""Dan"" Browne","USA"
"701","USA","Keith Alan Brantly","USA"
"702","USA","Jack Stangl ""Jack"" Bacheler","USA"
"703","USA","Mebrahtom R. ""Meb"" Keflezighi","USA"
"704","USA","Alan Lawrence Culpepper","USA"
"705","USA","Dathan James Ritzenhein","USA"
"706","USA","Brian E. Sell","USA"
"707","USA","Ryan Hall","USA"
"708","USA","Mebrahtom R. ""Meb"" Keflezighi","USA"
"709","USA","Jared Ward","USA"
"710","USA","Mebrahtom R. ""Meb"" Keflezighi","USA"
"711","USA","Gordon Edmund McKenzie","USA"
"712","USA","Frank Charles Shorter","USA"
"713","USA","Kenneth Clark ""Kenny"" Moore","USA"
"714","USA","Kenneth Clark ""Kenny"" Moore","USA"
"715","USA","Mark J. Coogan","USA"
"716","USA","Leonard Graves ""Buddy"" Edelen","USA"
"717","USA","George L. Young","USA"
"718","USA","Alberto Bauday Salazar","USA"
"719","Uganda","Stephen Kiprotich","UGA"
"720","Uganda","Vincent Ruguga","UGA"
"721","Uganda","Stephen Kiprotich","UGA"
"722","Uganda","Alex Malinga","UGA"
"723","Uganda","Vincent Ruguga","UGA"
"724","Uganda","Alex Malinga","UGA"
"725","Uganda","Jackson Fred Ogwang","UGA"
"726","Ukraine","Ihor Oleksiyovych Olefirenko","UKR"
"727","Ukraine","Ihor Pavlovych Russ","UKR"
"728","Ukraine","Vasyl Oleksandrovych Matviychuk","UKR"
"729","Ukraine","Ivan Babaryka","UKR"
"730","Ukraine","Vitaliy Petrovych Shafar","UKR"
"731","Uruguay","Ernesto Andrs Zamora","URU"
"732","Uruguay","Nelson Ernesto Zamora Villalba","URU"
"733","Uruguay","Waldemar Cotelo","URU"
"734","Uruguay","Martn Esteban Cuestas","URU"
"735","Venezuela","Carlos Emilio Tarazona","VEN"
"736","Venezuela","Carlos Emilio Tarazona","VEN"
"737","Venezuela","Pedro Jess Mora Suescun","VEN"
"738","Yemen","Mohamed Al-Saadi","YAR"
"739","Yemen","Mohamed Al-Saadi","YEM"
"740","Yemen","Mohamed Al-Saadi","YMD"
"741","Zambia","Constantino Kapambwe","ZAM"
"742","Zambia","Laurent Daniel Chifita","ZAM"
"743","Zambia","Trevor Sackville Anthony ""Trev"" Haynes","ZAM"
"744","Zambia","Buumba Gabriel Halwand","ZAM"
"745","Zambia","Jordan Chipangama","ZAM"
"746","Zambia","Damiano Ngwila Musonda","ZAM"
"747","Zimbabwe","Cuthbert Nyasango","RHO"
"748","Zimbabwe","Cuthbert Nyasango","ZIM"
"749","Zimbabwe","Tendai Chimusasa","RHO"
"750","Zimbabwe","Tendai Chimusasa","ZIM"
"751","Zimbabwe","Cephas Matafi","RHO"
"752","Zimbabwe","Cephas Matafi","ZIM"
"753","Zimbabwe","Tendai Chimusasa","RHO"
"754","Zimbabwe","Tendai Chimusasa","ZIM"
"755","Zimbabwe","Abel Chimukoko","RHO"
"756","Zimbabwe","Abel Chimukoko","ZIM"
"757","Zimbabwe","Wirimai Juwawo","RHO"
"758","Zimbabwe","Wirimai Juwawo","ZIM"
"759","Zimbabwe","Pardon Ndhlovu","RHO"
"760","Zimbabwe","Pardon Ndhlovu","ZIM"
"761","Zimbabwe","James Gombedza","RHO"
"762","Zimbabwe","James Gombedza","ZIM"
"763","Zimbabwe","Cuthbert Nyasango","RHO"
"764","Zimbabwe","Cuthbert Nyasango","ZIM"
"765","Zimbabwe","Patric Nyambariro-Nhauro","RHO"
"766","Zimbabwe","Patric Nyambariro-Nhauro","ZIM"
"767","Zimbabwe","Tapfumaneyi Jonga","RHO"
"768","Zimbabwe","Tapfumaneyi Jonga","ZIM"
"769","Zimbabwe","Mathias Kanda","RHO"
"770","Zimbabwe","Mathias Kanda","ZIM"
"771","Zimbabwe","Robson Mrombe","RHO"
"772","Zimbabwe","Robson Mrombe","ZIM"
