Position,FirstName,LastName,Nationality,Time
1,Stefano,Baldini,Italy,2:10:55
2,Mebrahtom,Keflezighi,United States of America,2:11:29 
3,Vanderlei,de Lima,Brazil,2:12:11
4,Jon,Brown,Great Britain,2:12:26
5,Shigeru,Aburaya,Japan,2:13:11
6,Toshinari,Suwa,Japan,2:13:24
7,Erick,Wainaina,Kenya,2:13:30
8,Alberto,Chaica,Portugal,2:14:17
9,Alberico,di Cecco,Italy,2:14:34
10,Paul,Tergat,Kenya,2:14:45
11,Jaouad,Gharib,Morocco,2:15:12
12,Alan,Culpepper,United States of America,2:15:26
13,Leonid,Shvetsov,Russia,2:15:28
14,Lee,Bong-Ju,South Korea,2:15:33
15,Ambesse,Tolosa,Ethiopia,2:15:39
16,Gert,Thys,South Africa,2:16:08
17,Ji,Young-Joon,South Korea,2:16:14
18,Antoni,Pena,Spain,2:16:38
19,Georgiy,Andreyev,Russia,2:16:55
20,Haile,Satayin,Israel,2:17:25
21,Jonathan,Wyatt,New Zealand,2:17:45
22,Janne,Holmén,Finland,2:17:50
23,Dan,Robinson,Great Britain,2:17:53
24,Nikolaos,Polias,Greece,2:17:56
25,Ndabili,Bashingili,Botswana,2:18:09
26,Pavel,Loskutov,Estonia,2:18:09
27,José,Rios,Spain,2:18:40
28,Lee,Troop,Australia,2:18:46
29,Michael,Buchleitner,Austria,2:19:19
30,Anuradha,Cooray,Sri Lanka,2:19:24
31,Li,Zhuhong,China,2:19:26
32,Joachim,Nshimirimana,Burundi,2:19:31
33,Dale,Warrender,New Zealand,2:19:42
34,Waldemar,Glinka,Poland,2:19:43
35,Jong,Myong-Chol,North Korea,2:19:47
36,El Hassan,Lahssini,France,2:19:50
37,Michal,Bartoszak,Poland,2:20:20
38,Ahmed Jumaa,Jaber,Qatar,2:20:27
39,Ali Mabrouk,El Zaidi,Libya,2:20:31
40,Samson,Ramadhani,Tanzania,2:20:38
41,Lee,Myong-Seun,South Korea,2:21:01
42,Tomoaki,Kunichika,Japan,2:21:13
43,Jose Alirio,Carrasco,Colombia,2:21:14
44,Ernest,Ndjissipou,Central African Republic,2:21:23
45,Nicholas,Harrison,Australia,2:21:42
46,Tereje,Wodajo,Ethiopia,2:21:53
47,Aguelmis,Rojas,Cuba,2:21:59
48,Abel,Chimukoko,Zimbabwe,2:22:09
49,Said,Belhout,Algeria,2:22:32
50,Matthew,O'Dowd,Great Britain,2:22:37
51,Juan Carlos,Cardona,Colombia,2:22:49
52,Daniele,Caimmi,Italy,2:23:07
53,João,N'Tyamba,Angola,2:23:26
54,Roman,Kejar,Slovenia,2:23:34
55,Procopio,Franco,Mexico,2:23:34
56,Wu,Wen-Chien,Chinese Taipei,2:23:54
57,Antoni,Bernadó,Andorra,2:23:55
58,Julio,Rey,Spain,2:24:54
59,Asaf,Bimro,Israel,2:25:20
60,Sisay,Bezabeh,Australia,2:25:26
61,Silvio,Guerra,Ecuador,2:25:29
62,Mathias,Ntawulikura,Rwanda,2:26:05
63,Robert,Stefko,Czech Republic,2:27:12
64,José Amado,García,Guatemala,2:27:13
65,Daniel,Browne,United States of America,2:27:17
66,Hang,Gang,China,2:27:31
67,Eduardo,Buenavista,Philippines,2:28:18
68,Driss,El Himer,France,2:29:07
69,Andrés,Espinosa,Mexico,2:29:43
70,Mpesela,Ntlot Soeu,Lesotho,2:30:19
71,Franklin,Tenorio,Ecuador,2:31:12
72,Jose Ernani,Palalia,Mexico,2:31:41
73,Dmitriy,Burmakin,Russia,2:31:51
74,Mindaugas,Pukstas,Lithuania,2:33:02
75,Ser-Od,Bat-Ochir,Mongolia,2:33:24
76,Ronghua,Zhu,China,2:34:02
77,Alfredo,Arévalo,Guatemala,2:34:02
78,Antonio Carlos,Zeferino,Cape Verde,2:36:22
79,Valery,Pisarev,Kyrgyzstan,2:40:10
80,Zepherinus,Joseph,Saint Lucia,2:44:19
81,Marcel,Matanin,Slovakia,2:50:26
