Position,FirstName,LastName,Nationality,Time
1,Emil,Zátopek,Czechoslovakia,2:23:03
2,Reinaldo,Gorno,Argentina,2:25:35.0
3,Gustaf,Jansson,Sweden,2:26:07.0
4,Choi,Yun-Chil,South Korea,2:26:36.0
5,Veikko,Karvonen,Finland,2:26:41.8
6,Delfo,Cabrera,Argentina,2:26:42.4
7,József,Dobronyi,Hungary,2:28:04.8
8,Erkki,Puolakka,Finland,2:29:35.0
9,Geoffrey,Iden,Great Britain,2:30:42.0
10,Wallace,Hayward,South Africa,2:31:50.2
11,Thomas,Luyt,South Africa,2:32:41.0
12,Gustaf,Östling,Sweden,2:32:48.4
13,Victor,Drygall,United States of America,2:32:52.4
14,Luis,Celedón,Chile,2:33:45.8
15,Adrien,van de Zande,Netherlands,2:33:50.0
16,Viktor,Olsen,Norway,2:33:58.4
17,Mikko,Hietanen,Finland,2:34:01.0
18,Charles,Dewachtere,Belgium,2:34:32.0
19,William,Keith,South Africa,2:34:38.0
20,Yakov,Moskachenkov,Soviet Union,2:34:43.8
21,Mihály,Esztergomi,Hungary,2:35:10.0
22,Doroteo,Flores,Guatemala,2:35:40.0
23,Jean,Simonet,Belgium,2:35:43.0
24,Jakob,Kjersem,Norway,2:36:14.0
25,Katsuo,Nishida,Japan,2:36:19.0
26,Keizo,Yamada,Japan,2:38:11.2
27,Feodosiy,Vanin,Soviet Union,2:38:22.0
28,Grigoriy,Suchkov,Soviet Union,2:38:28.8
29,Henry,Norrström,Sweden,2:38:57.4
30,Dieter,Engelhardt,Germany,2:39:37.2
31,Dinu,Cristea,Romania,2:39:42.2
32,Jean,Leblond,Belgium,2:40:37.0
33,Choi,Chung-Sik,South Korea,2:41:23.0
34,John,Systad,Norway,2:41:29.8
35,Jaroslav,ourek,Czechoslovakia,2:41:40.4
36,Thomas,Jones,United States of America,2:42:50.0
37,Robert,Robert,Australia,2:43:13.4
38,Muhamad,Havlidar Aslam,Pakistan,2:43:38.2
39,Adolf,Gruber,Austria,2:45:02.0
40,Paul,Collins,Canada,2:45:58.0
41,Teodosiu,Teodosiu,Romania,2:46:00.8
42,Erik,Simonsen,Denmark,2:46:41.4
43,Ludwig,Warnemünde,Germany,2:50:00.0
44,Theodore,Corbitt,United States of America,2:51:09.0
45,Claude,Smeal,Australia,2:52:23.0
46,Asfò,Bussotti,Italy,2:52:55.0
47,Winand,Osinski,Poland,2:54:38.2
48,Svend,Sørensen,Denmark,2:55:21.0
49,Joseph,West,Ireland,2:56:22.8
50,Rudolf,Morgenthaler,Switzerland,2:56:33.0
51,Abdelgani Abdel,Fattah,Egypt,2:56:56.0
52,Surat Singh,Mathur,India,2:58:09.2
53,Artidoro,Berti,Italy,2:58:36.2
