Position,FirstName,LastName,Nationality,Time
1,Juan Carlos,Zabala,Argentina,2:31:36
2,Samuel,Ferris,Great Britain,2:31:55
3,Armas,Toivonen,Finland,2:32:12
4,Duncan,McLeod Wright,Great Britain,2:32:41
5,Seiichiro,Tsuda,Japan,2:35:42
6,Eun Bai,Kim,Japan,2:37:28
7,Albert,Michelsen,United States of America,2:39:38
8,Oskar,Heks,Czech Republic,2:41:35
9,Tae Ha,Kwon,Japan,2:42:52
10,Anders,Hartington-Andersen,Denmark,2:44:38
11,Hans,Oldag,United States of America,2:47:26
12,Cliff,Bricker,Canada,2:47:58
13,Michele,Fanelli,Italy,2:49:49
14,John,Miles,Canada,2:50;32
15,Paul,de Bruyn,Germany,2:52:39
16,Francois,Begeot,France,2:53:34
17,Fernando,Ciccarelli,Argentina,2:55:49
18,Edward,Cudworth,Canada,2:58:35
19,Joao Clemente,da Silva,Brazil,3:02:06
20,Margarito,Barros Pomposo,Mexico,3:10:51
