Position,FirstName,LastName,Nationality,Time
1,Abebe,Bikila,Ethiopia,2:15:16
2,Rhadi,ben Abdesselam,Morocco,2:15:41.6
3,Barry,Magee,New Zealand,2:17:18.2
4,Konstantin,Vorobyov,Soviet Union,2:19:09.6
5,Sergey,Popov,Soviet Union,2:19:18.8
6,Thyge,Thøgersen,Denmark,2:21:03.4
7,Abebe,Wakgira,Ethiopia,2:21:09.4
8,Bakir,Benaissa,Morocco,2:21:21.4
9,Osvaldo Roberto,Suárez,Argentina,2:21.26.6
10,Franjo,krinjar,Yugoslavia,2:21.40.2
11,Nikolay,Rumyantsev,Soviet Union,2:21.49.4
12,Franjo,Mihalic,Yugoslavia,2:21.52.6
13,Keith,James,South Africa,2:22.58.6
14,Pavel,Kantorek,Czechoslovakia,2:22.59.8
15,Gumersindo,Gómez,Argentina,2:23.00.0
16,Denis,O'Gorman,Great Britain,2:24.16.2
17,Miguel,Navarro,Spain,2:24:17.4
18,Jeffrey,Lynn Julian,New Zealand,2:24:50.6
19,Johnny J.,Kelley,United States of America,2:24:58.0
20,Lee,Chung-Hun,South Korea,2:25:02.2
21,Arnold,Waide,Sweden,2:25.40.2
22,Gerry,McIntyre,Ireland,2:26.03.0
23,Olavi,Manninen,Finland,2:26.33.0
24,Eino,Oksanen,Finland,2:26.38.0
25,Arthur,Keily,Great Britain,2:27.00.0
26,Tor,Torgersen,Norway,2:27.30.0
27,Myitung,Naw,Myanmar,2:28.17.0
28,Bruno,Bartholome,Unified team of Germany,2:28.39.0
29,Brian,Kilby,Great Britain,2:28.55.0
30,Alex,Breckenridge,United States of America,2:29.38.0
31,Kurao,Hiroshima,Japan,2:29.40.0
32,Kazumi,Watanabe,Japan,2:29.45.0
33,Juan,Silva,Chile,2:31.18.0
34,Alain,Mimoun,France,2:31.20.0
35,Paul,Genève,France,2:31.20.0
36,Frans,Künen,Netherlands,2:31.25.0
37,Francesco,Perrone,Italy,2:31.32.0
38,Silvio,De Florentis,Italy,2:31.54.0
39,Linus,Diaz,Ceylon,2:32.12.0
40,Lal,Chand,India,2:32.13.0
41,Johannes,Lauridsen,Denmark,2:32.32.0
42,Willie,Dunne,Ireland,2:33:08.0
43,Ian,Sinfield,Australia,2:34:16.0
44,Arthur,Wittwer,Switzerland,2:34:42.2
45,Jagmal,Singh,India,2:35:01.0
46,Nobuyoshi,Sadanaga,Japan,2:35:11.0
47,Lee,Sang-Cheol,South Korea,2:35:14.0
48,Gordon,McKenzie,United States of America,2:35:16.0
49,Ahmed,Labidi,Tunisia,2:35:43.0
50,Walter,Lemos,Argentina,2:36:55.0
51,Raymond,Puckett,New Zealand,2:37:36.0
52,Dolfi,Gruber,Austria,2:37:40.0
53,Antti,Viskari,Finland,2:38:06.0
54,Allan,Lawrence,Australia,2:38:46.0
55,Gordon,Dickson,Canada,2:38:46.0
56,Lothar,Beckert,Unified team of Germany,2:40:10.0
57,Günther,Havenstein,Unified team of Germany,2:41:14.0
58,Evert,Nyberg,Sweden,2:42:59.0
59,Arap Sum,Kanuti,Kenya,2:46:55.2
60,Ranjit,Bhatia,India,2:57:06.0
61,Allah,Saoudi,Morocco,2:59:41.0
62,Alifu,Massaquoi,Liberia,3:43:18.0
