Position,FirstName,LastName,Nationality,Time
1,Gelindo,Bordin,Italy,2:10:32
2,Douglas,Wakiihuri,Kenya,2:10:47
3,Hussein Ahmed,Salah,Djibouti,2:10:59
4,Takeyuki,Nakayama,Japan,2:11:05
5,Steve,Moneghetti,Australia,2:11:49
6,Charlie,Spedding,Great Britain,2:12:19
7,Juma,Ikangaa,Tanzania,2:13:06
8,Robert,de Castella,Australia,2:13:07
9,Toshihiko,Seko,Japan,2:13:41
10,Ravil,Kashapov,Soviet Union,2:13:49
11,Jesús,Herrera,Mexico,2:13:58
12,John,Campbell,New Zealand,2:14:08
13,Gerard,Nijboer,Netherlands,2:14:40
14,Pete,Pfitzinger,United States of America,2:14:44
15,Marti,ten Kate,Netherlands,2:14:53
16,Orlando,Pizzolato,Italy,2:15:20
17,Hisatoshi,Shintaku,Japan,2:15:42
18,Kim,Won-Tak,South Korea,2:15:44
19,Piergiovanni,Poli,Italy,2:16:07
20,Dieudonné,LaMothe,Haiti,2:16:15
21,Dave,Long,Great Britain,2:16:18
22,Henrik,Jørgensen,Denmark,2:16:40
23,Ralf,Salzmann,West Germany,2:16:54
24,Dick,Hooper,Ireland,2:17:16
25,Miroslav,Vindi,Yugoslavia,2:17:47
26,Cai,Shangyan,China,2:17:54
27,Joaquim,Silva,Portugal,2:18:05
28,Art,Boileau,Canada,2:18:20
29,Ed,Eyestone,United States of America,2:19:09
30,Noureddine,Sobhi,Morocco,2:19:56
31,Yoo,Jae-Sung,South Korea,2:20:11
32,Mehmet,Terzi,Turkey,2:20:12
33,Kevin,Forster,Great Britain,2:20:45
34,Bigboy Josie,Matlapeng,Botswana,2:20:51
35,Allaoua,Khellil,Algeria,2:21:12
36,Justin,Gloden,Luxembourg,2:22:14
37,Alexandre,Gonzalez,France,2:22:24
38,Zhang,Guowei,China,2:22:49
39,Pedro,Ortiz,Colombia,2:23:34
40,Ronald,Lanzoni,Costa Rica,2:23:45
41,Bradley,Camp,Australia,2:23:49
42,Adolphe,Ambowode,Central African Republic,2:23:52
43,John,Burra,Tanzania,2:24:17
44,Samuel,Hlawe,Swaziland,2:24:42
45,Juan,Amores,Costa Rica,2:24:49
46,Peter,Maher,Canada,2:24:49
47,Abdou,Manzo,Niger,2:25:05
48,Diamantino,dos Santos,Brazil,2:25:13
49,Omar,Moussa,Djibouti,2:25:25
50,Carlos,Retiz,Mexico,2:25:34
51,Gary,Fanelli,American Samoa,2:25:35
52,John,Woods,Ireland,2:25:38
53,Gideon,Mthembu,Swaziland,2:25:56
54,Baikuntha,Manandhar,Nepal,2:25:57
55,Karel,David,Czechoslovakia,2:26:12
56,Ivo,Rodrigues,Brazil,2:26:27
57,Martín,Mondragón,Mexico,2:27:10
58,Thomas,Dlamini,Swaziland,2:28:06
59,Inni,Aboubacar,Niger,2:28:15
60,Yohanna,Waziri,Nigeria,2:29:14
61,Nqheku,Nteso,Lesotho,2:29:44
62,Benjamin,Longiross,Uganda,2:30:29
63,Vincent,Ruguga,Uganda,2:31:04
64,Alfonso,Abellan,Spain,2:31:10
65,Vithanakande Lek,Samarasinghe,Sri Lanka,2:31:29
66,Teeka,Bogate,Nepal,2:31:49
67,David,Edge,Canada,2:32:19
68,Luis,López,Costa Rica,2:32:43
69,Juan Rodrigo,Camacho,Bolivia,2:34:41
70,Mohammed,Abbas,Nigeria,2:35:26
71,Ahmet,Altun,Turkey,2:37:44
72,James,Gombedza,Zimbabwe,2:38:13
73,Kamana,Koji,Zaire,2:38:34
74,João,Carvalho,Angola,2:40:45
75,Aaron,Dupnai,Papua New Guinea,2:41:47
76,Bineshwar,Prasad,Fiji,2:41:50
77,Calvin,Dallas,Virgin Islands,2:42:19
78,Telesphore,Dusabe,Rwanda,2:42:52
79,Eugene,Muslar,Belize,2:43:29
80,Hassane,Karinou,Niger,2:43:51
81,Wallace,Williams,Virgin Islands,2:44:40
82,Mohala,Mohloli,Lesotho,2:44:44
83,Awadh Shaban,Al-Sameer,Oman,2:46:59
84,Derrick,Adamson,Jamaica,2:47:57
85,Krisnaba Hadur,Basnyat,Nepal,2:47:57
86,Fred,Schumann,Guam,2:49:52
87,John,Mwathiwa,Malawi,2:51:43
88,Marlon,Williams,Virgin Islands,2:52:06
89,Kaleka,Mutoke,Zaire,2:55:21
90,James,Walker,Guam,2:56:32
91,Mohiddin Mohamed,Kulmiye,Somalia,2:58:10
92,Fred,Ogwang,Uganda,2:59:35
93,Naser,Babapur,Iran,3:00:20
94,Ricardo,Taitano,Guam,3:03:19
95,Suma,Keita,Sierra Leone,3:04:00
96,Alassane,Bah,Guinea,3:06:27
97,Thuyet Nguyen,Van,Vietnam,3:10:57
98,Polin,Belisle,Belize,3:14:02
