Position,FirstName,LastName,Nationality,Time
1,Delfo,Cabrera,Argentina,2:34:51.6
2,Thomas,Richards,Great Britain,2:35:07.6
3,Etienne,Gailly,Belgium,2:35:33.6
4,Johannes,Coleman,South Africa,2:36:06.0
5,Eusebio,Guiñez,Argentina,2:36:36.0
6,Syd,Luyt,South Africa,2:38:11.0
7,Gustaf,Östling,Sweden,2:38:40.6
8,John,Systad,Norway,2:38:41.0
9,Alberto,Sensini,Argentina,2:39:30.0
10,Henning,Larsen,Denmark,2:41:22.0
11,Viljo,Heino,Finland,2:41:32.0
12,Anders,Melin,Sweden,2:42:20.0
13,Jussi,Kurikkala,Finland,2:42:48.0
14,Ted,Vogel,United States of America,2:45:27.0
15,Enrique,Inostroza,Chile,2:47:48.0
16,Lloyd,Evans,Canada,2:48:07.0
17,Gérard,Côté,Canada,2:48:31.0
18,Stylianos,Kyriakidis,Greece,2:49:00.0
19,József,Kiss,Hungary,2:50:20.0
20,Sevki,Koru,Turkey,2:51:07.0
21,Johnny,Kelley,United States of America,2:51:56.0
22,Kaspar,Schiesser,Switzerland,2:52:09.0
23,Walter,Fedorick,Canada,2:52:12.0
24,Ollie,Manninen,United States of America,2:56:49.0
25,Hong,Jong-O,South Korea,2:56:54.0
26,Paddy,Mulvihill,Ireland,2:57:35.0
27,Seo,Yun-Bok,South Korea,2:59:36.0
28,Sven,Håkansson,Sweden,3:00:09.0
29,Jakob,Jutz,Switzerland,3:03:55.0
30,Stan,Jones,Great Britain,3:09:16.0
