Position,FirstName,LastName,Nationality,Time
1,Hannes,Kolehmainen,Finland,2:32:35.8
2,Jüri,Lossmann,Estonia,2:32:48.6
3,Valerio,Arri,Italy,2:36:32.8
4,Auguste,Broos,Belgium,2:39:25.8
5,Juho,Tuomikoski,Finland,2:40:18.8
6,Sofus,Rose,Denmark,2:41:18.0
7,Joseph,Organ,United States of America,2:41:30.0
8,Rudolf,Hansen,Denmark,2:41:39.4
9,Urho,Tallgren,Finland,2:42:40.0
10,Tatu,Kolehmainen,Finland,2:44:02.3
11,Carl,Linder,United States of America,2:44:21.2
12,Charles,Mellor,United States of America,2:45:30.0
13,James,Dellow,Canada,2:46:47.0
14,Arthur,Mills,Great Britain,2:48:05.0
15,Arthur,Scholes,Canada,2:48:30.0
16,Shizo,Kanakuri,Japan,2:48:45.4
17,Gustav,Kinn,Sweden,2:49:10.4
18,Albert,Moché,France,2:50:00.2
19,Phadeppa,Chaugle,India,2:50:45.4
20,Zensaku,Motegi,Japan,2:51:09.4
21,Kenzo,Yashima,Japan,2:57:02.0
22,Georges,Norman,Canada,2:58:01.0
23,Rudolf,Wåhlin,Sweden,2:59:23.0
24,Yahei,Miura,Japan,2:59:37.0
25,Henri,Teyssedou,France,3:00:04.0
26,Hendricus,Wessel,Netherlands,3:00:17.0
27,Charles,Melis,Belgium,3:00:51.0
28,William,Grüner,Sweden,3:01:48.0
29,George,Piper,Great Britain,3:02:10.0
30,Sinton,Hewitt,Australia,3:03:27.0
31,Leslie,Housden,Great Britain,3:14:25.0
32,Iraklis,Sakellaropoulos,Greece,3:14:25.0
33,Juan,Bascunan,Chile,3:17:47.0
34,Oscar,Blansaer,Belgium,3:20:00.0
35,Eric,Robertson,Great Britain,3:55:00.0
