Position,FirstName,LastName,Nationality,Time
1,Albin Oskar,Stenroos,Finland,2:41:22.6
2,Romeo,Bertini,Italy,2:47:19.6
3,Clarence,DeMar,United States of America,2:48:14.0
4,Lauri A.,Halonen,Finland,2:49:47.2
5,Samuel,Ferris,Great Britain,2:52:26.0
6,Manuel,Plaza Reyes,Chile,2:52:54.0
7,A.,El Ouafi,France,2:54:19.3
8,Gustav,Kinn,Sweden,2:54:33.2
9,D.,Carreras-Salvator,Spain,2:57:18.2
10,Jüri,Lossman,Estonia,2:57:54.3
11,Axel,Jensen,Denmark,2:58:44.4
12,J. B.,Manchès,France,3:00:34.0
13,J. J.,Cutberth,Canada,3:00:44.3
14,V.,Mac Auley,Canada,3:02:05:2
15,M.,Alavoine,Belgium,3:03:20.0
16,F. E.,Wendling,United States of America,3:05:09.4
17,A.,Farrimond,Great Britain,3:05:15.0
18,F. T.,Zuna,United States of America,3:05:52.1
19,H.,Phillips,South Africa,3:07:13.0
20,Auguste,Broos,Belgium,3:14:03.0
21,W.,Carlson,Sweden,3:14:21.2
22,Tullio,Biscuola,Italy,3:19:05.0
23,W. J.,Churchill,United States of America,3:19:18.0
24,M.,Ghermati dit Kader,France,3:20:27.0
25,L.,Mellor,United States of America,3:24:07.0
26,G.,Leclercq,Belgium,3:27:54.0
27,J.,Mac Kenna,Great Britain,3:30:40.0
28,A.,Lovas,Hungary,3:35:24.0
29,M. R.,Hinge,India,3:37:36.0
30,E.,Reimann,Estonia,3:40:52.0
