Position,FirstName,LastName,Nationality,Time
1,Gezahgne,Abera,Ethiopia,2:10:11
2,Erick,Wainaina,Kenya,2:10:31
3,Tesfaye,Tola,Ethiopia,2:11:10
4,Jon,Brown,Great Britain,2:11:17
5,Giacomo,Leone,Italy,2:12:14
6,Martín,Fiz,Spain,2:13:06
7,Abdelkader,El Mouaziz,Morocco,2:12:49
8,Mohamed,Ouaadi,France,2:14:04
9,Tendai,Chimusasa,Zimbabwe,2:14:19
10,Steve,Moneghetti,Australia,2:14:50
11,António Pinto,Coelho,Portugal,2:15:17
12,Hendrick,Ramaala,South Africa,2:16:19
13,Kamiel,Maase,Netherlands,2:16:24
14,Silvio,Guerra,Ecuador,2:16:27
15,Mathias,Ntawulikura,Rwanda,2:16:39
16,Thabiso,Moqhali,Lesotho,2:16:43
17,João,N'Tyamba,Angola,2:16:43
18,Domingos,Castro,Portugal,2:16:52
19,Keith,Cullen,Great Britain,2:16:59
20,Josia,Thugwane,South Africa,2:16:59
21,Shinji,Kawashima,Japan,2:17:21
22,Simretu,Alemayehu,Ethiopia,2:17:21
23,Kamal,Kohil,Algeria,2:17:46
24,Lee,Bong-Ju,South Korea,2:17:57
25,Greg,van Hest,Netherlands,2:18:00
26,Pavel,Kokin,Russia,2:18:02
27,Andrés,Espinosa,Mexico,2:18:02
28,Roderic,De Highden,Australia,2:18:04
29,Kim,Jung-Won,North Korea,2:18:04
30,Kim,Jong-Chol,North Korea,2:18:04
31,Pamenos,Ballantyne,Saint Vincent and the Grenadines,2:19:08
32,Ronnie,Holassie,Trinidad and Tobago,2:19:24
33,Michael,Buchleitner,Austria,2:19:26
34,Dmitriy,Kapitonov,Russia,2:19:38
35,Pavel,Loskutov,Estonia,2:19:41
36,Viktor,Röthlin,Switzerland,2:20:06
37,Michael,Fietz,Germany,2:20:09
38,Tahar,Mansouri,Tunisia,2:20:33
39,José Luis,Molina,Costa Rica,2:20:37
40,Carlos,Tarazona,Venezuela,2:20:39
41,Nobuyuki,Sato,Japan,2:20:52
42,Alberto,Juzdado,Spain,2:21:18
43,Johannes,Maremane,South Africa,2:21:25
44,Bruce,Deacon,Canada,2:21:38
45,Chung,Nam-Kyun,South Korea,2:22:23
46,Néstor,García,Uruguay,2:22:30
47,Ahmed Abdelmougod,Soliman,Egypt,2:22:47
48,Luketz,Swartbooi,Namibia,2:22:55
49,Antoni,Bernadó,Andorra,2:23:03
50,Luís,Novo,Portugal,2:23:04
51,Lucky,Bhembe,Swaziland,2:23:08
52,Boubker,Elafoui,Morocco,2:23:53
53,Abel,Antón,Spain,2:24:04
54,Carsten,Eich,Germany,2:24:11
55,Valeriu,Vlas,Moldova,2:24:35
56,Mark,Steinle,Great Britain,2:24:42
57,Alex,Malinga,Uganda,2:24:53
58,Oscar,Cortínez,Argentina,2:25:01
59,Kil,Jae-Son,North Korea,2:25:13
60,Petko,Stefanov,Bulgaria,2:26:24
61,Zebedayo,Bayo,Tanzania,2:26:24
62,Roman,Kejar,Slovenia,2:26:38
63,Panayiotis,Haramis,Greece,2:26:55
64,Benjamín,Paredes,Mexico,2:27:17
65,Baek,Seung-Do,South Korea,2:28:25
66,Lee,Troop,Australia,2:29:32
67,Antonio Carlos,Zeferino,Cape Verde,2:29:46
68,Sergey,Zabavski,Tajikistan,2:30:29
69,Rod,De Haven,United States of America,2:30:46
70,Nazerdin,Akylbekov,Kyrgyzstan,2:31:26
71,Calisto,da Costa,Independent Olympic Athletes,2:33:11
72,Marco Ivan,Condori,Bolivia,2:34:11
73,Sarath,Prasanna Gamage,Sri Lanka,2:34:39
74,Gian Luigi,Macina,San Marino,2:35:42
75,Vanderlei,de Lima,Brazil,2:37:08
76,eljko,Petrovic,Bosnia and Herzegovina,2:38:29
77,Tiyapo,Maso,Botswana,2:38:53
78,Ðuro,Kodo,Bosnia and Herzegovina,2:39:14
79,José Alejandro,Semprún,Venezuela,3:00:02
80,Rithya,To,Cambodia,3:03:56
81,Elias,Rodriguez,Micronesia,3:09:14
