Position,FirstName,LastName,Nationality,Time
1,Kenneth,McArthur,South Africa,2:36:54.8
2,Christian,Gitsham,South Africa,2:37:52.0
3,Gaston,Strobino,United States of America,2:38:42.4
4,Andrew,Sockalexis,United States of America,2:42:07.9
5,James,Duffy,Canada,2:42:18.8
6,Sigfrid,Jacobsson,Sweden,2:43:24.9
7,John,Gallagher,United States of America,2:44:19.4
8,Joseph,Erxleben,United States of America,2:45:47.2
9,Richard,Piggott,United States of America,2:46:40.7
10,Joseph,Forshaw,United States of America,2:49:49.4
11,Édouard,Fabre,Canada,2:50:36.2
12,Clarence,DeMar,United States of America,2:50:46.6
13,Jean,Boussière,France,2:51:06.6
14,Henry,Green,Great Britain,2:52:11.4
15,William,Forsyth,Canada,2:52:23.0
16,Lewis,Tewanima,United States of America,2:52:41.4
17,Harry,Smith,United States of America,2:52:53.8
18,Thomas,Lilley,United States of America,2:59:35.4
19,Arthur,Townsend,Great Britain,3:00:05.0
20,Felix,Kwieton,Austria,3:00:48.0
21,Frederick,Lord,Great Britain,3:01:39.2
22,Jacob,Westberg,Sweden,3:02:05.2
23,Axel,Simonsen,Norway,3:04:59.4
24,Carl,Andersson,Sweden,3:06:13.0
25,Edgar,Lloyd,Great Britain,3:09:25.0
26,Iraklis,Sakellaropoulos,Greece,3:11:37.0
27,Hjalmar,Dahlberg,Sweden,3:13:32.2
28,Ivar,Lundberg,Sweden,3:16:35.2
29,Johannes,Christensen,Denmark,3:21:57.4
30,Olaf,Lodal,Denmark,3:21:57.6
31,Ödön,Kárpáti,Hungary,3:25:21.6
32,Calle,Nilsson,Sweden,3:26:56.4
33,Emmerich,Rath,Austria,3:27:03.8
34,Otto,Osen,Norway,3:36:35.2
35,Elmar,Reiman,Russia,
