Position,FirstName,LastName,Nationality,Time
1,Waldemar,Cierpinski,East Germany,2:09:55
2,Frank,Shorter,United States of America,2:10:45
3,Karel,Lismont,Belgium,2:11:12
4,Don,Kardong,United States of America,2:11:15
5,Lasse,Virén,Finland,2:13:10
6,Jerome,Drayton,Canada,2:13:30
7,Leonid,Mosseyev,Soviet Union,2:13:33
8,Franco,Fava,Italy,2:14:24
9,Alexander,Gotsky,Soviet Union,2:15:34
10,Henri,Schoofs,Belgium,2:15:52
11,Shivnath,Singh,India,2:16:22
12,Sop,Choe-Chang,North Korea,2:16:33
13,Massimo,Magnani,Italy,2:16:56
14,Göran,Bengtsson,Sweden,2:17:39
15,Kazimier,Orzel,Poland,2:17:43
16,Håkan,Spik,Finland,2:17:50
17,Jack,Foster,New Zealand,2:17:53
18,Mario,Cuevas,Mexico,2:18:08
19,Rodolfo,Gómez,Mexico,2:18:21
20,Shigero,Soh,Japan,2:18:26
21,Noriyasu,Mizukami,Japan,2:18:44
22,Anacleto,Pinto,Portugal,2:18:53
23,José,de Jesus,Puerto Rico,2:19:34
24,Yuri,Velikorodnykh,Soviet Union,2:19:45
25,Jos,Hermens,Netherlands,2:19:48
26,Jeffrey,Norman,Great Britain,2:20:04
27,Jukka,Toivola,Finland,2:20:46
28,Jørgen,Jensen,Denmark,2:20:44
29,Michail,Koussis,Greece,2:21:42
30,Tom,Howard,Canada,2:22:08
31,Keith,Angus,Great Britain,2:22:18
32,Akio,Usami,Japan,2:22:29
33,Rigoberto,Mendoza,Cuba,2:22:43
34,Fernand,Kolbeck,France,2:22:56
35,Christopher,Wardlaw,Australia,2:23:56
36,Wayne,Yetman,Canada,2:24:17
37,Hüseyin,Aktas,Turkey,2:24:30
38,Veli,Balli,Turkey,2:24:47
39,James,McNamara,Ireland,2:24:57
40,Bill,Rodgers,United States of America,2:25:14
41,Hipolito,Lopez,Honduras,2:26:00
42,Daniel,McDaid,Ireland,2:27:07
43,Cardozo Eusebio,Asuncion,Paraguay,2:27:22
44,Kim,Chang-Son,North Korea,2:27:38
45,Barry,Watson,Great Britain,2:28:32
46,Agustin,Fernández-Diaz,Spain,2:28:37
47,Jerzy,Gros,Poland,2:28:45
48,Jairo,Cubillos,Colombia,2:29:04
49,Luis,Raudales,Honduras,2:29:25
50,Baikuntha,Manandhar,Nepal,2:30:07
51,Antônio,Banos,Spain,2:31:01
52,Goh,Chun-Son,North Korea,2:31:54
53,Victor,Serrano,Puerto Rico,2:34:59
54,Günter,Mielke,West Germany,2:35:44
55,Neil,Cusack,Ireland,2:35:47
56,Tau John,Tokwepota,Papua New Guinea,2:38:04
57,Victor,Idava,Philippines,2:38:23
58,Raymond,Swan,Bermuda,2:39:18
59,John,Kokinai,Papua New Guinea,2:41:49
60,Lucio,Gauchalla,Bolivia,2:45:31
