Position,FirstName,LastName,Nationality,Time
1,Thomas J.,Hicks,United States of America,3:28:53
2,Albert,Coray,United States of America,3:34:52
3,Arthur,Newton,United States of America,3:47:33
4,Andarín,Carvajal,Cuba,
5,Dimitrios,Veloulis,Greece,
6,David,Kneeland,United States of America,
7,Henry,Brawley,United States of America,
8,Sidney,Hatch,United States of America,
9,Len,Tau,South Africa,
10,Christos,Zechouritis,Greece,
11,F. P.,Devlin,United States of America,
12,Jan,Mashiani,South Africa,
13,John,Furla,United States of America,
14,Andrew,Oikonomou,Greece,
