Position,FirstName,LastName,Nationality,Time
1,Stephen,Kiprotich,Uganda,2:08:01
2,Abel,Kirui,Kenya,2:08:27
3,Wilson Kipsang,Kiprotich,Kenya,2:09:37
4,Mebrahtom,Keflezighi,United States of America,2:11:06
5,Marilson,dos Santos,Brazil,2:11:10
6,Kentaro,Nakamoto,Japan,2:11:16
7,Cuthbert,Nyasango,Zimbabwe,2:12:08
8,Paulo Roberto,Paula,Brazil,2:12:17
9,Henryk,Szost,Poland,2:12:28
10,Ruggero,Pertile,Italy,2:12:45
11,Viktor,Rothlin,Switzerland,2:12:48
12,Oleksandr,Sitkovskyy,Ukraine,2:12:56
13,Franck,De Almeida,Brazil,2:13:35
14,Aleksey,Reunkov,Russia,2:13:49
15,Wirimai,Juwawo,Zimbabwe,2:14:09
16,Michael,Shelley,Australia,2:14:10
17,Emmanuel Kipchirchir,Mutai,Kenya,2:14:49
18,Rachid,Kisri,Morocco,2:15:09
19,Yared,Asmerom,Eritrea,2:15:24
20,Dylan,Wykes,Canada,2:15:26
21,Raul,Pacheco,Peru,2:15:35
22,Eric,Gillis,Canada,2:16:00
23,Dmitriy,Safronov,Russia,2:16:04
24,Carles,Castillejo,Spain,2:16:17
25,Iaroslav,Musinschi,Moldova,2:16:25
26,Marius,Ionescu,Romania,2:16:28
27,Reid,Coolsaet,Canada,2:16:29
28,Martin,Dent,Australia,2:16:29
29,Vitaliy,Shafar,Ukraine,2:16:36
30,Lee,Merrien,Great Britain,2:17:00
31,Ignacio,Caceres,Spain,2:17:11
32,Duhaeng,Lee,South Korea,2:17:19
33,Faustine,Mussa,Tanzania,2:17:39
34,Jose Carlos,Hernandez,Spain,2:17:48
35,Miguel,Barzola,Argentina,2:17:54
36,Urige,Buta,Norway,2:17:58
37,Grigoriy,Andreev,Russia,2:18:20
38,José Amado,García,Guatemala,2:18:23
39,Daniel,Vargas,Mexico,2:18:26
40,Ryo,Yamamoto,Japan,2:18:34
41,Jesper,Faurschou,Denmark,2:18:44
42,Kari Steinn,Karlsson,Iceland,2:18:47
43,Lusapho,April,South Africa,2:19:00
44,Mike,Tebulo,Malawi,2:19:11
45,Arata,Fujiwara,Japan,2:19:11
46,Primoz,Kobe,Slovenia,2:19:28
47,Guor,Marial,Independent Olympic Athletes,2:19:32
48,Luis,Feiteira,Portugal,2:19:40
49,Stephen,Mokoka,South Africa,2:19:52
50,Miguel Angel,Almachi,Ecuador,2:19:53
51,Ser-Od,Bat-Ochir,Mongolia,2:20:10
52,Song-Chol,Pak,North Korea,2:20:20
53,Kwang-Hyok,Kim,North Korea,2:20:20
54,Guojian,Dong,China,2:20:39
55,Anuradha,Cooray,Sri Lanka,2:20:41
56,Methkal,Abu Drais,Jordan,2:21:00
57,Mark,Kenneally,Ireland,2:21:13
58,Yonas,Kifle,Eritrea,2:21:25
59,Ivan,Babaryka,Ukraine,2:21:52
60,Carlos,Cordero,Mexico,2:22:08
61,Scott,Overall,Great Britain,2:22:37
62,Pedro,Mora,Venezuela,2:22:40
63,Jeff,Hunt,Australia,2:22:59
64,Stsiapan,Rahautsou,Belarus,2:23:23
65,Cesar,Lizano,Costa Rica,2:24:16
66,Samson,Ramadhani,Tanzania,2:24:53
67,Jan,Kreisinger,Czech Republic,2:25:03
68,Mohammed Abduh,Bakhet,Qatar,2:25:17
69,Jussi,Utriainen,Finland,2:26:25
70,Arturo,Malaquias,Mexico,2:26:37
71,Wissem,Hosni,Tunisia,2:26:43
72,Tamás,Kovács,Hungary,2:27:48
73,Sinkweon,Jang,South Korea,2:28:20
74,Antoni,Bernadó,Andorra,2:28:34
75,Marcel,Tschopp,Liechtenstein,2:28:54
76,Bekir,Karayel,Turkey,2:29:38
77,Chia-Che,Chang,Chinese Taipei,2:29:58
78,Ram Singh,Yadav,India,2:30:06
79,Jean Pierre,Mvuyekure,Rwanda,2:30:19
80,Konstandinos,Poulios,Greece,2:33:17
81,Zohar,Zemiro,Israel,2:34:59
82,Jinhyeok,Jeong,South Korea,2:38:45
83,Juan Carlos,Cardona,Colombia,2:40:13
84,Augusto,Soares,Timor-Leste,2:45:09
85,Tsepo,Ramonene,Lesotho,2:55:54
